DB020,DB030,HS060,ANREC
DK,2890,1,2006
DK,2893,1,2006
DK,2898,1,2006
DK,2903,1,2006
DK,2917,1,2006
DK,2924,1,2006
DK,2925,2,2006
DK,2927,1,2006
DK,2967,1,2006
DK,2989,1,2006
DK,3026,1,2006
DK,3033,2,2006
DK,3040,1,2006
DK,3043,1,2006
DK,3046,1,2006
DK,3062,1,2006
DK,3097,2,2006
DK,3103,1,2006
DK,3112,1,2006
DK,3153,1,2006
DK,3167,1,2006
DK,3186,1,2006
DK,3193,1,2006
DK,3232,1,2006
DK,3312,1,2006
DK,3315,1,2006
DK,3378,2,2006
DK,3442,1,2006
DK,3444,1,2006
DK,3474,1,2006
DK,3478,1,2006
DK,3543,1,2006
DK,3549,1,2006
DK,3561,1,2006
DK,3630,1,2006
DK,3658,1,2006
DK,3667,1,2006
DK,3685,1,2006
DK,3695,1,2006
DK,3776,1,2006
DK,3831,1,2006
DK,3855,1,2006
DK,3875,1,2006
DK,3925,1,2006
DK,3926,1,2006
DK,3937,1,2006
DK,3948,2,2006
DK,3995,1,2006
DK,4016,1,2006
DK,4022,2,2006
DK,4024,1,2006
DK,4036,1,2006
DK,4074,1,2006
DK,4099,2,2006
DK,4145,1,2006
DK,4231,1,2006
DK,4232,1,2006
DK,4271,1,2006
DK,4282,2,2006
DK,4300,2,2006
DK,4309,1,2006
DK,4332,2,2006
DK,4369,1,2006
DK,4414,1,2006
DK,4437,1,2006
DK,4446,1,2006
DK,4501,1,2006
DK,4505,2,2006
DK,4522,2,2006
DK,4572,1,2006
DK,4573,1,2006
DK,4594,1,2006
DK,4620,1,2006
DK,4633,1,2006
DK,4668,1,2006
DK,4676,2,2006
DK,4708,1,2006
DK,4714,1,2006
DK,4715,1,2006
DK,4732,1,2006
DK,4763,2,2006
DK,4764,1,2006
DK,4768,1,2006
DK,4830,1,2006
DK,4861,1,2006
DK,4887,1,2006
DK,4889,1,2006
DK,4892,1,2006
DK,4949,1,2006
DK,4992,2,2006
DK,5004,1,2006
DK,5032,1,2006
DK,5070,1,2006
DK,5152,1,2006
DK,5201,2,2006
DK,5225,1,2006
DK,5245,1,2006
DK,5250,1,2006
DK,5254,1,2006
DK,5269,1,2006
DK,5273,1,2006
DK,5314,1,2006
DK,5332,1,2006
DK,5364,1,2006
DK,5401,1,2006
DK,5407,1,2006
DK,5421,1,2006
DK,5482,1,2006
DK,5501,1,2006
DK,5535,1,2006
DK,5540,1,2006
DK,5560,1,2006
DK,5587,1,2006
DK,5603,1,2006
DK,5612,1,2006
DK,5724,1,2006
DK,5754,1,2006
DK,5763,1,2006
DK,5771,1,2006
DK,5788,2,2006
DK,5816,1,2006
DK,5827,1,2006
DK,5838,2,2006
DK,5846,1,2006
DK,5866,1,2006
DK,5879,1,2006
DK,5883,2,2006
DK,5915,1,2006
DK,5935,1,2006
DK,6030,1,2006
DK,6040,1,2006
DK,6057,1,2006
DK,6082,1,2006
DK,6188,1,2006
DK,6213,1,2006
DK,6226,1,2006
DK,6234,1,2006
DK,6251,1,2006
DK,6262,1,2006
DK,6272,1,2006
DK,6286,1,2006
DK,6332,1,2006
DK,6399,1,2006
DK,6460,1,2006
DK,6471,1,2006
DK,6490,2,2006
DK,6506,1,2006
DK,6567,1,2006
DK,6569,2,2006
DK,6584,2,2006
DK,6587,1,2006
DK,6613,1,2006
DK,6624,1,2006
DK,6680,2,2006
DK,6681,1,2006
DK,6690,1,2006
DK,6692,1,2006
DK,6780,1,2006
DK,6784,1,2006
DK,6794,1,2006
DK,6874,2,2006
DK,6885,1,2006
DK,6901,1,2006
DK,6910,1,2006
DK,6956,1,2006
DK,6957,1,2006
DK,6972,2,2006
DK,7040,1,2006
DK,7095,1,2006
DK,7115,2,2006
DK,7155,1,2006
DK,7175,1,2006
DK,7197,1,2006
DK,7204,2,2006
DK,7275,1,2006
DK,7307,1,2006
DK,7353,1,2006
DK,7367,1,2006
DK,7377,1,2006
DK,7391,1,2006
DK,7483,1,2006
DK,7486,1,2006
DK,7515,1,2006
DK,7517,1,2006
DK,7521,1,2006
DK,7529,1,2006
DK,7533,1,2006
DK,7551,1,2006
DK,7554,1,2006
DK,7567,1,2006
DK,7610,1,2006
DK,7613,1,2006
DK,7626,1,2006
DK,7645,1,2006
DK,7647,1,2006
DK,7707,1,2006
DK,7710,1,2006
DK,7762,1,2006
DK,7811,2,2006
DK,7850,1,2006
DK,7901,1,2006
DK,7921,2,2006
DK,7935,1,2006
DK,7941,1,2006
DK,7947,1,2006
DK,7971,2,2006
DK,7977,1,2006
DK,7982,1,2006
DK,7995,1,2006
DK,8024,2,2006
DK,8030,1,2006
DK,8046,1,2006
DK,8060,1,2006
DK,8061,1,2006
DK,8120,1,2006
DK,8187,2,2006
DK,8196,1,2006
DK,8269,1,2006
DK,8277,1,2006
DK,8285,1,2006
DK,8300,1,2006
DK,8309,1,2006
DK,8338,1,2006
DK,8357,1,2006
DK,8365,1,2006
DK,8398,2,2006
DK,8522,1,2006
DK,8545,1,2006
DK,8547,1,2006
DK,8553,1,2006
DK,8556,1,2006
DK,8585,1,2006
DK,8604,1,2006
DK,8609,1,2006
DK,8625,1,2006
DK,8657,1,2006
DK,8664,1,2006
DK,8718,1,2006
DK,8731,1,2006
DK,8735,1,2006
DK,8740,1,2006
DK,8741,1,2006
DK,8743,1,2006
DK,8764,1,2006
DK,8828,1,2006
DK,8830,1,2006
DK,8858,1,2006
DK,8941,1,2006
DK,8979,1,2006
DK,8993,1,2006
DK,9012,1,2006
DK,9022,1,2006
DK,9050,1,2006
DK,9055,2,2006
DK,9058,2,2006
DK,9117,1,2006
DK,9139,1,2006
DK,9161,1,2006
DK,9163,2,2006
DK,9166,2,2006
DK,9171,1,2006
DK,9172,1,2006
DK,9176,2,2006
DK,9202,1,2006
DK,9203,2,2006
DK,9277,1,2006
DK,9312,2,2006
DK,9320,1,2006
DK,9334,1,2006
DK,9341,1,2006
DK,9349,1,2006
DK,9360,1,2006
DK,9372,1,2006
DK,9381,1,2006
DK,9441,1,2006
DK,9468,1,2006
DK,9469,2,2006
DK,9487,2,2006
DK,9548,1,2006
DK,9598,1,2006
DK,9640,1,2006
DK,9641,1,2006
DK,9682,1,2006
DK,9690,1,2006
DK,9699,1,2006
DK,9731,1,2006
DK,9733,1,2006
DK,9745,1,2006
DK,9777,1,2006
DK,9783,1,2006
DK,9805,2,2006
DK,9837,1,2006
DK,9941,1,2006
DK,9944,1,2006
DK,9948,1,2006
DK,9974,1,2006
DK,9998,1,2006
DK,10001,1,2006
DK,10034,2,2006
DK,10080,2,2006
DK,10163,1,2006
DK,10177,1,2006
DK,10186,1,2006
DK,10205,1,2006
DK,10211,2,2006
DK,10239,1,2006
DK,10268,1,2006
DK,10283,1,2006
DK,10316,1,2006
DK,10318,2,2006
DK,10328,1,2006
DK,10333,1,2006
DK,10363,2,2006
DK,10365,1,2006
DK,10389,1,2006
DK,10421,1,2006
DK,10433,1,2006
DK,10481,1,2006
DK,10483,1,2006
DK,10494,2,2006
DK,10500,1,2006
DK,10526,1,2006
DK,10545,1,2006
DK,10548,1,2006
DK,10553,1,2006
DK,10590,1,2006
DK,10591,1,2006
DK,10604,1,2006
DK,10622,2,2006
DK,10653,NA,2006
DK,10666,1,2006
DK,10670,1,2006
DK,10677,2,2006
DK,10680,1,2006
DK,10735,1,2006
DK,10805,2,2006
DK,10811,1,2006
DK,10837,1,2006
DK,10862,1,2006
DK,10876,1,2006
DK,10908,1,2006
DK,10958,1,2006
DK,10967,2,2006
DK,11017,1,2006
DK,11048,1,2006
DK,11057,1,2006
DK,11074,1,2006
DK,11122,1,2006
DK,11123,1,2006
DK,11140,1,2006
DK,11158,1,2006
DK,11170,1,2006
DK,11255,1,2006
DK,11274,1,2006
DK,11304,1,2006
DK,11320,2,2006
DK,11321,1,2006
DK,11335,1,2006
DK,11341,1,2006
DK,11356,1,2006
DK,11390,1,2006
DK,11399,1,2006
DK,11444,1,2006
DK,11457,1,2006
DK,11460,2,2006
DK,11470,1,2006
DK,11471,1,2006
DK,11488,2,2006
DK,11490,1,2006
DK,11500,1,2006
DK,11512,1,2006
DK,11538,1,2006
DK,11543,2,2006
DK,11575,1,2006
DK,11578,1,2006
DK,11646,1,2006
DK,11655,1,2006
DK,11658,1,2006
DK,11664,1,2006
DK,11671,1,2006
DK,11684,1,2006
DK,11701,1,2006
DK,11704,1,2006
DK,11722,1,2006
DK,11755,1,2006
DK,11810,2,2006
DK,11812,1,2006
DK,11887,1,2006
DK,11920,1,2006
DK,11951,1,2006
DK,11955,1,2006
DK,11992,1,2006
DK,11994,1,2006
DK,12002,1,2006
DK,12016,1,2006
DK,12101,1,2006
DK,12117,1,2006
DK,12155,1,2006
DK,12158,1,2006
DK,12169,1,2006
DK,12202,1,2006
DK,12207,1,2006
DK,12216,1,2006
DK,12260,1,2006
DK,12275,1,2006
DK,12287,1,2006
DK,12292,2,2006
DK,12296,1,2006
DK,12310,1,2006
DK,12354,1,2006
DK,12355,1,2006
DK,12358,1,2006
DK,12377,2,2006
DK,12403,1,2006
DK,12518,1,2006
DK,12552,1,2006
DK,12568,1,2006
DK,12590,2,2006
DK,12623,1,2006
DK,12681,1,2006
DK,12690,1,2006
DK,12692,2,2006
DK,12703,1,2006
DK,12736,1,2006
DK,12742,2,2006
DK,12849,2,2006
DK,12876,1,2006
DK,12891,1,2006
DK,12892,1,2006
DK,12897,1,2006
DK,12914,1,2006
DK,12915,1,2006
DK,12932,2,2006
DK,12968,1,2006
DK,13009,1,2006
DK,13035,1,2006
DK,13042,1,2006
DK,13060,1,2006
DK,13068,1,2006
DK,13074,1,2006
DK,13138,1,2006
DK,13153,1,2006
DK,13154,1,2006
DK,13177,1,2006
DK,13202,1,2006
DK,13252,2,2006
DK,13274,1,2006
DK,13284,1,2006
DK,13331,1,2006
DK,13385,1,2006
DK,13408,1,2006
DK,13430,2,2006
DK,13438,1,2006
DK,13454,1,2006
DK,13467,1,2006
DK,13488,1,2006
DK,13499,1,2006
DK,13506,1,2006
DK,13520,1,2006
DK,13556,1,2006
DK,13575,1,2006
DK,13595,1,2006
DK,13608,1,2006
DK,13622,2,2006
DK,13653,1,2006
DK,13686,1,2006
DK,13728,2,2006
DK,13730,1,2006
DK,13761,1,2006
DK,13780,1,2006
DK,13787,1,2006
DK,13795,1,2006
DK,13824,1,2006
DK,13862,1,2006
DK,13875,1,2006
DK,13884,1,2006
DK,13949,1,2006
DK,13995,2,2006
DK,14020,1,2006
DK,14127,1,2006
DK,14149,1,2006
DK,14189,1,2006
DK,14204,2,2006
DK,14259,1,2006
DK,14260,2,2006
DK,14271,1,2006
DK,14283,1,2006
DK,14284,1,2006
DK,14302,2,2006
DK,14348,NA,2006
DK,14350,1,2006
DK,14394,1,2006
DK,14416,1,2006
DK,14419,1,2006
DK,14430,1,2006
DK,14470,1,2006
DK,14471,1,2006
DK,14479,1,2006
DK,14491,1,2006
DK,14597,1,2006
DK,14612,1,2006
DK,14618,2,2006
DK,14671,1,2006
DK,14755,1,2006
DK,14790,1,2006
DK,14814,2,2006
DK,14857,1,2006
DK,14861,1,2006
DK,14872,1,2006
DK,14890,1,2006
DK,14896,2,2006
DK,14958,1,2006
DK,14971,1,2006
DK,14990,1,2006
DK,14991,2,2006
DK,15054,1,2006
DK,15069,1,2006
DK,15196,1,2006
DK,15210,2,2006
DK,15239,1,2006
DK,15313,1,2006
DK,15325,1,2006
DK,15341,1,2006
DK,15368,1,2006
DK,15374,1,2006
DK,15383,1,2006
DK,15386,1,2006
DK,15473,1,2006
DK,15497,1,2006
DK,15501,1,2006
DK,15535,1,2006
DK,15556,1,2006
DK,15575,1,2006
DK,15597,1,2006
DK,15704,1,2006
DK,15720,1,2006
DK,15739,1,2006
DK,15780,1,2006
DK,15817,NA,2006
DK,15837,1,2006
DK,15864,1,2006
DK,15930,1,2006
DK,15980,1,2006
DK,16001,1,2006
DK,16009,1,2006
DK,16012,1,2006
DK,16018,1,2006
DK,16034,1,2006
DK,16043,1,2006
DK,16068,1,2006
DK,16105,1,2006
DK,16154,1,2006
DK,16205,1,2006
DK,16247,1,2006
DK,16249,2,2006
DK,16252,1,2006
DK,16255,1,2006
DK,16291,1,2006
DK,16306,1,2006
DK,16312,2,2006
DK,16330,1,2006
DK,16372,1,2006
DK,16381,1,2006
DK,16391,1,2006
DK,16452,1,2006
DK,16455,1,2006
DK,16462,NA,2006
DK,16464,1,2006
DK,16470,1,2006
DK,16478,1,2006
DK,16488,1,2006
DK,16502,1,2006
DK,16538,1,2006
DK,16558,1,2006
DK,16568,1,2006
DK,16678,1,2006
DK,16705,2,2006
DK,16711,1,2006
DK,16714,1,2006
DK,16793,1,2006
DK,16825,1,2006
DK,16871,2,2006
DK,16884,1,2006
DK,16887,1,2006
DK,16894,1,2006
DK,16895,1,2006
DK,16918,1,2006
DK,16932,1,2006
DK,17000,1,2006
DK,17021,1,2006
DK,17022,1,2006
DK,17049,1,2006
DK,17097,1,2006
DK,17100,1,2006
DK,17106,1,2006
DK,17119,1,2006
DK,17141,1,2006
DK,17151,2,2006
DK,17181,1,2006
DK,17223,2,2006
DK,17226,1,2006
DK,17260,1,2006
DK,17296,2,2006
DK,17300,1,2006
DK,17305,1,2006
DK,17346,1,2006
DK,17358,2,2006
DK,17360,1,2006
DK,17395,1,2006
DK,17430,1,2006
DK,17442,1,2006
DK,17443,1,2006
DK,17484,2,2006
DK,17502,1,2006
DK,17516,1,2006
DK,17534,1,2006
DK,17549,1,2006
DK,17550,1,2006
DK,17564,1,2006
DK,17621,1,2006
DK,17622,1,2006
DK,17654,1,2006
DK,17655,1,2006
DK,17661,1,2006
DK,17671,1,2006
DK,17751,1,2006
DK,17761,NA,2006
DK,17787,1,2006
DK,17803,1,2006
DK,17816,2,2006
DK,17826,1,2006
DK,17834,1,2006
DK,17849,1,2006
DK,17914,1,2006
DK,17928,1,2006
DK,17941,1,2006
DK,17972,1,2006
DK,18003,1,2006
DK,18006,1,2006
DK,18032,1,2006
DK,18061,1,2006
DK,18064,1,2006
DK,18082,1,2006
DK,18100,1,2006
DK,18133,1,2006
DK,18154,1,2006
DK,18166,1,2006
DK,18174,1,2006
DK,18195,1,2006
DK,18212,1,2006
DK,18281,1,2006
DK,18311,1,2006
DK,18313,1,2006
DK,18341,1,2006
DK,18358,1,2006
DK,18391,1,2006
DK,18402,2,2006
DK,18411,2,2006
DK,18420,1,2006
DK,18493,2,2006
DK,18684,1,2006
DK,18693,1,2006
DK,18696,2,2006
DK,18698,1,2006
DK,18712,1,2006
DK,18715,1,2006
DK,18743,2,2006
DK,18757,2,2006
DK,18778,1,2006
DK,18801,2,2006
DK,18809,2,2006
DK,18903,1,2006
DK,18913,1,2006
DK,18946,2,2006
DK,18948,2,2006
DK,18984,2,2006
DK,19044,1,2006
DK,19057,1,2006
DK,19118,1,2006
DK,19119,1,2006
DK,19134,1,2006
DK,19141,1,2006
DK,19147,NA,2006
DK,19159,2,2006
DK,19165,1,2006
DK,19172,1,2006
DK,19184,1,2006
DK,19200,1,2006
DK,19211,2,2006
DK,19215,2,2006
DK,19259,1,2006
DK,19263,1,2006
DK,19287,1,2006
DK,19311,1,2006
DK,19313,2,2006
DK,19315,1,2006
DK,19333,1,2006
DK,19361,2,2006
DK,19375,1,2006
DK,19378,2,2006
DK,19391,1,2006
DK,19392,1,2006
DK,19395,1,2006
DK,19438,1,2006
DK,19439,1,2006
DK,19485,1,2006
DK,19507,1,2006
DK,19526,1,2006
DK,19528,1,2006
DK,19554,1,2006
DK,19619,1,2006
DK,19638,2,2006
DK,19641,1,2006
DK,19698,1,2006
DK,19784,2,2006
DK,19816,1,2006
DK,19827,1,2006
DK,19882,1,2006
DK,19894,1,2006
DK,19964,1,2006
DK,19965,1,2006
DK,19967,1,2006
DK,19986,1,2006
DK,20008,1,2006
DK,20037,1,2006
DK,20058,1,2006
DK,20086,2,2006
DK,20134,1,2006
DK,20232,1,2006
DK,20241,1,2006
DK,20247,1,2006
DK,20249,1,2006
DK,20274,1,2006
DK,20292,1,2006
DK,20302,1,2006
DK,20326,1,2006
DK,20346,1,2006
DK,20367,2,2006
DK,20408,1,2006
DK,20433,1,2006
DK,20447,1,2006
DK,20500,1,2006
DK,20531,1,2006
DK,20554,1,2006
DK,20641,1,2006
DK,20654,1,2006
DK,20667,1,2006
DK,20689,1,2006
DK,20697,1,2006
DK,20732,2,2006
DK,20757,1,2006
DK,20765,2,2006
DK,20802,2,2006
DK,20840,2,2006
DK,20845,2,2006
DK,20880,1,2006
DK,20911,1,2006
DK,20915,1,2006
DK,20929,2,2006
DK,20944,1,2006
DK,20959,1,2006
DK,20981,1,2006
DK,20983,1,2006
DK,21034,1,2006
DK,21043,1,2006
DK,21063,1,2006
DK,21095,1,2006
DK,21140,1,2006
DK,21160,1,2006
DK,21171,1,2006
DK,21182,1,2006
DK,21187,1,2006
DK,21196,1,2006
DK,21217,1,2006
DK,21218,1,2006
DK,21227,1,2006
DK,21249,1,2006
DK,21268,1,2006
DK,21269,2,2006
DK,21302,2,2006
DK,21326,1,2006
DK,21369,1,2006
DK,21382,2,2006
DK,21429,1,2006
DK,21443,1,2006
DK,21504,1,2006
DK,21513,1,2006
DK,21543,1,2006
DK,21585,1,2006
DK,21603,1,2006
DK,21604,1,2006
DK,21646,1,2006
DK,21665,2,2006
DK,21669,1,2006
DK,21702,1,2006
DK,21721,1,2006
DK,21754,1,2006
DK,21760,1,2006
DK,21768,1,2006
DK,21781,1,2006
DK,21792,1,2006
DK,21795,1,2006
DK,21848,1,2006
DK,21878,1,2006
DK,21898,1,2006
DK,21911,1,2006
DK,21940,1,2006
DK,21943,1,2006
DK,21962,2,2006
DK,21985,1,2006
DK,21995,2,2006
DK,22046,1,2006
DK,22050,2,2006
DK,22115,1,2006
DK,22127,1,2006
DK,22143,1,2006
DK,22144,1,2006
DK,22185,1,2006
DK,22207,1,2006
DK,22260,1,2006
DK,22357,1,2006
DK,22364,2,2006
DK,22410,1,2006
DK,22427,1,2006
DK,22494,1,2006
DK,22520,1,2006
DK,22535,1,2006
DK,22570,1,2006
DK,22602,1,2006
DK,22603,1,2006
DK,22607,2,2006
DK,22642,1,2006
DK,22644,1,2006
DK,22648,1,2006
DK,22662,1,2006
DK,22679,2,2006
DK,22688,1,2006
DK,22694,1,2006
DK,22724,1,2006
DK,22726,1,2006
DK,22755,1,2006
DK,22813,2,2006
DK,22816,1,2006
DK,22825,1,2006
DK,22878,2,2006
DK,22900,1,2006
DK,22913,1,2006
DK,22915,1,2006
DK,22917,1,2006
DK,22920,1,2006
DK,22953,2,2006
DK,22959,1,2006
DK,22966,1,2006
DK,22974,1,2006
DK,22977,1,2006
DK,22996,1,2006
DK,23008,1,2006
DK,23025,1,2006
DK,23068,1,2006
DK,23074,1,2006
DK,23075,1,2006
DK,23081,1,2006
DK,23090,2,2006
DK,23118,1,2006
DK,23123,1,2006
DK,23139,1,2006
DK,23152,2,2006
DK,23162,1,2006
DK,23165,1,2006
DK,23238,2,2006
DK,23239,1,2006
DK,23245,2,2006
DK,23258,1,2006
DK,23274,2,2006
DK,23320,2,2006
DK,23325,1,2006
DK,23339,1,2006
DK,23349,1,2006
DK,23352,1,2006
DK,23359,1,2006
DK,23367,1,2006
DK,23384,1,2006
DK,23407,1,2006
DK,23413,1,2006
DK,23430,1,2006
DK,23445,1,2006
DK,23470,1,2006
DK,23493,1,2006
DK,23496,1,2006
DK,23513,1,2006
DK,23554,1,2006
DK,23576,1,2006
DK,23582,1,2006
DK,23626,1,2006
DK,23703,1,2006
DK,23710,1,2006
DK,23713,1,2006
DK,23722,1,2006
DK,23756,1,2006
DK,23778,2,2006
DK,23779,1,2006
DK,23781,1,2006
DK,23814,1,2006
DK,23815,1,2006
DK,23823,1,2006
DK,23840,1,2006
DK,23850,1,2006
DK,23884,1,2006
DK,23886,1,2006
DK,23895,2,2006
DK,23910,1,2006
DK,23956,1,2006
DK,23970,1,2006
DK,24024,1,2006
DK,24041,1,2006
DK,24078,1,2006
DK,24080,1,2006
DK,24087,2,2006
DK,24096,2,2006
DK,24097,2,2006
DK,24110,1,2006
DK,24113,2,2006
DK,24114,1,2006
DK,24119,1,2006
DK,24122,1,2006
DK,24173,2,2006
DK,24209,1,2006
DK,24211,2,2006
DK,24212,1,2006
DK,24252,2,2006
DK,24294,1,2006
DK,24358,2,2006
DK,24360,1,2006
DK,24361,1,2006
DK,24370,2,2006
DK,24378,2,2006
DK,24412,1,2006
DK,24416,1,2006
DK,24423,1,2006
DK,24435,1,2006
DK,24444,1,2006
DK,24458,2,2006
DK,24547,1,2006
DK,24556,1,2006
DK,24584,1,2006
DK,24588,1,2006
DK,24638,1,2006
DK,24643,2,2006
DK,24650,1,2006
DK,24666,1,2006
DK,24680,1,2006
DK,24706,1,2006
DK,24711,1,2006
DK,24716,1,2006
DK,24718,1,2006
DK,24739,1,2006
DK,24746,1,2006
DK,24780,1,2006
DK,24824,1,2006
DK,24825,1,2006
DK,24839,1,2006
DK,24842,1,2006
DK,24866,1,2006
DK,24899,2,2006
DK,24920,1,2006
DK,24922,2,2006
DK,24928,NA,2006
DK,24955,1,2006
DK,24959,1,2006
DK,24964,1,2006
DK,25011,2,2006
DK,25029,1,2006
DK,25047,1,2006
DK,25069,2,2006
DK,25078,1,2006
DK,25084,2,2006
DK,25163,1,2006
DK,25182,1,2006
DK,25192,1,2006
DK,25271,2,2006
DK,25291,1,2006
DK,25294,1,2006
DK,25308,1,2006
DK,25309,2,2006
DK,25347,2,2006
DK,25359,1,2006
DK,25388,1,2006
DK,25462,1,2006
DK,25487,1,2006
DK,25493,1,2006
DK,25512,1,2006
DK,25560,2,2006
DK,25573,1,2006
DK,25587,1,2006
DK,25640,1,2006
DK,25657,2,2006
DK,25660,1,2006
DK,25662,1,2006
DK,25676,1,2006
DK,25732,1,2006
DK,25755,1,2006
DK,25762,2,2006
DK,25773,1,2006
DK,25828,2,2006
DK,25851,2,2006
DK,25871,1,2006
DK,25930,1,2006
DK,25931,1,2006
DK,25933,1,2006
DK,25955,1,2006
DK,25976,2,2006
DK,26001,1,2006
DK,26061,1,2006
DK,26070,2,2006
DK,26081,1,2006
DK,26091,1,2006
DK,26154,1,2006
DK,26155,1,2006
DK,26176,1,2006
DK,26206,1,2006
DK,26217,1,2006
DK,26313,1,2006
DK,26335,1,2006
DK,26387,1,2006
DK,26439,2,2006
DK,26501,1,2006
DK,26509,1,2006
DK,26558,1,2006
DK,26559,1,2006
DK,26587,1,2006
DK,26590,1,2006
DK,26673,2,2006
DK,26700,1,2006
DK,26768,2,2006
DK,26769,1,2006
DK,26790,2,2006
DK,26805,1,2006
DK,26812,1,2006
DK,26814,1,2006
DK,26836,1,2006
DK,26845,1,2006
DK,26858,1,2006
DK,26915,1,2006
DK,26923,1,2006
DK,26946,1,2006
DK,26965,1,2006
DK,27015,2,2006
DK,27037,1,2006
DK,27038,2,2006
DK,27063,2,2006
DK,27094,1,2006
DK,27112,1,2006
DK,27224,1,2006
DK,27228,1,2006
DK,27236,1,2006
DK,27238,1,2006
DK,27299,1,2006
DK,27323,2,2006
DK,27342,2,2006
DK,27349,1,2006
DK,27358,1,2006
DK,27377,1,2006
DK,27396,1,2006
DK,27398,1,2006
DK,27400,1,2006
DK,27413,1,2006
DK,27422,1,2006
DK,27484,2,2006
DK,27485,2,2006
DK,27486,1,2006
DK,27489,2,2006
DK,27493,1,2006
DK,27519,1,2006
DK,27521,1,2006
DK,27542,2,2006
DK,27623,1,2006
DK,27661,1,2006
DK,27672,1,2006
DK,27681,1,2006
DK,27693,1,2006
DK,27704,1,2006
DK,27729,1,2006
DK,27733,1,2006
DK,27781,2,2006
DK,27828,2,2006
DK,27841,1,2006
DK,27941,1,2006
DK,27945,2,2006
DK,27953,2,2006
DK,27985,1,2006
DK,28001,1,2006
DK,28008,1,2006
DK,28011,1,2006
DK,28023,2,2006
DK,28040,1,2006
DK,28047,1,2006
DK,28060,1,2006
DK,28073,1,2006
DK,28136,1,2006
DK,28169,1,2006
DK,28180,1,2006
DK,28190,1,2006
DK,28238,2,2006
DK,28248,1,2006
DK,28256,1,2006
DK,28265,1,2006
DK,28273,1,2006
DK,28277,1,2006
DK,28302,1,2006
DK,28306,1,2006
DK,28322,1,2006
DK,28347,1,2006
DK,28376,1,2006
DK,28418,1,2006
DK,28426,1,2006
DK,28429,2,2006
DK,28450,1,2006
DK,28476,1,2006
DK,28477,1,2006
DK,28486,1,2006
DK,28522,1,2006
DK,28527,2,2006
DK,28551,1,2006
DK,28557,1,2006
DK,28584,1,2006
DK,28613,1,2006
DK,28707,1,2006
DK,28710,1,2006
DK,28722,2,2006
DK,28742,1,2006
DK,28749,1,2006
