"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL050","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX010","PX020","PX030","PX040","PX050","PT005","PT010","PT020","PT030","PT040","PT050","PT060","PT070","PT080","PT090","PT100","PT110","PT120","PT130","PT140","PT150","PT160","PT170","PT180","PT190","PT200","PT210"
"2011","DK",3471,565.59169550173,"NA","1","2011","NA","1",1930,"1","2","3","DK","2","NA","3","7","NA","NA","NA","1","3","93","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",1,1,19028,0,0,0,1,0,0,,13363,0,0,0,1514,0,1,"7.4473",80,347,"2","2","NA","1","2","NA","NA","1917","NA","1","1929","1","1","2","NA","NA","1","NA","NA","2","NA","NA","NA","NA"
"2011","DK",3711,565.59169550173,"757.5642","1","2011","NA","4",1989,"1","1","1","DK","2","5","3","6","NA","2","NA","NA","NA","NA",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","NA","NA",1,1,0,0,0,435,1,0,-3267,,279,0,0,0,0,6936,1,"7.4473",21,371,"2","2","NA","NA","NA","NA","NA","1936","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","DK",4401,565.59169550173,"1072.95","2","2011","NA","4",1935,"2","4","1","DK","2","NA","3","7","NA","NA","2","NA","3","52","4","37","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA",1,1,0,0,0,423,1,0,0,,41286,0,0,0,0,0,1,"7.4473",75,440,"2","6","NA","NA","NA","8","NA","1943","NA","NA","1930","1","1","2","NA","1","NA","1","NA","NA","NA","NA","NA","NA"
"2011","DK",4521,565.59169550173,"1104.184","1","2011","NA","3",1939,"2","5","1","DK","1","5","3","7","NA","1","2","1","NA","NA","8","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","2","NA",1,1,0,0,0,0,1,0,0,,10782,0,0,0,690,0,1,"7.4473",71,452,"2","2","NA","NA","NA","1","NA","1930","NA","NA","NA","NA","NA","NA","2","NA","NA","1","NA","NA","NA","2","NA","NA"
"2011","DK",4561,565.59169550173,"NA","2","2011","NA","3",1930,"1","2","1","DK","2","NA","3","7","NA","1","NA","NA","1","33","2","37","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","NA",1,1,0,0,0,635,1,0,0,,7842,0,0,0,8912,0,1,"7.4473",80,456,"2","2","NA","1","NA","NA","4","1933","NA","NA","NA","1","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2"
"2011","DK",4801,565.59169550173,"527.0578","1","2011","NA","2",1951,"2","2","3","DK","2","NA","5","3","NA","1","NA","NA","1","23","2","33","NA","NA","NA","NA","1","2","NA","NA","NA","NA","1","2","2","2","NA","2","NA",1,1,0,0,0,471,1,822,22701,,77,0,0,0,0,0,1,"7.4473",59,480,"3","7","NA","1","NA","NA","6","NA","NA","NA","NA","NA","1","3","NA","NA","NA","NA","5","NA","NA","NA","NA","1"
"2011","DK",5491,565.59169550173,"972.7015","1","2011","NA","4",1978,"1","1","1","DK","2","NA","5","1","NA","NA","NA","NA","3","1","5","37","NA","r-u","NA","NA","1","NA","1","NA","NA","NA","3","NA","NA","2","NA","NA","NA",1,1,126958,0,0,706,1,0,0,,539,0,0,0,0,0,1,"7.4473",32,549,"3","2","NA","NA","2","3","NA","1932","NA","NA","1933","NA","1","NA","1","1","2","NA","1","NA","NA","4","NA","NA"
"2011","DK",5841,565.59169550173,"NA","2","2011","NA","1",1978,"1","1","1","DK","2","NA","3","2","NA","NA","NA","NA","3","34","5","37","NA","q","NA","NA","NA","NA","2","3","NA","NA","NA","2","NA","1","NA","1","NA",1,1,41630,0,0,0,1,604,0,,484,0,0,12090,0,0,1,"7.4473",32,584,"3","2","NA","NA","2","NA","NA","NA","NA","1","NA","1","1","NA","2","1","1","7","1","2","NA","NA","NA","2"
"2011","DK",6001,565.59169550173,"1457.267","2","2011","NA","4",1984,"1","1","1","DK","1","3","3","1","NA","2","2","NA","NA","NA","7","NA","NA","f","NA","6","NA","NA","NA","NA","NA","NA","3","2","2","2","1","2","NA",1,1,8563,0,0,516,1,0,0,,762,0,0,120,0,0,1,"7.4473",26,600,"2","7","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","DK",6181,565.59169550173,"544.2956","1","2011","NA","4",1933,"2","4","1","DK","2","NA","3","7","NA","1","NA","NA","3","33","3","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","3","1","NA","2","NA","2","NA",1,1,0,0,0,583,1,0,0,,241,18119,0,0,0,0,1,"7.4473",77,618,"2","7","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","5","NA"
"2011","DK",6251,565.59169550173,"NA","2","2011","NA","2",1975,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","34","3","37","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","2","NA","2","NA",1,1,55904,0,0,0,1,0,0,,299,0,0,0,0,0,1,"7.4473",35,625,"2","6","NA","1","3","NA","2","1945","1","NA","1931","NA","NA","NA","2","1","NA","NA","NA","NA","NA","6","NA","1"
"2011","DK",7021,565.59169550173,"NA","2","2011","NA","1",1985,"1","1","3","DK","1","NA","2","6","NA","1","1","NA","2","21",,"NA","NA","NA","NA","11","1","2","NA","NA","NA","NA","1","2","2","NA","NA","2","NA",1,1,19076,0,0,433,1,0,0,,0,0,0,0,0,0,1,"7.4473",25,702,"3","2","NA","NA","NA","NA","NA","NA","1","NA","NA","1","1","NA","NA","1","NA","NA","NA","2","NA","5","NA","NA"
"2011","DK",7201,565.59169550173,"557.5148","1","2011","NA","4",1948,"1","5","3","DK","2","NA","3","5","NA","NA","NA","NA","3","41","4","40","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","NA","3","NA","NA","2","NA",1,1,0,0,0,626,1,0,0,,32554,0,0,8460,0,0,1,"7.4473",62,720,"2","6","NA","1","NA","1","NA","NA","NA","NA","NA","1","1","3","NA","NA","2","7","NA","NA","NA","4","4","NA"
"2011","DK",7541,565.59169550173,"1369.632","1","2011","NA","2",1948,"2","2","2","DK","1","NA","3","7","NA","1","2","NA","NA","73","3","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",1,1,0,0,0,664,1,3330,0,,19397,0,0,0,0,0,1,"7.4473",62,754,"2","6","NA","NA","1","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA"
"2011","DK",8341,565.59169550173,"1349.005","2","2011","NA","4",1971,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","74","3","NA","NA","j","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA",1,1,46117,0,0,0,1,0,0,,242,0,0,0,0,0,1,"7.4473",39,834,"2","6","NA","1","NA","2","NA","1932","NA","NA","NA","1","1","NA","1","1","2","NA","1","NA","NA","NA","NA","1"
"2011","DK",8681,565.59169550173,"872.5741","2","2011","NA","1",1959,"2","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","24","2","35","NA","NA","NA","13","1","2","2","NA","NA","NA","1","2","2","NA","NA","2","NA",1,1,38022,0,0,613,1,457,0,,160,0,0,0,0,0,1,"7.4473",51,868,"3","2","NA","1","NA","2","NA","NA","NA","NA","1955","NA","NA","NA","3","1","NA","NA","2","NA","NA","NA","NA","2"
"2011","DK",8701,565.59169550173,"787.9186","1","2011","NA","3",1984,"1","1","3","DK","1","5","5","6","NA","1","1","NA","1","NA",,"NA","NA","NA","3","NA","NA","2","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",1,1,10467,0,0,901,1,0,0,,0,0,0,0,0,0,1,"7.4473",26,870,"2","6","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA"
"2011","DK",8721,565.59169550173,"NA","1","2011","NA","1",1982,"2","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","34","5","48","NA","NA","NA","13","NA","2","2","NA","NA","NA","NA","1","3","NA","NA","2","NA",1,1,53590,0,0,606,1,0,0,,763,0,0,0,0,0,1,"7.4473",28,872,"3","5","NA","NA","NA","3","NA","NA","1","NA","1936","1","1","NA","NA","1","2","NA","NA","2","7","4","NA","NA"
"2011","DK",8761,565.59169550173,"1505.65","1","2011","NA","1",1945,"1","2","1","DK","2","NA","5","1","NA","NA","NA","NA","1","34","2","40","NA","l-n","NA","NA","1","2","NA","NA","NA","NA","1","NA","NA","2","6","2","NA",1,1,40668,1062,954,435,1,0,14,,0,0,0,0,0,0,1,"7.4473",65,876,"2","3","NA","NA","NA","3","2","NA","NA","1","NA","NA","1","3","NA","NA","NA","NA","NA","NA","2","NA","4","1"
"2011","DK",8801,565.59169550173,"NA","1","2011","NA","2",1989,"1","1","2","DK","1","3","3","5","NA","2","NA","NA","3","NA","5","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","3","NA","NA","2","NA",1,1,13908,0,0,435,1,0,0,,103,0,0,0,0,0,1,"7.4473",21,880,"2","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","DK",9351,565.59169550173,"NA","1","2011","NA","4",1971,"2","1","1","EU","2","NA","5","1","NA","NA","NA","NA","3","72","2","46","NA","j","NA","NA","NA","2","NA","NA","NA","NA","NA","1","3","2","NA","2","NA",1,1,32136,178,0,38,1,1444,0,,21,0,0,0,0,0,1,"7.4473",39,935,"2","2","NA","NA","NA","NA","4","NA","NA","NA","NA","NA","1","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA"
"2011","DK",9451,565.59169550173,"NA","1","2011","NA","3",1947,"2","5","3","DK","1","NA","3","1","NA","NA","NA","NA","2","72","2","50","NA","p","NA","13","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","2","NA",1,1,59682,0,0,0,1,0,0,,0,0,0,0,0,0,1,"7.4473",63,945,"2","6","NA","1","1","NA","3","1929","1","1","NA","NA","1","3","NA","NA","2","NA","NA","NA","6","6","4","NA"
"2011","DK",9731,565.59169550173,"NA","1","2011","NA","2",1982,"2","2","1","Other","2","NA","2","1","NA","1","NA","NA","2","42","5","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA",1,1,12128,0,0,331,1,0,760,,10199,0,0,420,0,0,1,"7.4473",28,973,"3","7","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1"
"2011","DK",10151,565.59169550173,"NA","NA","2011","NA","2",1988,"2","1","1","DK","2","NA","2","6","NA","NA","NA","NA","NA","41","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","2","NA","NA","NA",1,1,0,0,0,0,1,0,209,,271,0,0,0,0,13479,1,"7.4473",22,1015,"3","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA"
"2011","DK",10561,565.59169550173,"NA","2","2011","NA","4",1974,"1","1","1","DK","2","NA","3","5","NA","2","NA","NA","1","33",,"34","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","NA","NA","NA","2","NA",1,1,0,0,0,471,1,671,0,,29710,0,0,0,0,0,1,"7.4473",36,1056,"2","2","NA","NA","2","2","1","NA","NA","NA","NA","1","1","NA","1","NA","2","NA","NA","1","5","5","NA","NA"
"2011","DK",11261,565.59169550173,"NA","1","2011","NA","2",1987,"1","1","1","DK","2","3","3","1","NA","2","NA","NA","3","NA","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","2","NA","1","NA",1,1,1190,0,0,29,1,0,0,,2706,0,0,240,0,5615,1,"7.4473",23,1126,"2","2","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA"
"2011","DK",11681,565.59169550173,"963.4878","1","2011","NA","1",1930,"2","4","2","DK","2","NA","3","7","NA","1","NA","NA","3","NA","4","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,,119,19075,0,0,0,0,1,"7.4473",80,1168,"3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2"
"2011","DK",12091,565.59169550173,"NA","2","2011","NA","3",1962,"1","5","3","DK","2","NA","5","3","NA","NA","NA","NA","3","33","4","37","NA","l-n","NA","13","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",1,1,45096,5724,5724,435,1,0,12,,186,0,0,0,0,0,1,"7.4473",48,1209,"2","2","NA","NA","NA","NA","3","1931","1","1","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","5","NA","5","1"
"2011","DK",12171,565.59169550173,"471.9606","1","2011","NA","2",1942,"2","1","1","DK","2","NA","2","7","NA","1","NA","NA","3","23","3","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","2","2","1","2","NA","2","NA",1,1,0,0,0,0,1,12152,0,,30731,0,0,0,0,0,1,"7.4473",68,1217,"2","2","NA","NA","NA","NA","NA","1954","NA","NA","NA","1","1","NA","1","NA","NA","NA","1","2","3","NA","NA","NA"
"2011","DK",13251,565.59169550173,"2028.245","1","2011","NA","1",1946,"2","1","1","DK","2","NA","2","8","NA","1","1","NA","3","33",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","2","NA",1,1,0,0,0,145,1,0,189,,19623,0,0,0,7936,0,1,"7.4473",64,1325,"2","7","NA","NA","NA","3","NA","NA","NA","NA","NA","1","1","2","NA","NA","NA","NA","NA","NA","4","NA","2","NA"
"2011","DK",13341,565.59169550173,"951.1574","2","2011","NA","3",1951,"1","1","1","DK","2","NA","3","1","NA","1","NA","NA","1","91","9","NA","NA","g","NA","NA","1","2","NA","NA","NA","NA","1","2","NA","2","NA","NA","NA",1,1,29582,0,0,400,1,0,6,,121,0,0,0,0,0,1,"7.4473",59,1334,"3","6","NA","1","1","NA","3","1940","1","NA","NA","1","1","NA","NA","NA","NA","3","NA","NA","NA","NA","5","NA"
"2011","DK",13701,565.59169550173,"1033.381","1","2011","NA","1",1960,"1","5","1","DK","2","NA","3","5","NA","1","2","NA","3","91","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","2","NA","2","NA","NA","NA",1,1,0,0,0,0,1,1135,0,,12291,0,0,0,0,0,1,"7.4473",50,1370,"3","7","NA","NA","NA","4","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","5","NA"
"2011","DK",13731,565.59169550173,"NA","2","2011","NA","4",1930,"2","5","2","DK","2","NA","3","7","NA","NA","NA","NA","3","33","4","NA","NA","NA","NA","11","NA","2","NA","NA","NA","NA","1","1","3","2","NA","2","NA",1,1,0,0,0,0,1,4913,0,,149,36386,0,0,0,0,1,"7.4473",80,1373,"2","6","NA","NA","2","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","2"
"2011","DK",13801,565.59169550173,"NA","2","2011","NA","4",1930,"2","2","3","DK","2","NA","5","7","NA","1","NA","NA","3","31","5","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","2","NA","1","NA",1,1,9522,0,0,0,1,0,-5,,0,7822,0,0,0,0,1,"7.4473",80,1380,"3","2","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","1","3","NA","NA","NA","1","NA","NA","NA","NA","NA"
"2011","DK",13891,565.59169550173,"748.5902","1","2011","NA","4",1974,"1","1","3","DK","2","NA","3","1","NA","NA","NA","NA","1","12","4","NA","8","k","NA","11","NA","2","NA","NA","NA","NA","1","2","NA","2","NA","2","NA",1,1,103415,0,0,613,1,0,0,,0,0,0,0,0,0,1,"7.4473",36,1389,"2","6","NA","NA","NA","NA","4","1946","NA","NA","1940","NA","1","1","NA","2","1","1","5","1","NA","4","NA","1"
"2011","DK",14171,565.59169550173,"1222.1","1","2011","NA","2",1979,"1","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","NA","3","34","NA","k","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",1,1,45633,0,0,0,1,0,1076,,296,0,0,0,0,0,1,"7.4473",31,1417,"3","7","NA","1","NA","NA","NA","1941","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA","2","NA","5","3","2"
"2011","DK",14261,565.59169550173,"NA","1","2011","NA","1",1988,"1","1","2","DK","2","3","2","6","NA","2","1","NA","NA","31",,"10","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","3","2","NA","NA","NA",1,1,3555,0,0,0,1,0,0,,189,0,0,0,0,0,1,"7.4473",22,1426,"2","2","NA","NA","NA","2","1","NA","NA","NA","1949","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1"
"2011","DK",14431,565.59169550173,"1286.229","1","2011","NA","4",1930,"2","4","3","DK","1","NA","5","7","NA","NA","NA","NA","3","82","5","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","3","1","3","2","NA","NA","NA",1,1,2013,0,0,0,1,0,0,,231,33738,0,0,0,0,1,"7.4473",80,1443,"3","2","NA","1","NA","5","NA","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","2","NA","6","NA","NA"
"2011","DK",15071,565.59169550173,"2212.712","2","2011","NA","2",1978,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","33","0 - 1","NA","NA","o","NA","NA","1","NA","NA","NA","NA","NA","1","NA","3","2","NA","NA","NA",1,1,96013,0,0,435,1,7873,0,,438,0,0,0,0,0,1,"7.4473",32,1507,"3","3","NA","NA","NA","NA","NA","1941","1","NA","1937","1","1","1","1","NA","NA","NA","NA","NA","1","5","NA","NA"
"2011","DK",15561,565.59169550173,"NA","NA","2011","NA","4",1980,"1","1","2","DK","2","NA","3","5","NA","1","NA","NA","3","33","6","37","NA","a","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","2","NA",1,1,0,0,0,249,1,322,0,,35625,0,0,0,0,0,1,"7.4473",30,1556,"2","2","NA","2","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2","NA","NA","NA","NA","2","3","5","NA","NA"
"2011","DK",15881,565.59169550173,"1443.087","2","2011","NA","1",1943,"1","2","1","DK","2","NA","5","2","NA","NA","NA","NA","3","83","5","15","2","q","NA","NA","1","2","NA","NA","NA","NA","3","2","3","2","NA","2","NA",1,1,7169,0,0,522,1,0,18927,,0,19028,0,0,0,0,1,"7.4473",67,1588,"2","2","NA","1","2","3","NA","1939","NA","1","1955","1","NA","NA","NA","2","1","NA","NA","NA","5","NA","5","NA"
"2011","DK",15911,565.59169550173,"1352.232","2","2011","NA","3",1962,"1","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","23","5","NA","NA","q","NA","13","NA","NA","2","NA","NA","NA","1","NA","3","2","NA","2","NA",1,1,67654,400,0,621,1,10229,0,,0,0,0,0,0,0,1,"7.4473",48,1591,"2","2","NA","NA","2","1","2","NA","1","NA","NA","NA","1","NA","NA","NA","2","2","NA","NA","NA","5","5","1"
"2011","DK",16041,565.59169550173,"NA","1","2011","NA","1",1930,"2","5","1","DK","2","NA","2","7","NA","NA","NA","NA","NA","NA","0 - 1","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","2","3","2","NA","2","NA",1,1,0,0,0,0,1,0,0,,9439,16147,0,0,0,0,1,"7.4473",80,1604,"2","2","NA","1","NA","NA","NA","NA","NA","1","1940","NA","NA","NA","NA","1","NA","NA","1","NA","NA","NA","NA","NA"
