"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD010","PD020","PD030","PD040","PD050","PD060","PD070","PX030","PX040","PL031","pl070","pl070_f","pl072","pl072_f","PX020","PX050","PX010","PL110","PL111"
"2009","DK",6121,505.861650485437,"NA","1","2009","NA","1",1949,"2","2","3","DK","2","NA","2","NA","NA","1","NA","NA","3","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","NA","NA","2","NA",1,1,1,0,0,0,76,1,0,0,0,,0,0,0,0,20538,0,1,"1","1","NA","NA","1","1","1",612,"3","8",,,,,59,"2","7.456",,"NA"
"2009","DK",6311,505.861650485437,"405.8075","1","2009","NA","3",1948,"2","5","1","EU","2","NA","NA","NA","NA","1","2","NA","3","4","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","2","2","NA","NA","NA",1,1,1,13798,0,0,364,1,0,0,0,,0,0,0,6582,0,0,1,"1","1","NA","NA","1","NA","NA",631,"2","7",,,,,60,"3","7.456",,"NA"
"2009","DK",6381,505.861650485437,"2454.629","1","2009","NA","1",1954,"2","1","2","DK","2","NA","2","NA","NA","2","2","NA","NA","5","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",1,1,1,0,0,0,0,1,0,0,0,,14083,0,0,2378,0,2144,1,"NA","NA","NA","NA","NA","1","1",638,"3","8",,,,,54,"6","7.456",,"NA"
"2009","DK",7161,505.861650485437,"NA","2","2009","NA","3",1928,"2","4","1","DK","1","NA","3","NA","NA","2","2","NA","3","3","10","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","2","NA",1,1,1,0,0,0,4571,1,0,0,0,,0,12481,0,0,0,0,1,"3","2","1","5","NA","NA","NA",716,"2","7",,,,,80,"6","7.456",,"NA"
"2009","DK",7351,505.861650485437,"2305.017","1","2009","NA","3",1982,"1","1","1","DK","1","NA","2","NA","NA","NA","2","NA","3","5","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","NA","NA","2","NA",1,1,1,17479,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,"3","NA","NA","NA","1","NA","1",735,"2","5",,,,,26,"2","7.456",,"NA"
"2009","DK",7701,505.861650485437,"911.3037","2","2009","NA","3",1950,"1","2","1","DK","2","NA","3","NA","NA","1","NA","1","3","0 - 1","37","NA","NA","12","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","NA","2","NA",1,1,1,110978,0,0,5164,1,0,0,0,,8545,0,0,0,0,0,1,"NA","1","NA","NA","1","NA","1",770,"2","1",,,,,58,"2","7.456",,"g"
"2009","DK",8511,505.861650485437,"NA","2","2009","NA","1",1977,"2","1","3","DK","2","5","2","NA","NA","1","NA","NA","3","3","37","NA","NA","NA","NA","2","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","6","NA","NA",1,1,1,32671,0,0,4801,1,0,53,0,,0,0,0,0,0,0,1,"1","1","NA","1","NA","NA","1",851,"2","1",,,,,31,"2","7.456",,"h"
"2009","DK",8861,505.861650485437,"1097.681","2","2009","NA","2",1937,"1","2","1","DK","2","NA","5","NA","NA","1","2","NA","1","2","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","1","3","2","NA","2","NA",1,1,1,0,0,0,1220,1,0,20106,0,,0,1026,0,0,0,0,1,"NA","NA","1","2","1","1","NA",886,"2","7",,,,,71,"3","7.456",,"NA"
"2009","DK",8881,505.861650485437,"1145.942","1","2009","NA","3",1954,"1","1","1","DK","2","NA","3","NA","NA","NA","NA","NA","3","5","32","NA","NA","11","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","NA","NA",1,1,1,42322,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,"1","1","1","4","1","1","1",888,"2","1",,,,,54,"2","7.456",,"h"
"2009","DK",8901,505.861650485437,"1394.862","1","2009","NA","3",1933,"1","5","3","DK","2","NA","2","NA","NA","NA","NA","NA","3","7","45","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA",1,1,1,0,0,0,0,1,0,50,0,,126837,0,0,0,0,0,1,"3","1","1","NA","1","1","1",890,"3","7",,,,,75,"6","7.456",,"NA"
"2009","DK",8931,505.861650485437,"849.2542","1","2009","NA","1",1985,"2","1","3","DK","2","NA","3","NA","NA","NA","2","NA","3","5","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","1","2","NA","2","NA",1,1,1,20708,0,0,135,1,0,0,0,,0,0,0,0,0,0,1,"1","1","NA","3","NA","1","NA",893,"2","5",,,,,23,"5","7.456",,"NA"
"2009","DK",8981,505.861650485437,"NA","1","2009","NA","3",1946,"2","5","3","DK","2","NA","3","NA","NA","1","NA","NA","3","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA",1,1,1,0,0,0,7949,1,0,0,0,,0,0,0,0,19192,0,1,"1","1","1","1","NA","1","NA",898,"2","8",,,,,62,"2","7.456",,"NA"
"2009","DK",9541,505.861650485437,"617.1814","2","2009","NA","3",1937,"2","4","1","DK","2","NA","2","NA","NA","2","2","NA","NA","4","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","2","NA","2","NA",1,1,1,6300,0,0,0,1,0,0,0,,1328,0,0,0,5090,0,1,"1","2","NA","NA","1","1","NA",954,"3","7",,,,,71,"7","7.456",,"NA"
"2009","DK",9641,505.861650485437,"NA","1","2009","NA","1",1935,"1","2","3","DK","2","NA","3","NA","NA","1","NA","NA","3","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","2","2","NA","2","NA",1,1,1,6284,0,0,4207,1,0,0,0,,6836,5017,0,0,0,0,1,"1","3","1","4","1","1","1",964,"3","7",,,,,73,"6","7.456",,"NA"
"2009","DK",9931,505.861650485437,"NA","2","2009","NA","1",1928,"2","2","2","DK","2","NA","3","NA","NA","NA","2","NA","3","3","31","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","2","NA","NA","NA",1,1,1,0,0,0,6380,1,0,0,0,,0,29246,0,0,0,0,1,"NA","3","NA","4","1","NA","1",993,"2","7",,,,,80,"2","7.456",,"NA"
"2009","DK",10361,505.861650485437,"753.7179","NA","2009","NA","1",1968,"1","2","1","DK","2","NA","5","NA","NA","NA","NA","NA","1","0 - 1","37","NA","NA","13","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",1,1,1,109846,0,0,0,1,805,0,0,,0,0,0,0,0,0,1,"NA","NA","NA","2","NA","1","NA",1036,"2","3",,,,,40,"3","7.456",,"NA"
"2009","DK",10771,505.861650485437,"NA","1","2009","NA","1",1943,"2","5","1","DK","2","NA","5","NA","NA","1","2","NA","3","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","2","NA","2","NA",1,1,1,0,0,0,0,1,0,0,0,,0,0,0,0,18617,0,1,"3","NA","1","3","1","1","NA",1077,"2","8",,,,,65,"7","7.456",,"NA"
"2009","DK",11181,505.861650485437,"NA","1","2009","NA","1",1942,"2","4","3","DK","2","NA","2","NA","NA","1","2","NA","3","3","NA","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","3","NA","NA","2","NA",1,1,1,0,0,0,22,1,0,0,0,,0,11998,0,0,0,0,1,"1","NA","1","2","1","1","NA",1118,"2","7",,,,,66,"6","7.456",,"NA"
"2009","DK",11481,505.861650485437,"611.8257","2","2009","NA","2",1986,"2","1","1","DK","2","NA","3","NA","NA","NA","NA","NA","3","5","37","NA","NA","13","1","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","2","NA","NA","NA",1,1,1,0,0,0,0,1,0,0,0,,23872,0,0,0,0,7688,1,"NA","NA","1","2","1","1","1",1148,"2","1",,,,,22,"2","7.456",,"g"
"2009","DK",11921,505.861650485437,"801.3528","1","2009","NA","3",1968,"1","1","1","DK","2","NA","5","NA","NA","NA","2","NA","3","2","37","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","1","NA","NA","NA","NA",1,1,1,33811,0,0,518,1,0,10,0,,0,0,0,0,0,0,1,"NA","3","1","NA","NA","1","NA",1192,"3","1",,,,,40,"2","7.456",,"o"
"2009","DK",12331,505.861650485437,"956.0168","2","2009","NA","4",1961,"1","1","3","DK","2","NA","2","NA","NA","1","NA","NA","3","8","37","NA","NA","13","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","NA","NA","NA","2","NA",1,1,1,59503,0,0,921,1,0,0,0,,0,0,30439,0,0,0,1,"1","NA","1","3","1","NA","3",1233,"3","1",,,,,47,"6","7.456",,"l-n"
"2009","DK",12421,505.861650485437,"NA","2","2009","NA","3",1975,"2","1","2","DK","2","NA","5","NA","NA","NA","NA","NA","3","3","37","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","3","2","NA","2","NA",1,1,1,54325,75,0,592,1,0,0,0,,9280,0,0,0,0,0,1,"1","NA","1","NA","1","NA","NA",1242,"2","6",,,,,33,"7","7.456",,"NA"
"2009","DK",13511,505.861650485437,"1165.956","1","2009","NA","4",1954,"1","1","1","DK","2","NA","5","NA","NA","NA","NA","NA","3","2","37","20","NA","13","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA",1,1,1,52017,0,0,46,1,0,0,0,,0,0,0,0,0,0,1,"1","NA","1","2","NA","1","1",1351,"2","1",,,,,54,"2","7.456",,"f"
"2009","DK",13621,505.861650485437,"915.3168","2","2009","NA","1",1942,"1","2","1","DK","2","NA","5","NA","NA","NA","NA","NA","2","2","50","20","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","6","NA","NA",1,1,1,9025,0,0,0,1,0,26421,0,,0,13751,0,0,0,0,1,"1","NA","1","2","NA","1","1",1362,"2","3",,,,,66,"6","7.456",,"NA"
"2009","DK",13981,505.861650485437,"NA","2","2009","NA","4",1949,"2","5","2","DK","2","NA","2","NA","NA","1","NA","NA","3","5","37","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","2","3","NA","NA","NA","NA",1,1,1,41735,0,0,5101,1,2366,0,0,,0,0,0,0,0,0,1,"1","1","NA","5","1","NA","1",1398,"2","2",,,,,59,"7","7.456",,"q"
"2009","DK",14011,505.861650485437,"1022.963","2","2009","NA","2",1962,"1","1","3","DK","2","NA","3","NA","NA","1","2","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",1,1,1,15749,0,0,1189,1,0,3,0,,0,0,0,0,0,0,1,"1","NA","1","NA","1","NA","NA",1401,"2","NA",,,,,46,"7","7.456",,"NA"
"2009","DK",14081,505.861650485437,"643.7364","2","2009","NA","1",1982,"1","1","1","Other","2","NA","2","NA","NA","1","NA","NA","3","5","NA","NA","4","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","2","3","2","NA","NA","NA",1,1,1,22754,0,0,397,1,0,0,0,,0,0,0,0,0,0,1,"NA","1","1","NA","1","NA","1",1408,"2","1",,,,,26,"2","7.456",,"q"
"2009","DK",14181,505.861650485437,"1356.238","2","2009","NA","2",1986,"1","1","2","DK","2","NA","2","NA","NA","NA","2","NA","3","5","35","NA","NA","NA","NA","2","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","2","NA","2","NA","NA","NA",1,1,1,18530,0,0,0,1,0,0,0,,0,0,0,0,0,0,1,"1","1","1","NA","1","1","NA",1418,"3","2",,,,,22,"6","7.456",,"g"
"2009","DK",14461,505.861650485437,"665.5467","2","2009","NA","3",1963,"1","1","2","DK","2","NA","3","NA","NA","1","2","NA","3","9","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","1","3","NA","NA","NA","NA",1,1,1,9918,0,0,3835,1,0,2045,0,,0,0,0,10591,0,0,1,"NA","1","NA","2","NA","1","1",1446,"2","8",,,,,45,"6","7.456",,"NA"
