"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2013","DK",305,"NA","2013","NA",140269,123821,0,0,,,,,,,,0,0,0,0,0,,127,,0,1598,0,,14849,,"3","3","3","1","1","1","1","1","1","1","1","5","2686.84","3","NA","2","2","2","1","1","2","4","2","1","NA","NA","2234.57","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",327,"1","2013","NA",22961,17749,0,0,,,,,,,,0,0,0,357,0,,-250,,0,552,751,,3909,,"3","3","3","1","1","1","1","1","1","1","1","1","806.05","3","NA","2","2","2","2","3","2","3","2","1","302.27","NA","477.36","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",347,"1","2013","NA",31301,27105,0,0,,,,,,,,0,0,0,0,0,,3518,,0,0,0,,4196,,"3","3","3","1","1","1","1","1","1","1","2","4","147.78","1","3","2","2","2","2","4","1","6","1","1","NA","NA","1028.36","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",371,"1","2013","NA",32707,19279,0,0,,,,,,,,0,0,0,0,0,,1564,,0,0,0,,13427,,"3","3","3","1","1","1","1","1","1","1","1","4","2686.84","3","NA","2","2","2","2","1","2","6","1","1","NA","NA","851.14","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",440,"1","2013","NA",14351,11414,0,0,,,,,,,,0,0,0,0,0,,2978,,0,0,0,,2937,,"3","3","3","1","1","1","1","1","1","1","1","4","1410.59","3","3","2","2","2","2","4","2","4","2","1","1101.6","NA","1578.66","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",452,"1","2013","16",44865,31309,0,0,,,,,,,,0,0,0,0,0,,867,,0,0,0,,13556,,"3","3","3","1","1","1","1","1","1","1","3","5","1343.42","3","NA","2","2","2","2","1","2","2","2","1","NA","NA","3648","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",456,"2","2013","NA",20924,15855,0,0,,,,,,,,0,0,0,0,0,,-6074,,0,0,0,,5069,,"3","3","3","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","3057.16","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",480,"2","2013","NA",72474,68211,0,0,,,,,,,,0,0,0,0,0,,-88,,0,0,0,,4263,,"3","3","NA","1","1","1","1","1","1","1","1","4","2686.84","3","NA","2","2","2","2","4","3","3","1","1","806.05","NA","1656.77","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",549,"1","2013","NA",34931,23274,0,0,,,,,,,,0,0,0,0,0,,53,,0,0,0,,11657,,"3","3","3","1","1","1","1","1","1","1","1","5","5373.67","3","NA","2","2","2","2","4","3","3","2","1","NA","NA","807.59","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",568,"1","2013","NA",42326,28193,0,0,,,,,,,,0,0,0,0,0,,1334,,0,0,0,,14133,,"NA","3","3","1","1","1","1","1","1","1","1","6","2015.13","3","3","2","2","2","2","4","1","6","2","1","NA","NA","851.14","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",584,"1","2013","14",32553,25729,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6824,,"3","3","NA","1","1","1","1","1","1","1","1","6","3358.54","3","NA","2","2","2","2","1","3","4","2","1","NA","NA","556.52","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",588,"1","2013","14",82781,52535,0,0,,,,,,,,0,0,0,0,0,,727,,0,964,0,,29283,,"3","3","3","1","1","1","1","1","1","1","1","6","4030.25","3","2","2","2","2","2","1","1","6","2","1","NA","NA","1743.26","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",600,"1","2013","NA",31061,24757,0,0,,,,,,,,0,0,0,70,0,,0,,0,289,0,,6015,,"3","3","3","1","1","1","1","3","1","1","1","5","2418.15","3","3","2","1","2","2","NA","2","3","2","1","1074.73","NA","1146.32","NA","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",618,"1","2013","NA",50553,37438,0,0,,,,,,,,0,0,0,0,0,,8264,,0,0,0,,13115,,"3","3","3","1","1","1","1","1","1","1","1","4","4298.94","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","3057.16","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",625,"1","2013","10",49757,48062,0,0,,,,,,,,0,0,0,0,0,,2349,,0,73,0,,1623,,"3","3","3","1","1","1","1","1","1","1","1","5","NA","2","NA","2","2","2","2","1","3","4","2","1","NA","NA","659.05","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",702,"2","2013","NA",13774,7211,0,0,,,,,,,,0,0,0,0,0,,-2195,,0,601,0,,5962,,"3","3","3","1","1","1","1","1","1","1","1","6","4030.25","3","NA","2","2","2","2","1","1","3","2","1","NA","NA","331.37","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",720,"1","2013","NA",19944,10923,0,0,,,,,,,,0,0,0,432,0,,-442,,0,0,0,,9022,,"3","3","NA","2","1","1","1","1","1","1","1","4","2686.84","3","3","2","2","2","2","4","3","6","2","1","670.37","NA","1326.44","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",754,"1","2013","26",27212,6373,0,0,,,,,,,,0,0,0,5836,0,,568,,0,0,0,,20840,,"3","3","3","1","1","1","1","1","1","1","1","4","2015.13","3","NA","2","2","2","2","1","2","3","2","1","2015.13","NA","1809.84","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",833,"1","2013","NA",133954,79390,0,0,,,,,,,,0,0,0,0,0,,475,,0,0,0,,54564,,"3","3","3","1","1","1","1","1","1","1","1","5","3358.54","3","3","2","2","2","2","1","2","6","2","1","NA","NA","1743.26","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",868,"1","2013","NA",75083,56600,0,0,,,,,,,,0,0,0,0,0,,1837,,0,0,0,,18483,,"3","3","3","1","1","1","1","1","1","1","1","4","1612.1","2","NA","2","1","2","2","1","2","6","1","1","NA","NA","711.48","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",870,"1","2013","NA",45998,28032,0,0,,,,,,,,0,0,0,2007,0,,-107,,0,0,0,,17966,,"3","3","3","1","1","1","1","1","1","1","3","6","1343.42","3","NA","2","2","1","2","1","1","6","2","1","1209.08","NA","978.67","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",872,"1","2013","NA",8690,6864,0,0,,,,,,,,0,0,0,0,0,,-2554,,0,200,0,,1626,,"3","3","3","1","1","1","1","1","1","1","1","4","NA","3","NA","2","2","1","2","1","2","5","2","1","NA","NA","2585.3","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",875,"1","2013","NA",42482,29968,0,0,,,,,,,,0,0,0,3882,0,,428,,0,1110,0,,11404,,"NA","3","3","1","1","1","1","1","1","3","1","5","NA","3","NA","2","1","1","2","NA","3","3","2","1","NA","NA","1133.85","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",880,"1","2013","NA",18063,8282,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9781,,"3","3","3","1","1","1","1","1","1","1","1","6","2015.13","3","3","2","2","2","2","4","2","6","2","1","NA","NA","1037.6","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",935,"1","2013","NA",33851,20236,0,0,,,,,,,,0,0,0,2481,0,,21,,0,0,0,,13615,,"3","3","3","2","1","1","1","1","1","1","1","2","806.05","3","3","2","2","2","2","4","3","4","1","1","604.54","NA","719.18","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",945,"1","2013","NA",58567,17274,0,0,,,,,,,,0,0,0,0,0,,-5189,,0,0,0,,41294,,"3","3","3","1","1","1","1","1","1","1","1","5","6717.09","3","NA","2","2","2","2","3","3","6","2","1","NA","NA","1765.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",973,"1","2013","NA",76058,55249,0,0,,,,,,,,0,0,0,11077,0,,-4,,0,0,0,,20809,,"3","3","3","1","1","1","1","1","1","1","1","5","6717.09","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","1765.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1015,"1","2013","15",31656,-228,0,0,,,,,,,,0,0,0,0,0,,955,,0,790,0,,31094,,"3","3","3","2","1","2","1","1","1","1","1","4","1074.73","3","NA","2","2","2","2","4","2","2","2","1","483.63","NA","812.49","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1056,"1","2013","NA",42368,30153,0,0,,,,,,,,0,0,0,0,0,,-4770,,0,131,0,,12084,,"NA","3","3","1","1","1","1","1","1","1","1","6","1612.1","3","NA","2","1","2","2","1","2","6","2","1","NA","NA","711.48","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1095,"1","2013","NA",29371,26347,0,0,,,,,,,,0,0,0,0,0,,397,,0,144,0,,2880,,"3","3","3","1","1","1","1","1","1","3","1","4","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","807.59","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1126,"1","2013","13",44053,37560,0,0,,,,,,,,0,0,0,0,0,,-5653,,0,0,0,,6493,,"3","3","3","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","1","1","2","6","2","1","NA","NA","604.99","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1168,"1","2013","NA",58270,29503,0,0,,,,,,,,0,0,0,0,0,,8546,,0,0,0,,28767,,"3","3","3","1","1","1","1","1","1","1","1","6","2686.84","3","NA","2","2","2","2","1","2","3","2","1","NA","NA","705.42","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1209,"1","2013","NA",90384,70975,0,0,,,,,,,,0,0,0,0,0,,842,,0,0,810,,18599,,"3","3","3","1","1","1","1","1","1","1","1","5","4030.25","2","NA","2","2","2","2","1","1","5","2","1","NA","NA","1418.82","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1217,"1","2013","NA",44274,32047,0,0,,,,,,,,0,0,0,0,0,,681,,0,0,1788,,10440,,"3","3","3","1","1","1","1","1","1","1","2","4","2686.84","3","NA","2","2","2","2","NA","2","2","2","1","403.03","NA","823.42","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1325,"1","2013","10",11761,6829,0,0,,,,,,,,0,0,0,0,0,,875,,0,0,2816,,2116,,"3","3","3","1","1","1","1","1","1","1","2","5","5373.67","3","1","2","2","2","2","1","1","4","2","1","NA","NA","1140.27","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1334,"1","2013","16",9116,-6931,0,0,,,,,,,,0,0,0,0,0,,-3151,,0,574,0,,15473,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","2","NA","2","2","2","2","4","1","6","2","1","NA","NA","705.11","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1370,"NA","2013","17",23437,15654,0,0,,,,,,,,0,0,0,0,0,,-1523,,0,424,0,,7359,,"3","3","3","1","1","1","1","1","1","1","1","6","2283.81","3","NA","2","1","2","2","1","2","6","2","1","NA","NA","2034.7","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1372,"1","2013","16",52527,50018,0,0,,,,,,,,0,0,0,1161,0,,2116,,0,0,0,,2509,,"NA","3","NA","1","1","1","1","1","1","1","1","5","2686.84","3","NA","2","2","2","2","1","2","5","2","1","NA","NA","676.66","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1380,"2","2013","18",41704,30721,0,0,,,,,,,,0,0,0,0,0,,-1262,,0,0,0,,10982,,"3","3","3","1","1","1","1","1","1","1","1","6","3358.54","3","NA","2","2","2","2","1","1","6","2","1","NA","NA","2127.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1389,"1","2013","NA",22652,10564,0,0,,,,,,,,0,0,0,1408,0,,14,,0,1504,0,,10585,,"3","3","3","1","1","1","1","1","1","1","1","5","2686.84","2","NA","2","2","2","2","1","2","4","2","1","NA","NA","556.52","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1416,"1","2013","NA",18704,4269,0,0,,,,,,,,0,0,0,0,0,,-31865,,0,261,0,,14174,,"3","3","3","1","1","1","1","1","1","1","1","4","4298.94","3","NA","2","2","2","2","1","3","4","2","1","NA","NA","1765.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1426,"NA","2013","NA",24689,5756,0,0,,,,,,,,0,0,0,0,0,,-9,,0,2297,0,,16636,,"3","3","3","1","1","1","1","1","1","1","1","4","698.58","3","NA","2","2","1","1","1","1","1","2","2","443.33","NA","522.06","NA","3","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1443,"1","2013","15",19835,14948,0,0,,,,,,,,0,0,0,0,0,,-1238,,0,0,0,,4888,,"3","3","3","1","1","1","1","1","3","1","1","1","1746.44","3","NA","2","2","2","2","4","2","6","1","1","671.71","NA","1290.45","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1507,"2","2013","NA",28937,19607,0,0,,,,,,,,0,0,0,0,0,,-4,,0,0,0,,9331,,"3","3","3","1","1","1","1","1","1","1","3","6","3089.86","2","NA","2","2","2","2","NA","3","3","2","1","NA","NA","799.78","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1556,"1","2013","NA",41187,39525,0,0,,,,,,,,0,0,0,0,0,,-7180,,0,0,0,,1662,,"3","3","3","1","1","1","1","1","1","1","1","5","403.03","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","2031.46","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1587,"2","2013","NA",133845,100723,0,0,,,,,,,,0,0,0,0,0,,-11879,,0,4028,0,,29094,,"3","3","3","1","1","1","1","1","1","1","1","5","NA","3","NA","2","2","2","2","1","2","2","2","1","NA","NA","1765.13","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1591,"1","2013","NA",247124,192889,0,0,,,,,,,,0,0,0,2391,0,,88,,0,0,0,,54234,,"3","3","3","1","1","1","1","1","1","1","1","5","4298.94","3","NA","2","2","2","2","1","3","6","2","1","NA","NA","3057.16","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1604,"1","2013","NA",22851,19513,0,0,,,,,,,,0,0,0,0,0,,4295,,0,0,0,,3338,,"3","3","3","1","1","1","1","1","1","3","1","1","NA","3","NA","2","2","2","2","1","2","4","2","1","859.79","NA","1849.02","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1611,"1","2013","21",43024,34122,0,0,,,,,,,,0,0,0,0,0,,-4669,,0,1232,0,,7671,,"3","3","NA","1","1","1","1","1","1","1","1","5","3358.54","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","807.59","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1622,"1","2013","NA",4771,-3179,0,0,,,,,,,,0,0,0,1401,0,,-710,,0,0,0,,7950,,"3","3","3","2","1","2","1","1","1","1","1","6","2283.81","1","NA","2","2","2","2","NA","2","4","2","1","564.24","NA","325.45","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1624,"1","2013","NA",9382,1346,0,0,,,,,,,,0,0,0,0,0,,-2815,,0,683,0,,7353,,"3","3","3","1","1","1","1","1","1","1","1","5","NA","3","3","2","1","2","2","1","2","4","1","1","NA","NA","930.35","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1704,"1","2013","28",23903,19635,0,0,,,,,,,,0,0,0,0,0,,-210,,0,0,0,,4268,,"3","3","3","1","1","1","1","1","1","1","2","1","NA","2","1","2","2","2","2","1","2","4","2","1","NA","NA","496.86","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1731,"1","2013","9",46840,32560,0,0,,,,,,,,0,0,0,0,0,,68,,0,0,0,,14280,,"3","3","NA","1","1","1","1","1","1","1","1","6","2686.84","2","NA","2","2","2","2","1","2","5","2","1","NA","NA","1758.79","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1737,"1","2013","NA",18351,9324,0,0,,,,,,,,0,0,0,0,0,,242,,0,0,0,,9027,,"3","3","NA","1","1","1","1","1","1","1","1","4","1343.42","3","NA","2","2","2","2","1","3","3","2","1","NA","NA","2017.24","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1748,"1","2013","10",7611,6655,0,0,,,,,,,,0,0,0,48,0,,1,,0,55,0,,901,,"3","3","NA","1","1","2","1","1","1","1","2","6","NA","3","NA","2","2","2","2","1","2","6","2","1","NA","NA","924.04","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1777,"1","2013","21",21646,12934,0,0,,,,,,,,0,0,0,0,0,,-1816,,0,0,0,,8711,,"3","3","3","1","1","1","1","1","1","1","1","5","3358.54","2","NA","2","2","2","2","1","2","5","1","1","NA","NA","2277.09","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
"2013","DK",1813,"1","2013","11",445,-12660,0,0,,,,,,,,0,0,0,0,0,,403,,0,1584,0,,11521,,"3","3","3","1","1","2","1","1","1","1","1","2","1074.73","1","NA","2","2","2","2","4","2","3","2","1","738.88","NA","763.52","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"1",1,,,,,
