"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL030","PL035","PL015","PL020","PL025","PL040","PL050","PL060","PL070","PL072","PL100","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PL210A","PL210B","PL210C","PL210D","PL210E","PL210F","PL210G","PL210H","PL210I","PL210J","PL210K","PL210L","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY070N","PY010G","PY020G","PY021G","PY030G","PY035G","PY050G","PY070G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PX030","PX040","PX020","PX050","PX010","PY031G","PL110"
"2007","DK",2471,477.076648841355,"NA","1","2007","NA","4",1984,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","5","NA","12","0","NA","NA","11","1","NA","NA","NA","NA","NA","1","NA","1","NA","1","1","1","3","NA","NA","NA","1","2","2","3","2","NA","2","NA",1,1,1,31700,0,0,0,28,0,0,,0,0,0,1521,0,1452,1,247,"3",22,"4","7.4591",1,"l-n"
"2007","DK",2481,477.076648841355,"786.5486","1","2007","NA","4",1926,"2","4","1","DK","2","3","3","5","NA","NA","2","NA","NA","8","NA","0","0","NA","NA","NA","1","2","NA","NA","NA","NA","1","7","6","NA","5","6","NA","6","NA","2","NA","7","1","2","3","2","NA","NA","NA",1,1,1,0,0,0,3752,0,0,0,,0,15322,0,0,0,0,1,248,"2",80,"1","7.4591",1,"NA"
"2007","DK",2791,477.076648841355,"1950.584","NA","2007","NA","1",1926,"2","2","3","DK","2","NA","3","5","NA","1","2","NA","NA","4","NA","12","0","NA","NA","NA","NA","NA","1","NA","NA","NA","6","6","5","NA","6","6","1","NA","8","7","7","1","2","NA","3","2","NA","NA","NA",1,1,1,0,0,0,0,0,2574,0,,6609,8422,0,0,0,0,1,279,"2",80,"1","7.4591",1,"NA"
"2007","DK",2921,477.076648841355,"835.8999","2","2007","NA","3",1958,"2","2","2","DK","2","NA","3","1","NA","NA","NA","NA","3","2","37","0","12","NA","NA","NA","1","2","NA","NA","NA","NA","NA","6","1","1","NA","1","1","NA","1","NA","6","1","1","2","NA","NA","NA","2","NA",1,1,1,52121,0,0,1218,0,0,0,,0,0,0,0,0,0,1,292,"2",48,"1","7.4591",1,"NA"
"2007","DK",3001,477.076648841355,"718.0697","1","2007","NA","4",1974,"1","1","1","DK","2","NA","2","1","NA","NA","NA","NA","3","8","32","12","0","NA","NA","13","NA","2","2","NA","NA","NA","1","1","NA","NA","2","NA","1","NA","1","1","NA","1","2","1","NA","NA","NA","NA","NA",1,1,1,53099,0,0,2332,0,5580,0,,0,0,0,62761,0,0,1,300,"2",32,"3","7.4591",1,"b-e"
"2007","DK",3211,477.076648841355,"NA","2","2007","NA","4",1975,"1","1","3","Other","2","NA","1","3","NA","NA","NA","NA","3","9","34","12","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","3","1","1","1","NA","1","NA","NA","NA","NA","NA","3","2","NA","NA","NA",1,1,1,0,0,0,33,0,0,0,,36968,0,0,0,6192,0,1,321,"2",31,"1","7.4591",1,"NA"
"2007","DK",3411,477.076648841355,"400.1508","2","2007","NA","1",1978,"1","2","3","Other","2","NA","NA","NA","NA","1","NA","NA","3",,"37","12","0","NA","NA","NA","NA","1","NA","NA","NA","NA","6","1","1","1","NA","NA","6","NA","1","1","NA","2","1","2","NA","2","NA","NA","NA",1,1,1,33350,0,0,4272,0,0,0,,0,0,0,0,0,0,1,341,"2",28,"1","7.4591",1,"NA"
"2007","DK",3641,477.076648841355,"1175.778","2","2007","NA","3",1929,"1","2","3","DK","2","NA","3","5","NA","NA","NA","NA","3",,"37","0","0","NA","NA","NA","1","1","2","NA","NA","NA","NA","6","NA","NA","1","NA","NA","1","NA","NA","NA","1","NA","2","NA","2","NA","NA","NA",1,1,1,0,0,0,27,0,0,0,,0,37209,0,0,0,0,1,364,"2",77,"4","7.4591",1,"NA"
"2007","DK",4121,477.076648841355,"1201.514","1","2007","NA","3",1961,"1","2","1","DK","2","NA","5","1","NA","NA","2","NA","3","3","37","12","0","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","1","NA","NA","1","1","1","1","1","NA","3","NA","NA","2","NA",1,1,1,27005,0,0,4367,0,0,0,,6847,0,0,548,0,0,1,412,"2",45,"3","7.4591",1,"NA"
"2007","DK",4321,477.076648841355,"1067.193","1","2007","NA","3",1964,"1","2","1","DK","2","NA","5","1","NA","NA","NA","NA","1","2","45","12","0","NA","NA","12","NA","NA","2","NA","NA","NA","NA","6","NA","NA","1","1","4","1","NA","1","1","1","NA","NA","3","NA","NA","2","NA",1,1,1,72761,0,0,11,0,-685,0,,0,0,0,0,0,0,1,432,"2",42,"1","7.4591",1,"j"
"2007","DK",4441,477.076648841355,"NA","2","2007","NA","2",1973,"2","1","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","50","0","0","NA","NA","13","1","NA","NA","NA","NA","NA","NA","1","NA","1","1","NA","NA","1","1","NA","6","1","2","2","3","2","NA","NA","NA",1,1,1,69888,0,0,428,0,0,0,,0,0,0,0,0,0,1,444,"3",33,"1","7.4591",1,"k"
"2007","DK",4471,477.076648841355,"NA","1","2007","NA","2",1926,"2","4","1","DK","2","NA","NA","5","NA","1","2","NA","NA","2","NA","12","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","6","8","8","NA","8","7","NA","8","6","NA","NA","3","2","NA","2","NA",1,1,1,0,0,0,1084,7,0,0,,1699,21149,0,0,0,0,1,447,"2",80,"3","7.4591",1,"NA"
"2007","DK",4711,477.076648841355,"999.5955","1","2007","NA","1",1944,"2","1","2","DK","2","NA","NA","1","NA","NA","NA","NA","3","3","37","12","0","NA","NA","NA","1","NA","2","NA","NA","NA","NA","1","NA","NA","8","1","1","1","1","1","6","1","2","NA","3","2","NA","NA","NA",1,1,1,46737,0,0,1631,7699,0,0,,0,0,0,0,0,0,1,471,"2",62,"1","7.4591",1,"NA"
"2007","DK",5391,477.076648841355,"NA","1","2007","NA","2",1944,"1","1","3","DK","2","NA","2","5","NA","NA","2","NA","NA","8","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","6","NA","5","7","7","7","NA","1","1","7","NA","2","NA","NA","2","NA","NA","NA",1,1,1,0,0,0,4058,137998,0,0,,0,20691,0,0,0,0,1,539,"2",62,"4","7.4591",1,"NA"
"2007","DK",5581,477.076648841355,"569.5944","1","2007","NA","2",1983,"1","1","3","DK","2","NA","2","1","NA","1","NA","NA","NA","0 - 1","43","12","0","NA","NA","13","1","2","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","NA","6","2","2","2","NA","2","NA","NA","NA","NA","2","NA",1,1,1,29232,0,0,0,0,0,0,,0,0,0,0,0,0,1,558,"2",23,"4","7.4591",1,"g"
"2007","DK",5731,477.076648841355,"622.6883","1","2007","NA","1",1942,"2","5","3","DK","2","NA","3","5","NA","NA","NA","NA","NA","5","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","1","NA","1","NA","NA","NA","1","1","2","6","NA","NA","NA","2","3","2","NA","2","NA",1,1,1,0,0,0,503,0,0,0,,0,28180,0,0,0,0,1,573,"2",64,"1","7.4591",1,"NA"
"2007","DK",5771,477.076648841355,"NA","1","2007","NA","1",1970,"1","1","3","DK","2","NA","3","1","NA","NA","NA","NA","3","4","37","12","0","NA","NA","11","1","2","2","NA","NA","NA","NA","NA","1","1","1","1","NA","1","1","1","NA","1","1","2","3","2","NA","2","NA",1,1,1,58984,0,0,405,855,0,0,,0,0,0,0,0,0,1,577,"2",36,"1","7.4591",1,"i"
"2007","DK",5901,477.076648841355,"872.346","2","2007","NA","1",1970,"1","1","2","EU","2","NA","5","1","NA","NA","NA","NA","3","7","37","12","0","NA","5","NA","NA","NA","2","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","6","1","1","NA","2","2","3","2","NA","2","NA",1,1,1,44342,0,0,5023,0,0,0,,0,0,0,0,0,0,1,590,"2",36,"4","7.4591",1,"f"
"2007","DK",6071,477.076648841355,"NA","NA","2007","NA","1",1943,"1","2","3","DK","2","NA","2","5","NA","NA","NA","NA","3",,"NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","1","8","1","1","1","NA","1","2","2","NA","2","3","NA","NA","2","NA",1,1,1,0,0,0,0,6630,0,0,,0,26320,0,0,0,0,1,607,"2",63,"3","7.4591",1,"NA"
"2007","DK",6131,477.076648841355,"1019.401","2","2007","NA","2",1977,"1","1","2","DK","2","NA","3","1","NA","NA","NA","NA","3","0 - 1","60","12","0","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","1","NA","1","NA","1","1","1","NA","1","2","2","NA","2","NA","2","NA",1,1,1,50812,0,0,1492,0,0,0,,0,0,0,0,0,0,1,613,"3",29,"1","7.4591",1,"NA"
"2007","DK",6891,477.076648841355,"1506.258","1","2007","NA","1",1973,"2","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","4","40","12","0","NA","NA","2","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","3","NA","NA","8","1","1","NA","NA","3","NA","NA","2","NA",1,1,1,45598,0,0,5550,0,0,0,,14539,0,0,0,0,0,1,689,"2",33,"1","7.4591",1,"NA"
"2007","DK",7071,477.076648841355,"NA","1","2007","NA","3",1968,"1","1","1","DK","2","NA","3","4","NA","NA","NA","NA","NA",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","6","1","6","NA","2","8","8","NA","6","8","6","2","1","NA","NA","NA","2","NA",1,1,1,0,0,0,3816,0,0,0,,0,0,0,0,0,23386,1,707,"2",38,"2","7.4591",1,"NA"
"2007","DK",7411,477.076648841355,"600.9718","1","2007","NA","2",1973,"2","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","5","37","12","0","NA","NA","12","1","1","2","NA","NA","NA","1","NA","6","1","NA","1","1","1","1","1","1","NA","2","2","NA","NA","NA","NA","NA",1,1,1,62780,0,0,449,0,0,0,,0,0,0,0,0,0,1,741,"2",33,"3","7.4591",1,"NA"
"2007","DK",8191,477.076648841355,"824.3995","2","2007","NA","1",1926,"2","4","3","DK","2","5","NA","5","NA","NA","2","NA","NA","3","NA","12","0","NA","NA","NA","NA","NA","2","NA","NA","NA","6","NA","6","NA","NA","NA","6","6","9","6","NA","1","2","2","3","NA","NA","NA","NA",1,1,1,388,0,0,27,201,8838,0,,0,11809,0,0,0,0,1,819,"3",80,"1","7.4591",1,"NA"
"2007","DK",8531,477.076648841355,"NA","2","2007","NA","4",1951,"1","2","3","DK","1","NA","5","6","NA","NA","NA","NA","3","5","50","12","0","NA","NA","NA","1","2","NA","NA","NA","NA","6","NA","2","NA","NA","1","1","NA","1","1","NA","1","1","NA","3","2","4","2","NA",1,1,1,0,0,0,0,0,0,0,,0,0,0,0,37867,0,1,853,"3",55,"1","7.4591",1,"NA"
"2007","DK",8541,477.076648841355,"1155.082","2","2007","NA","4",1976,"1","1","1","DK","1","NA","3","1","NA","NA","NA","NA","3","3","30","12","0","NA","6","9","NA","NA","NA","NA","NA","NA","8","1","1","1","NA","NA","NA","NA","8","NA","1","NA","1","2","NA","NA","NA","NA","NA",1,1,1,32393,0,0,116,0,0,0,,0,0,0,0,0,0,1,854,"2",30,"1","7.4591",1,"NA"
"2007","DK",8561,477.076648841355,"1070.877","NA","2007","NA","1",1941,"1","2","2","DK","1","NA","2","5","NA","1","2","NA","3",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","8","8","NA","8","8","3","4","NA","NA","2","NA","2","1",1,1,1,0,0,0,0,0,3114,0,,0,18552,0,0,0,0,1,856,"2",65,"1","7.4591",1,"NA"
"2007","DK",8601,477.076648841355,"NA","2","2007","NA","3",1973,"1","1","1","DK","2","NA","5","1","NA","NA","2","NA","3","2","NA","0","0","NA","NA","11","1","NA","NA","NA","NA","NA","1","8","NA","8","6","1","NA","NA","6","NA","6","2","NA","NA","3","2","NA","2","NA",1,1,1,365336,0,0,7713,0,-337423,0,,0,0,0,0,0,0,1,860,"2",33,"1","7.4591",1,"NA"
"2007","DK",8641,477.076648841355,"851.4861","1","2007","NA","1",1943,"1","2","1","DK","1","NA","3","1","NA","NA","NA","NA","3","0 - 1","NA","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","1","2","NA","NA","1","1","1","2","6","1","NA","2","NA","2","NA","NA","NA",1,1,1,24213,226,0,3578,0,0,0,,0,2987,0,0,0,0,1,864,"2",63,"4","7.4591",1,"NA"
"2007","DK",9181,477.076648841355,"1502.461","2","2007","NA","1",1975,"2","2","3","DK","2","NA","2","1","NA","NA","2","NA","NA","3","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","NA","NA","6","7","NA","6","7","6","8","4","NA","NA","2","NA","NA","NA",1,1,1,6884,53,0,0,0,0,0,,0,0,0,0,0,0,1,918,"2",31,"3","7.4591",1,"g"
"2007","DK",9281,477.076648841355,"1408.7","1","2007","NA","2",1958,"2","1","2","DK","2","NA","2","1","NA","NA","NA","NA","3","5","37","0","0","NA","NA","NA","1","NA","2","NA","NA","NA","NA","NA","NA","1","1","NA","1","1","NA","1","NA","NA","NA","2","3","2","NA","2","NA",1,1,1,36260,0,0,0,0,0,0,,0,0,0,0,0,0,1,928,"2",48,"1","7.4591",1,"l-n"
"2007","DK",9551,477.076648841355,"1132.698","1","2007","NA","2",1982,"2","1","3","DK","2","5","3","4","NA","1","2","NA","3",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","6","NA","7","NA","7","NA","NA","NA","NA","6","1","NA","3","2","NA","2","NA",1,1,1,2766,0,0,0,0,454,0,,0,0,0,0,0,3838,1,955,"3",24,"1","7.4591",1,"NA"
"2007","DK",9961,477.076648841355,"1261.952","1","2007","NA","2",1932,"2","4","1","DK","2","NA","3","5","NA","NA","NA","NA","NA","0 - 1","28","0","0","NA","NA","NA","1","NA","NA","NA","NA","NA","7","2","2","2","1","1","1","6","1","1","NA","6","NA","2","3","2","NA","2","NA",1,1,1,0,0,0,0,1052,-3041,0,,0,36034,0,0,0,0,1,996,"2",74,"1","7.4591",1,"NA"
"2007","DK",10371,477.076648841355,"1911.532","2","2007","NA","3",1934,"1","5","2","DK","2","3","2","5","NA","NA","NA","NA","3","6","37","12","0","NA","5","13","NA","2","NA","NA","NA","NA","NA","6","1","NA","NA","NA","NA","NA","8","1","NA","NA","1","2","3","2","NA","2","NA",1,1,1,0,0,0,262,0,0,0,,0,26712,0,0,0,0,1,1037,"2",72,"4","7.4591",1,"NA"
"2007","DK",10751,477.076648841355,"NA","2","2007","NA","4",1948,"1","2","1","DK","2","NA","5","2","NA","NA","NA","NA","2","2","55","12","0","NA","NA","10","NA","2","2","NA","NA","NA","NA","1","NA","1","NA","1","1","NA","NA","NA","6","1","2","NA","3","NA","NA","2","1",1,1,1,50986,0,0,1979,0,-2783,0,,0,0,0,0,0,0,1,1075,"2",58,"2","7.4591",1,"NA"
"2007","DK",11061,477.076648841355,"1349.439","2","2007","NA","4",1970,"1","1","3","EU","2","NA","6","1","NA","1","NA","NA","3","2","37","0","0","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","1","1","1","NA","NA","NA","NA","3","NA","NA","2","NA",1,1,1,94622,0,0,0,0,0,0,,0,0,0,0,0,0,1,1106,"2",36,"4","7.4591",1,"k"
"2007","DK",11481,477.076648841355,"NA","2","2007","NA","4",1950,"2","5","3","DK","2","NA","5","1","NA","NA","NA","NA","3","3","NA","12","0","NA","NA","12","NA","NA","NA","NA","NA","NA","1","NA","1","1","NA","NA","1","NA","NA","1","NA","1","2","2","NA","2","NA","NA","NA",1,1,1,37238,0,0,0,0,0,0,,2687,0,0,0,0,0,1,1148,"2",56,"NA","7.4591",1,"l-n"
"2007","DK",11881,477.076648841355,"NA","1","2007","NA","3",1978,"1","1","3","Other","1","NA","2","3","NA","1","2","NA","NA","9","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","NA","7","7","8","8","NA","7","NA","NA","NA","NA","2","NA","2","NA","2","NA",1,1,1,10288,0,0,0,0,0,0,,0,0,0,0,0,2052,1,1188,"2",28,"3","7.4591",1,"NA"
"2007","DK",11951,477.076648841355,"NA","2","2007","NA","1",1977,"2","1","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","NA","0","0","NA","NA","4","1","2","NA","NA","NA","NA","NA","2","6","3","1","NA","NA","NA","NA","NA","6","1","3","NA","NA","NA","NA","NA","NA",1,1,1,0,0,0,0,0,32284,0,,0,0,0,0,0,0,1,1195,"3",29,"1","7.4591",1,"l-n"
"2007","DK",11961,477.076648841355,"1258.671","2","2007","NA","4",1932,"2","2","3","DK","1","3","3","5","NA","2","2","NA","NA","4","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","NA","NA","NA","1","NA","8","NA","7","NA","NA","1","NA","2","NA","NA","NA",1,1,1,0,0,0,4478,0,0,0,,0,14366,0,0,0,0,1,1196,"2",74,"3","7.4591",1,"NA"
"2007","DK",12541,477.076648841355,"710.3372","1","2007","NA","2",1983,"1","1","1","DK","2","NA","2","1","NA","NA","NA","NA","NA","7","37","12","0","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","NA","NA","6","1","1","NA","1","NA","1","NA","2","NA","3","NA","NA","2","NA",1,1,1,46964,0,0,392,0,0,0,,0,0,0,0,0,0,1,1254,"2",23,"3","7.4591",1,"f"
"2007","DK",13011,477.076648841355,"NA","1","2007","NA","2",1964,"1","2","3","DK","2","NA","3","1","NA","NA","NA","NA","3","3","37","12","0","NA","NA","NA","NA","2","2","NA","NA","NA","1","1","1","1","1","1","1","NA","1","1","1","1","1","NA","NA","2","NA","2","NA",1,1,1,72771,0,0,3264,5631,99,0,,0,0,0,0,0,0,1,1301,"3",42,"1","7.4591",1,"NA"
"2007","DK",13101,477.076648841355,"1157.486","1","2007","NA","1",1974,"2","2","1","DK","2","2","5","2","NA","NA","1","NA","3","2","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","1","7","NA","6","NA","6","8","NA","6","1","2","3","2","NA","2","NA",1,1,1,14384,0,0,7638,0,0,0,,0,0,0,0,0,0,1,1310,"2",32,"NA","7.4591",1,"NA"
"2007","DK",13451,477.076648841355,"NA","1","2007","NA","2",1957,"1","1","3","DK","2","NA","5","1","NA","1","NA","NA","3","2","37","8","0","NA","NA","13","NA","NA","NA","NA","NA","NA","1","1","1","1","1","NA","NA","6","6","NA","6","1","1","2","2","2","NA","2","NA",1,1,1,32859,0,0,11,0,0,0,,0,0,0,445,0,0,1,1345,"2",49,"1","7.4591",1,"NA"
"2007","DK",13481,477.076648841355,"522.3214","1","2007","NA","4",1984,"2","1","1","DK","2","NA","3","1","NA","NA","NA","NA","NA","4","70","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","8","NA","NA","5","3","6","NA","NA","7","NA","7","NA","1","NA","2","NA","2","NA",1,1,1,1656,0,0,0,0,10794,0,,0,0,0,0,0,0,1,1348,"2",22,"4","7.4591",1,"NA"
"2007","DK",13551,477.076648841355,"NA","1","2007","NA","2",1977,"2","1","2","DK","2","NA","5","4","NA","1","2","NA","NA","3","NA","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","6","NA","6","1","NA","8","6","6","NA","6","6","2","2","NA","NA","NA","2","NA",1,1,1,21499,0,0,178,0,0,0,,0,0,0,0,0,0,1,1355,"2",29,"1","7.4591",1,"NA"
"2007","DK",13631,477.076648841355,"NA","2","2007","NA","2",1950,"2","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","0 - 1","40","12","0","NA","NA","13","1","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","1","1","1","6","2","2","3","2","NA","2","NA",1,1,1,38677,0,0,0,55637,0,0,,0,0,0,0,0,0,1,1363,"2",56,"1","7.4591",1,"k"
"2007","DK",13911,477.076648841355,"701.7466","2","2007","NA","3",1931,"2","2","3","DK","2","NA","2","5","NA","1","2","NA","3","4","10","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","6","6","8","6","6","NA","NA","2","6","6","1","1","2","2","NA","NA","NA",1,1,1,0,0,0,2122,0,0,0,,0,22334,0,0,0,0,1,1391,"2",75,"3","7.4591",1,"NA"
"2007","DK",14011,477.076648841355,"380.6404","1","2007","NA","2",1961,"1","1","1","DK","2","5","5","6","NA","NA","2","2","NA",,"NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","7","7","NA","8","NA","7","NA","8","6","6","6","NA","NA","NA","2","2","NA","2","NA",1,1,1,6640,0,0,5167,0,32,0,,0,0,0,1014,2275,0,1,1401,"2",45,"1","7.4591",1,"NA"
"2007","DK",14171,477.076648841355,"976.857","1","2007","NA","2",1972,"2","1","1","EU","2","5","NA","1","NA","2","2","NA","NA","2","NA","0","0","NA","NA","NA","NA","NA","NA","NA","NA","NA","8","8","7","NA","NA","NA","NA","NA","NA","NA","NA","7","3","NA","NA","NA","NA","NA","NA",1,1,1,5573,57,0,2143,0,0,0,,0,0,0,0,0,0,1,1417,"2",34,"1","7.4591",1,"NA"
"2007","DK",14801,477.076648841355,"535.8666","1","2007","NA","3",1977,"1","1","3","DK","2","NA","5","1","NA","NA","2","NA","3","2","33","12","0","NA","NA","13","NA","NA","1","NA","NA","NA","1","1","1","1","1","1","1","2","1","1","6","6","3","NA","NA","2","NA","NA","NA",1,1,1,1425,0,0,0,0,0,0,,0,0,0,0,0,36909,1,1480,"3",29,"4","7.4591",1,"l-n"
"2007","DK",15291,477.076648841355,"NA","2","2007","NA","2",1960,"1","5","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","38","12","0","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","NA","1","NA","NA","6","1","1","NA","NA","3","5","NA","NA","NA","NA","NA","NA",1,1,1,201227,0,0,0,1609,0,0,,2059,0,0,7788,0,0,1,1529,"3",46,"3","7.4591",1,"l-n"
"2007","DK",15591,477.076648841355,"641.0088","1","2007","NA","1",1931,"2","2","3","DK","2","NA","2","5","NA","NA","NA","NA","3","5","NA","12","0","NA","NA","13","NA","NA","2","NA","NA","NA","NA","5","1","6","1","2","6","7","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA",1,1,1,0,0,0,4608,0,0,0,,0,25843,0,0,0,0,1,1559,"2",75,"1","7.4591",1,"NA"
