"PB010","PB020","PB030","PB040","PB060","PB100","PB110","PB120","PB130","PB140","PB150","PB190","PB200","PB220A","PE010","PE020","PE040","PL031","PL035","PL015","PL020","PL025","PL040","PL051","PL060","PL100","PL111","PL120","PL130","PL140","PL150","PL160","PL170","PL180","PL190","PH010","PH020","PH030","PH040","PH050","PH060","PH070","PY020N","PY035N","PY010G","PY020G","PY021G","PY030G","PY031G","PY035G","PY050G","PY080G","PY090G","PY100G","PY110G","PY120G","PY130G","PY140G","PY200G","PD020","PD030","PD050","PD060","PD070","PD080","PD090","PW010","PW020","PW030","PW040","PW050","PW060","PW070","PW080","PW090","PW100","PW110","PW120","PW130","PW140","PW150","PW160","PW170","PW180","PW190","PW200","PW210","PW220","PX010","PX020","PX030","PX040","PX050","PX200"
"2013","DK",2521,544.437041972019,"NA","1","2013","NA","3",1955,"1","2","3","DK","2","NA","3","1","NA","NA","NA","NA","3","9","NA","NA","g","NA","12","1","NA","NA","NA","NA","NA","2","1","NA","2","6","2","NA",1,1,52121,0,0,510,1,0,198,,215,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","9","10","10","NA","NA","NA","2","NA","NA","9","NA","10","NA","8","10","NA","NA","1","NA","NA","9","2","7.4437",57,252,"2","2","1070.8979536"
"2013","DK",2531,544.437041972019,"562.9687","1","2013","NA","4",1953,"1","2","3","DK","2","NA","3","1","NA","NA","NA","NA","3","7","32","NA","NA","NA","13","NA","NA","2","NA","NA","NA","1","2","3","2","NA","2","NA",1,1,31908,0,0,0,1,0,16503,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","9","5","NA","NA","3","2","10","9","NA","5","NA","8","8","NA","1","5","8","NA","NA","7.4437",59,253,"2","2","NA"
"2013","DK",2841,544.437041972019,"NA","1","2013","NA","3",1938,"2","4","1","Other","1","NA","2","7","NA","NA","NA","NA","3",,"29","NA","NA","NA","NA","1","2","NA","7","NA","NA","1","2","NA","1","NA","NA","1",1,1,0,0,0,738,1,0,0,,317,29686,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","5","NA","NA","5","4","5","NA","5","3","NA","NA","9","5","NA","8","8","1","NA","8","7","10","2","7.4437",74,284,"3","7","1378.9296767"
"2013","DK",2971,544.437041972019,"NA","1","2013","NA","3",1952,"2","2","1","DK","2","NA","2","8","NA","NA","NA","NA","3",,"37","NA","NA","NA","12","1","NA","NA","NA","NA","NA","1","NA","1","2","NA","2","NA",1,1,0,0,0,0,1,0,0,,401,0,0,0,45246,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","9","9","NA","3","5","2","NA","NA","NA","NA","7","5","NA","NA","10","1","1","8","NA","NA","NA","7.4437",60,297,"2","2","NA"
"2013","DK",3051,544.437041972019,"NA","1","2013","NA","2",1957,"1","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","2","37","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",1,1,139334,0,0,0,1,0,0,,808,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","NA","8","3","5","2","4","2","10","NA","6","NA","NA","NA","10","NA","1","10","NA","NA","NA","7.4437",55,305,"2","6","948.39393846"
"2013","DK",3271,544.437041972019,"NA","1","2013","NA","2",1983,"2","1","2","EU","2","NA","NA","11","NA","1","NA","NA","3",,"NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","2","NA",1,1,9427,0,0,0,1,0,2222,,1651,0,0,0,0,9553,1,"NA","NA","NA","NA","NA","NA","NA","5","10","9","10","NA","NA","2","NA","NA","NA","NA","NA","8","NA","9","10","1","NA","NA","NA","NA","2","7.4437",29,327,"2","6","1156.5486846"
"2013","DK",3471,544.437041972019,"NA","1","2013","NA","4",1976,"1","1","2","DK","2","NA","5","6","NA","2","NA","NA","3",,"37","2","NA","NA","NA","1","2","NA","NA","NA","NA","2","1","3","2","NA","1","NA",1,1,17093,0,0,571,1,0,0,,266,0,0,0,0,10424,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","6","6","3","NA","4","NA","NA","NA","NA","NA","8","10","9","8","1","NA","8","NA","7","2","7.4437",36,347,"2","6","827.54845366"
"2013","DK",3711,544.437041972019,"NA","1","2013","NA","4",1938,"2","2","3","DK","2","NA","5","7","NA","NA","NA","NA","3","4","NA","NA","NA","NA","11","1","NA","NA","NA","NA","NA","NA","2","NA","2","NA","2","NA",1,1,0,0,0,12,1,5374,0,,118,31024,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","3","5","NA","5","4","NA","NA","9","0","8","NA","NA","1","1","10","NA","10","NA","7.4437",74,371,"3","7","911.71895575"
"2013","DK",4401,544.437041972019,"771.3577","1","2013","NA","3",1984,"1","1","3","DK","1","5","5","5","NA","NA","2","1","NA","7","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","1","1","3","2","NA","2","NA",1,1,929,0,0,399,1,0,939,,204,0,0,0,0,9301,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","10","7","6","NA","8","1","1","10","NA","6","NA","7.4437",28,440,"2","2","949.52251958"
"2013","DK",4521,544.437041972019,"663.5522","1","2013","NA","4",1982,"1","1","2","DK","2","NA","3","1","NA","NA","NA","NA","1","3","34","NA","k","NA","12","1","NA","NA","NA","NA","NA","2","NA","NA","NA","2","2","NA",1,1,38523,0,0,435,1,0,0,,391,0,0,0,0,5084,1,"NA","NA","NA","NA","NA","NA","NA","9","5","10","5","NA","5","NA","NA","NA","8","7","7","8","8","NA","7","1","1","10","7","10","2","7.4437",30,452,"2","6","NA"
"2013","DK",4561,544.437041972019,"NA","1","2013","NA","2",1944,"1","2","3","DK","2","NA","3","7","NA","NA","NA","NA","3","4","25","NA","NA","NA","NA","1","2","NA","NA","NA","NA","4","1","3","2","NA","2","NA",1,1,0,0,0,400,1,0,0,,364,26634,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","8","6","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","7","NA","10","NA","1","5","NA","10","1","7.4437",68,456,"2","NA","1512.3155767"
"2013","DK",4801,544.437041972019,"1179.246","1","2013","NA","2",1954,"1","2","1","DK","2","NA","2","8","NA","NA","NA","NA","3","9","40","NA","NA","NA","NA","1","NA","2","NA","NA","NA","2","2","NA","NA","NA","2","NA",1,1,0,0,0,437,1,0,0,,0,0,0,22139,50422,0,1,"NA","NA","NA","NA","NA","NA","NA","5","8","9","10","NA","5","3","3","2","NA","NA","5","4","10","9","9","NA","1","NA","10","8","NA","7.4437",58,480,"3","6","1835.4378529"
"2013","DK",5491,544.437041972019,"842.3295","1","2013","NA","4",1934,"2","2","1","DK","2","NA","3","7","NA","1","2","NA","3","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","1","2","NA","NA","NA","2","NA",1,1,0,0,0,637,1,0,0,,414,34464,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","9","NA","NA","5","NA","NA","2","8","NA","7","NA","7","8","NA","1","1","7","10","NA","2","7.4437",78,549,"3","2","NA"
"2013","DK",5681,544.437041972019,"895.7746","1","2013","NA","3",1938,"2","4","1","DK","2","NA","2","7","NA","NA","NA","NA","3","4","32","NA","NA","NA","13","1","2","NA","NA","NA","NA","NA","NA","3","NA","NA","NA","NA",1,1,0,0,0,849,1,0,0,,120,40872,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","8","8","5","5","2","NA","NA","NA","NA","NA","7","NA","9","NA","NA","NA","7","7","9","NA","7.4437",74,568,"2","6","568.24992945"
"2013","DK",5841,544.437041972019,"NA","1","2013","NA","3",1951,"2","2","3","Other","2","NA","5","5","NA","NA","NA","1","3","2","37","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","3","NA","3","NA","NA","2","NA",1,1,0,0,0,0,1,0,0,,7191,0,0,25362,0,0,1,"NA","NA","NA","NA","NA","NA","NA","10","8","NA","NA","NA","NA","1","NA","3","NA","NA","6","7","NA","NA","NA","NA","1","7","NA","NA","2","7.4437",61,584,"2","2","1099.5923768"
"2013","DK",5881,544.437041972019,"865.2695","1","2013","NA","2",1953,"1","4","3","DK","2","NA","2","1","NA","1","NA","NA","3","6","30","NA","r-u","NA","13","NA","2","NA","NA","NA","NA","2","2","NA","2","NA","2","NA",1,1,81820,0,0,0,1,0,0,,234,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","NA","7","NA","NA","2","NA","1","NA","NA","7","NA","NA","8","9","1","1","NA","NA","8","1","7.4437",59,588,"2","6","885.719974"
"2013","DK",6001,544.437041972019,"550.5727","1","2013","NA","1",1946,"2","2","1","DK","1","NA","5","7","NA","NA","NA","NA","3","2","35","NA","NA","NA","NA","1","2","NA","NA","NA","NA","5","1","3","NA","NA","2","NA",1,1,0,0,0,928,1,0,0,,0,30990,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","10","10","3","NA","NA","5","2","3","2","NA","NA","NA","NA","NA","6","8","1","1","NA","10","NA","3","7.4437",66,600,"3","6","NA"
"2013","DK",6181,544.437041972019,"967.9198","2","2013","NA","2",1972,"1","1","1","DK","2","NA","5","2","NA","NA","2","NA","3","0 - 1","37","NA","q","NA","NA","NA","2","NA","NA","NA","NA","NA","1","NA","2","NA","2","NA",1,1,41586,0,0,435,1,1612,0,,704,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","NA","NA","5","NA","NA","NA","NA","9","NA","8","NA","NA","7","9","NA","1","NA","9","7","NA","7.4437",40,618,"2","7","889.98881731"
"2013","DK",6251,544.437041972019,"NA","1","2013","NA","2",1977,"1","1","3","DK","2","NA","5","1","NA","NA","NA","NA","3","2","NA","NA","p","NA","13","1","NA","NA","NA","NA","NA","2","2","NA","NA","NA","2","NA",1,1,46860,0,0,1178,1,7256,28,,520,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","5","8","5","5","NA","4","NA","NA","NA","NA","NA","8","NA","NA","1","NA","8","10","NA","2","7.4437",35,625,"2","NA","NA"
"2013","DK",7021,544.437041972019,"NA","1","2013","NA","1",1932,"2","4","1","DK","2","NA","2","7","NA","1","2","NA","3","5","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2","NA","NA","2","NA","2","NA",1,1,0,0,0,0,1,0,0,,220,15749,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","8","NA","9","5","2","5","2","NA","NA","NA","NA","NA","0","9","1","NA","7","NA","6","1","7.4437",80,702,"2","7","1389.6024386"
"2013","DK",7201,544.437041972019,"NA","1","2013","NA","2",1949,"2","2","3","DK","2","NA","3","7","NA","1","NA","NA","3","4","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","2","3","2","NA","NA","NA",1,1,0,0,0,0,1,0,0,,19955,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","8","7","10","NA","5","2","5","NA","NA","NA","10","6","NA","8","6","1","NA","7","9","10","3","7.4437",63,720,"3","2","690.45060264"
"2013","DK",7541,544.437041972019,"NA","1","2013","NA","3",1965,"1","1","3","DK","1","NA","2","11","NA","2","NA","NA","3",,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2","3","2","NA","NA","NA",1,1,20686,0,0,0,1,0,17,,105,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","6","7","NA","5","2","2","2","NA","NA","NA","NA","NA","8","99","1","1","10","10","10","3","7.4437",47,754,"2","6","NA"
"2013","DK",8331,544.437041972019,"895.4516","1","2013","NA","1",1974,"1","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","6","90","4","r-u","NA","13","NA","NA","2","NA","NA","NA","NA","NA","2","NA","NA","NA","NA",1,1,132702,0,0,0,1,0,0,,777,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","5","NA","2","5","NA","6","9","9","NA","8","NA","5","1","1","8","NA","9","NA","7.4437",38,833,"3","7","NA"
"2013","DK",8681,544.437041972019,"NA","1","2013","NA","4",1966,"2","2","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","40","1","NA","NA","NA","1","1","2","NA","NA","NA","1","NA","2","2","NA","2","NA",1,1,73246,158,0,616,1,0,0,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","10","NA","8","9","5","4","4","4","2","NA","NA","5","7","10","8","NA","1","1","8","NA","NA","1","7.4437",46,868,"3","3","791.56502166"
"2013","DK",8701,544.437041972019,"NA","1","2013","NA","1",1932,"2","4","2","DK","2","NA","5","4","NA","NA","NA","NA","3","2","37","NA","l-n","NA","13","1","NA","2","NA","NA","NA","1","NA","3","1","NA","2","NA",1,1,3706,0,0,573,1,4030,11052,,0,29340,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","9","9","6","NA","5","5","2","NA","2","5","NA","10","8","7","NA","NA","1","1","9","8","9","NA","7.4437",80,870,"2","7","NA"
"2013","DK",8721,544.437041972019,"1638.866","1","2013","NA","1",1990,"2","1","3","DK","1","5","3","NA","NA","2","NA","NA","NA",,"17","NA","NA","NA","NA","1","2","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","NA",1,1,11244,0,0,435,1,0,0,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","6","NA","NA","10","NA","5","NA","NA","2","NA","NA","NA","NA","8","NA","NA","1","1","NA","NA","10","1","7.4437",22,872,"2","7","NA"
"2013","DK",8751,544.437041972019,"NA","1","2013","NA","2",1938,"2","4","1","DK","2","3","3","7","NA","1","NA","NA","3","3","37","NA","NA","NA","NA","NA","2","2","NA","NA","NA","1","2","3","2","NA","NA","1",1,1,0,0,0,298,1,0,0,,302,37870,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","6","NA","5","NA","4","1","NA","5","10","4","NA","6","9","1","1","NA","9","NA","NA","7.4437",74,875,"2","6","NA"
"2013","DK",8801,544.437041972019,"NA","1","2013","NA","4",1989,"1","1","3","DK","2","NA","3","1","NA","2","NA","NA","4","7","NA","NA","g","NA","NA","NA","NA","2","NA","NA","NA","4","NA","3","2","NA","NA","NA",1,1,17831,0,0,435,1,0,116,,115,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","5","NA","8","9","5","NA","2","NA","3","NA","NA","8","7","NA","7","10","NA","1","5","8","9","1","7.4437",23,880,"2","2","NA"
"2013","DK",9351,544.437041972019,"NA","1","2013","NA","2",1945,"1","2","3","DK","2","NA","3","7","NA","1","2","NA","3","7","NA","NA","NA","NA","NA","NA","2","1","NA","NA","NA","4","2","1","NA","NA","2","NA",1,1,0,0,0,435,1,1572,0,,219,31129,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","NA","NA","4","5","NA","NA","NA","NA","NA","6","8","8","NA","NA","1","1","NA","10","NA","3","7.4437",67,935,"3","2","NA"
"2013","DK",9451,544.437041972019,"NA","1","2013","NA","2",1975,"1","2","1","DK","2","NA","5","1","NA","NA","NA","NA","3","2","NA","NA","NA","NA","NA","1","2","1","NA","NA","NA","2","2","NA","2","NA","2","NA",1,1,63576,0,0,0,1,0,180,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","9","NA","NA","NA","NA","NA","4","2","8","9","7","0","10","NA","NA","1","1","10","4","NA","1","7.4437",37,945,"2","7","NA"
"2013","DK",9731,544.437041972019,"742.6614","1","2013","NA","1",1978,"2","2","1","DK","2","NA","3","1","NA","NA","NA","NA","3","5","45","NA","NA","NA","NA","1","NA","2","NA","NA","NA","2","2","3","2","NA","2","NA",1,1,64719,250,0,435,1,0,266,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","9","10","NA","5","NA","4","2","9","NA","NA","6","7","7","NA","NA","NA","10","7","NA","4","7.4437",34,973,"3","5","460.67647086"
"2013","DK",10151,544.437041972019,"865.5413","1","2013","NA","3",1979,"1","2","1","EU","2","NA","NA","1","NA","1","NA","NA","3","3","37","NA","p","NA","NA","1","NA","NA","NA","NA","NA","3","NA","2","2","NA","1","NA",1,1,30701,66,0,383,1,0,0,,0,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","9","10","5","NA","4","4","2","NA","NA","5","4","9","NA","NA","1","NA","9","8","NA","NA","7.4437",33,1015,"2","2","7193.7364587"
"2013","DK",10561,544.437041972019,"1131.864","1","2013","NA","3",1977,"1","1","1","DK","2","NA","3","1","NA","NA","NA","NA","3","7","37","NA","NA","NA","13","1","NA","NA","NA","NA","NA","1","NA","3","1","NA","2","NA",1,1,46392,240,0,0,1,3359,0,,747,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","9","NA","8","9","3","4","NA","5","3","6","NA","7","NA","NA","7","10","1","2","8","NA","6","1","7.4437",35,1056,"3","2","3300.0781843"
"2013","DK",10951,544.437041972019,"NA","1","2013","NA","2",1945,"1","2","1","DK","2","NA","3","7","NA","NA","NA","NA","3","7","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","1","2","2","NA","2","NA",1,1,5184,0,0,0,1,0,0,,220,23570,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","8","6","8","4","NA","3","5","NA","NA","NA","10","8","7","9","10","1","1","8","NA","10","NA","7.4437",67,1095,"3","2","719.72606959"
"2013","DK",11261,544.437041972019,"NA","1","2013","NA","3",1941,"1","5","3","DK","2","NA","3","7","NA","NA","2","NA","3","0 - 1","NA","NA","NA","NA","12","1","NA","NA","NA","NA","NA","3","NA","NA","NA","NA","2","NA",1,1,0,0,0,461,1,814,0,,565,49141,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","7","NA","9","NA","3","4","NA","NA","2","8","NA","NA","NA","7","NA","NA","1","1","NA","10","10","2","7.4437",71,1126,"2","5","1375.1741019"
"2013","DK",11681,544.437041972019,"1357.411","1","2013","NA","2",1950,"1","2","2","DK","2","NA","3","1","NA","1","NA","NA","3","7","37","NA","f","NA","NA","NA","2","NA","NA","NA","NA","2","2","NA","2","NA","2","NA",1,1,15807,0,0,435,1,138,0,,60,0,0,0,33857,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","4","NA","1","5","NA","9","9","8","NA","NA","NA","9","NA","1","10","NA","8","3","7.4437",62,1168,"2","7","NA"
"2013","DK",12091,544.437041972019,"NA","1","2013","NA","2",1963,"1","2","3","DK","2","NA","5","1","NA","NA","NA","NA","3","2","37","NA","b-e","NA","NA","1","NA","NA","NA","NA","NA","2","NA","3","2","NA","NA","NA",1,1,89385,0,0,15,1,0,0,,158,0,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","NA","8","4","5","NA","5","2","9","5","7","8","8","8","4","1","1","7","10","10","1","7.4437",49,1209,"3","2","4027.6291082"
"2013","DK",12171,544.437041972019,"813.5869","2","2013","NA","3",1932,"1","4","3","DK","2","NA","3","7","NA","NA","NA","NA","3","3","NA","NA","NA","NA","NA","NA","2","2","NA","NA","NA","NA","1","NA","2","NA","NA","NA",1,1,0,0,0,647,1,0,0,,244,43349,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","8","NA","8","NA","5","5","2","NA","NA","NA","NA","NA","6","NA","NA","NA","1","1","NA","NA","10","NA","7.4437",80,1217,"2","7","NA"
"2013","DK",13251,544.437041972019,"1401.994","1","2013","NA","3",1959,"1","2","1","Other","1","5","5","5","NA","1","NA","NA","3",,"37","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA",1,1,5566,0,0,571,1,0,0,,5158,0,0,162,0,0,1,"NA","NA","NA","NA","NA","NA","NA","4","NA","6","7","4","NA","2","2","4","NA","NA","NA","5","10","8","NA","1","1","NA","5","NA","NA","7.4437",53,1325,"3","6","NA"
"2013","DK",13341,544.437041972019,"288.0227","1","2013","NA","4",1932,"1","4","3","DK","1","3","2","7","NA","1","2","NA","NA","4","37","NA","NA","NA","NA","NA","2","NA","NA","NA","NA","NA","NA","2","NA","NA","NA","NA",1,1,0,0,0,0,1,0,0,,126,12142,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","4","NA","NA","NA","4","NA","NA","5","2","NA","NA","6","10","7","10","5","NA","NA","10","NA","NA","1","7.4437",80,1334,"2","6","924.37418545"
"2013","DK",13701,544.437041972019,"NA","2","2013","NA","2",1949,"1","5","3","DK","2","NA","2","7","NA","1","NA","NA","3","8","NA","NA","NA","NA","NA","1","2","NA","NA","NA","NA","NA","NA","NA","2","NA","NA","NA",1,1,0,0,0,131,1,0,0,,228,24732,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","7","7","NA","NA","3","NA","3","4","4","NA","NA","NA","3","NA","NA","10","1","1","NA","NA","10","NA","7.4437",63,1370,"2","2","984.33596475"
"2013","DK",13721,544.437041972019,"967.0904","2","2013","NA","3",1932,"2","2","2","DK","2","NA","3","7","NA","NA","NA","NA","3","4","40","NA","NA","NA","12","1","NA","NA","NA","NA","NA","1","2","NA","2","NA","2","NA",1,1,1115,0,0,490,1,0,0,,226,47909,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","4","10","8","NA","NA","4","4","2","6","NA","8","NA","NA","8","NA","1","1","9","9","NA","1","7.4437",80,1372,"3","2","1006.9271278"
"2013","DK",13801,544.437041972019,"1141.878","1","2013","NA","3",1938,"2","4","1","DK","2","NA","5","7","NA","NA","NA","NA","3","3","NA","NA","NA","NA","13","NA","2","2","NA","NA","NA","3","2","NA","NA","NA","2","NA",1,1,0,0,0,532,1,0,0,,411,42555,0,0,0,0,1,"NA","NA","NA","NA","NA","NA","NA","NA","10","8","6","5","5","NA","NA","NA","NA","NA","8","NA","NA","NA","NA","NA","NA","7","NA","9","NA","7.4437",74,1380,"2","3","NA"
