"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","DK",255,"1","2012","11",44153,32382,0,0,,,,,,,,,0,0,0,0,0,,1328,,0,908,0,,10863,,"3","3","3","2","1","1","1","1","1","1","1","3","2684.35","2","NA","2","1","2","2","1","1","6","2","1","NA","NA","1830.85","NA","1","1",,"1",1,,,,,,"2","84","1","1","1","1","1","4","4","4","4","NA","3","3","3","NA"
"2012","DK",256,"1","2012","17",23161,22556,0,0,,,,,,,,,0,0,0,0,0,,-491,,0,0,0,,605,,"3","3","NA","1","1","1","1","1","1","3","1","6","4697.61","2","3","2","1","2","2","4","2","3","2","1","NA","NA","716.08","NA","1","1",,"1",1,,,,,,"2","30","1","1","1","1","1","4","1","3","2","3","4","NA","3","NA"
"2012","DK",288,"1","2012","10",36523,26997,0,0,,,,,,,,,0,0,0,0,0,,-195,,0,244,0,,9282,,"3","3","NA","1","1","1","1","1","1","1","1","6","3355.43","3","NA","2","2","2","2","4","1","3","2","1","NA","NA","179.21","NA","1","1",,"1",1,,,,,,"2","68","1","1","1","1","1","3","4","3","4","2","3","NA","3","NA"
"2012","DK",301,"1","2012","11",13434,-6247,0,0,,,,,,,,,0,0,0,0,0,,32,,0,0,0,,19681,,"3","3","3","2","1","1","1","1","1","1","1","5","402.65","3","3","2","2","2","1","2","1","6","2","1","469.76","NA","1391.02","NA","1","1",,"1",1,,,,,,"2","104","1","1","1","1","1","3","3","4","4","3","3","NA","3","NA"
"2012","DK",309,"2","2012","11",57558,32558,0,0,,,,,,,,,0,0,0,0,0,,7505,,0,0,0,,25000,,"NA","3","NA","1","1","2","1","1","1","1","1","6","4026.52","3","NA","2","2","2","2","1","1","5","2","1","NA","NA","2249.67","NA","1","1",,"1",1,,,,,,"2","150","1","1","1","1","1","4","2","4","1","3","3","4","3","NA"
"2012","DK",331,"1","2012","8",368,-10085,0,0,,,,,,,,,0,0,0,0,0,,-54,,0,0,0,,10453,,"3","3","NA","1","2","1","1","1","1","3","1","3","1879.04","2","NA","2","2","2","2","2","3","5","1","1","NA","NA","355.73","NA","1","1",,"1",1,,,,,,"2","300","1","1","1","1","1","4","NA","4","4","4","3","3","3","NA"
"2012","DK",351,"1","2012","10",59762,54416,0,0,,,,,,,,,0,0,0,0,0,,931,,0,451,0,,4895,,"NA","3","NA","1","1","1","1","1","1","1","1","4","6710.87","3","NA","2","1","2","2","1","2","5","1","1","NA","NA","1270.45","NA","1","1",,"1",1,,,,,,"2","110","1","2","1","1","1","3","3","4","2","3","4","NA","3","NA"
"2012","DK",376,"1","2012","NA",31190,25832,0,0,,,,,,,,,0,0,0,0,0,,2838,,0,656,0,,4702,,"3","3","3","1","1","2","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","3","5","2","1","NA","NA","1052.88","NA","1","1",,"1",1,,,,,,"2","65","1","1","1","1","2","3","2","3","3","3","3","4","3","NA"
"2012","DK",446,"1","2012","9",21022,13339,0,0,,,,,,,,,0,0,0,0,0,,-1212,,0,0,0,,7683,,"3","3","3","1","1","1","1","1","2","1","1","4","1207.96","3","NA","2","1","2","2","4","3","6","2","1","281.86","NA","519.81","NA","1","1",,"1",1,,,,,,"2","72","1","1","1","1","1","4","4","3","NA","NA","3","NA","3","NA"
"2012","DK",458,"1","2012","9",19737,-3493,0,0,,,,,,,,,0,0,0,0,0,,493,,0,2490,0,,20740,,"3","3","1","1","1","1","1","1","1","1","1","2","2550.13","1","NA","1","2","2","2","4","1","5","2","1","NA","NA","1484.19","NA","1","1",,"1",1,,,,,,"1","60","1","1","1","1","1","4","3","3","2","3","4","4","3","NA"
"2012","DK",462,"1","2012","NA",29273,23910,0,0,,,,,,,,,0,0,0,0,0,,-141,,0,0,0,,5363,,"3","3","3","1","1","1","1","1","1","1","3","5","2684.35","3","NA","2","1","2","2","1","3","5","2","1","NA","NA","660.65","NA","1","1",,"1",1,,,,,,"2","59","1","1","1","1","1","3","4","4","4","3","4","NA","3","NA"
"2012","DK",486,"1","2012","9",79006,67060,0,0,,,,,,,,,0,0,0,0,0,,-304,,0,391,0,,11555,,"3","3","NA","1","1","1","1","1","1","1","1","6","1073.74","3","3","2","2","2","1","1","1","4","2","1","NA","NA","640.58","NA","1","1",,"1",1,,,,,,"2","225","1","1","1","2","1","4","4","3","3","1","3","NA","3","NA"
"2012","DK",556,"1","2012","NA",15346,7467,0,0,,,,,,,,,0,0,0,0,0,,-1045,,0,226,0,,7652,,"3","3","3","1","1","1","1","1","1","1","1","6","3355.43","3","NA","2","2","2","2","1","1","6","1","1","NA","NA","2076.78","NA","1","1",,"1",1,,,,,,"2","88","1","1","1","1","1","1","3","3","3","2","3","NA","3","NA"
"2012","DK",576,"1","2012","9",60574,45489,0,0,,,,,,,,,0,0,0,0,0,,-5297,,0,1276,0,,13809,,"3","3","3","1","1","1","1","1","1","1","1","4","1073.74","3","NA","2","2","2","2","1","2","3","2","1","NA","NA","1476.22","NA","1","1",,"1",1,,,,,,"2","68","1","1","1","1","1","1","4","4","2","3","4","NA","3","NA"
"2012","DK",591,"1","2012","NA",52211,41865,0,0,,,,,,,,,0,0,0,0,0,,55,,0,0,0,,10346,,"3","3","3","1","1","1","1","1","3","1","3","3","3355.43","3","NA","2","2","1","2","2","3","6","2","1","288.57","NA","1979.48","NA","1","1",,"1",1,,,,,,"2","17","1","1","1","1","1","1","3","3","NA","3","3","NA","3","NA"
"2012","DK",595,"1","2012","11",23114,22995,0,0,,,,,,,,,0,0,0,0,0,,-188,,0,0,0,,120,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","2","5","2","1","1959.57","NA","1305.64","NA","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","1","4","4","4","3","4","NA","3","NA"
"2012","DK",608,"1","2012","13",29433,25803,0,0,,,,,,,,,0,0,0,667,0,,136,,0,67,0,,3563,,"3","3","NA","1","1","1","1","1","3","1","1","5","3355.43","3","2","2","2","2","1","1","3","5","2","1","NA","NA","1249.24","NA","1","1",,"1",1,,,,,,"2","88","1","1","1","1","1","1","3","3","3","4","2","NA","3","NA"
"2012","DK",626,"1","2012","NA",33942,30618,0,0,,,,,,,,,0,0,0,0,0,,-183,,0,290,0,,3034,,"3","3","3","1","1","1","1","1","1","1","1","6","4294.96","2","NA","2","2","2","2","4","2","5","2","1","NA","NA","1249.24","NA","1","1",,"1",1,,,,,,"2","170","1","1","1","1","1","4","4","4","3","NA","3","NA","3","NA"
"2012","DK",633,"2","2012","NA",13442,5271,0,0,,,,,,,,,0,0,0,0,0,,42,,0,461,0,,7710,,"3","3","3","1","1","1","1","1","1","1","1","6","1610.61","3","1","2","2","2","2","1","3","3","1","1","NA","NA","576.19","NA","1","1",,"1",1,,,,,,"2","163","1","1","1","1","1","1","4","4","4","3","2","4","3","NA"
"2012","DK",711,"1","2012","NA",28023,21713,0,0,,,,,,,,,0,0,0,0,0,,107,,0,515,0,,5794,,"3","3","3","2","1","2","1","1","1","1","2","4","1879.04","3","NA","2","2","2","2","1","2","1","1","1","NA","NA","1314.17","NA","1","1",,"1",1,,,,,,"2","98","1","1","1","1","1","4","4","4","3","3","2","NA","3","NA"
"2012","DK",729,"NA","2012","NA",11009,7960,0,0,,,,,,,,,0,0,0,0,0,,-1295,,0,0,0,,3049,,"3","3","3","1","1","1","1","1","1","1","1","6","2684.35","3","NA","2","2","2","2","2","3","4","1","1","NA","NA","1351.61","NA","1","1",,"1",1,,,,,,"2","208","2","2","1","1","1","4","3","2","3","4","4","NA","3","NA"
"2012","DK",764,"1","2012","NA",64738,48764,0,0,,,,,,,,,0,0,0,2866,0,,1459,,0,0,0,,15973,,"3","3","3","1","1","1","1","1","1","1","1","5","671.09","3","NA","2","2","2","2","1","1","4","2","1","NA","NA","179.21","NA","1","1",,"1",1,,,,,,"1","180","1","1","1","2","1","4","4","3","3","4","4","1","3","NA"
"2012","DK",844,"1","2012","8",83464,79119,0,0,,,,,,,,,0,0,0,2189,0,,27,,0,532,0,,3813,,"3","3","NA","2","1","2","1","1","1","1","1","4","805.3","3","NA","2","1","2","2","2","3","2","2","1","362.39","NA","680.32","NA","1","1",,"1",1,,,,,,"2","80","1","1","1","1","1","1","3","4","3","3","3","NA","3","NA"
"2012","DK",879,"NA","2012","12",25774,21120,0,0,,,,,,,,,0,0,0,0,0,,3,,0,411,0,,4243,,"3","3","3","1","1","1","1","1","1","1","1","2","5368.7","3","2","2","2","1","2","1","3","6","2","1","845.57","NA","643.33","NA","1","1",,"1",1,,,,,,"2","164","1","1","1","2","1","4","4","3","3","4","3","NA","1","NA"
"2012","DK",881,"1","2012","9",45720,22436,0,0,,,,,,,,,0,0,0,0,0,,0,,0,552,0,,22732,,"3","3","3","1","1","1","1","1","1","1","2","5","1342.17","2","NA","2","2","1","2","1","3","2","2","1","NA","NA","678.91","NA","1","1",,"1",1,,,,,,"2","108","1","1","1","1","1","4","3","4","4","NA","4","NA","3","NA"
"2012","DK",883,"2","2012","NA",17090,14744,0,0,,,,,,,,,0,0,0,0,0,,-33,,0,0,0,,2346,,"3","3","3","1","1","1","1","1","1","1","3","4","2147.48","2","NA","2","2","2","1","1","3","6","1","1","NA","NA","249.42","NA","1","1",,"1",1,,,,,,"2","104","1","1","1","1","2","2","3","3","4","4","4","4","3","NA"
"2012","DK",887,"1","2012","NA",25021,16010,0,0,,,,,,,,,0,0,0,0,0,,-36,,0,890,0,,8121,,"3","3","NA","1","1","1","1","1","1","1","3","4","469.76","3","1","2","2","2","2","2","1","2","2","1","NA","NA","1415.52","NA","1","1",,"1",1,,,,,,"1","110","1","1","1","1","1","3","4","4","3","3","2","NA","2","NA"
"2012","DK",891,"1","2012","10",52806,48893,0,0,,,,,,,,,0,0,0,3664,0,,-767,,0,236,0,,3677,,"3","3","3","1","1","2","1","1","1","1","1","6","4697.61","3","NA","2","2","2","2","1","2","5","2","1","NA","NA","1305.64","NA","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","4","4","4","3","3","3","NA","3","NA"
"2012","DK",947,"1","2012","12",40156,6618,0,0,,,,,,,,,0,0,0,0,0,,2913,,0,1653,0,,31886,,"3","3","NA","1","1","1","1","1","1","1","1","6","3355.43","1","NA","2","1","2","2","1","2","4","2","1","1102.19","NA","1249.24","NA","1","1",,"1",1,,,,,,"2","157","1","2","1","1","1","1","3","3","3","3","3","3","3","NA"
"2012","DK",957,"2","2012","NA",44324,42769,0,0,,,,,,,,,0,0,0,0,0,,-3948,,0,0,0,,1555,,"3","3","NA","2","1","1","1","1","1","1","3","6","3355.43","3","NA","2","2","2","2","1","1","3","2","1","NA","NA","640.58","NA","1","1",,"1",1,,,,,,"1","68","1","1","1","1","1","3","4","4","2","4","4","NA","3","NA"
"2012","DK",985,"NA","2012","NA",47619,36931,0,0,,,,,,,,,0,0,0,0,0,,-18,,0,849,0,,9839,,"3","3","3","1","1","1","1","1","1","1","1","5","2013.26","3","NA","2","2","2","2","4","2","6","1","1","NA","NA","855.45","NA","1","1",,"1",1,,,,,,"2","60","1","1","1","1","1","4","4","4","3","3","4","NA","3","NA"
"2012","DK",1028,"1","2012","NA",55644,-63446,0,0,,,,,,,,,0,0,0,0,0,,6532,,0,1953,0,,117137,,"3","3","NA","1","1","1","1","1","1","1","1","6","2684.35","3","NA","2","2","2","2","2","2","3","2","1","NA","NA","832.63","NA","1","1",,"1",1,,,,,,"2","200","1","1","2","2","1","4","4","4","1","4","3","4","3","NA"
"2012","DK",1069,"2","2012","9",31925,23568,0,0,,,,,,,,,0,0,0,0,0,,-36,,0,74,0,,8282,,"3","3","3","2","1","1","1","1","1","1","1","1","2684.35","3","NA","2","1","2","1","1","3","4","1","1","NA","NA","2271.68","NA","1","1",,"1",1,,,,,,"2","140","1","1","1","1","1","4","3","4","3","3","4","NA","3","NA"
"2012","DK",1140,"2","2012","NA",57816,51055,0,0,,,,,,,,,0,0,0,0,0,,-110,,0,442,0,,6319,,"3","3","3","1","1","1","1","1","1","1","1","5","1879.04","2","NA","2","2","2","2","1","2","5","2","1","NA","NA","1305.64","NA","1","1",,"1",1,,,,,,"2","280","1","1","2","1","1","4","3","3","4","4","4","NA","3","NA"
"2012","DK",1183,"1","2012","NA",20786,14657,0,0,,,,,,,,,0,0,0,0,0,,572,,0,0,0,,6129,,"3","3","NA","1","1","1","1","2","1","1","1","1","3489.65","3","3","2","2","2","1","4","1","5","2","1","402.65","NA","785.23","NA","1","1",,"1",1,,,,,,"2","96","1","1","1","1","1","1","4","3","4","4","3","NA","3","NA"
"2012","DK",1224,"1","2012","NA",56543,54760,0,0,,,,,,,,,0,0,0,0,0,,-208,,0,0,0,,1783,,"3","3","3","2","1","1","1","1","1","1","1","6","671.09","2","NA","1","1","2","2","4","1","2","2","1","510.03","NA","367.11","NA","1","1",,"1",1,,,,,,"1","100","1","1","1","1","1","4","4","3","4","4","3","4","3","NA"
"2012","DK",1233,"2","2012","NA",107225,91090,0,0,,,,,,,,,0,0,0,515,0,,1262,,0,1092,0,,15044,,"3","3","3","1","1","1","1","1","1","1","1","2","1342.17","3","NA","2","2","2","2","1","2","5","2","1","1102.19","NA","1726.04","NA","1","1",,"1",1,,,,,,"2","117","2","2","1","1","1","1","2","4","2","3","3","3","3","NA"
"2012","DK",1341,"1","2012","NA",54643,43134,0,0,,,,,,,,,0,0,0,7177,0,,0,,0,0,0,,11509,,"NA","3","NA","1","1","1","1","1","1","1","1","6","1342.17","3","NA","1","2","2","1","1","3","3","2","1","NA","NA","2263.25","NA","1","1",,"1",1,,,,,,"2","68","1","1","1","1","1","3","4","4","3","2","3","1","3","NA"
"2012","DK",1351,"1","2012","NA",52483,35542,0,0,,,,,,,,,0,0,0,77,0,,140,,0,0,0,,16940,,"3","3","3","1","1","2","1","1","1","1","1","3","5033.15","3","NA","2","2","2","2","4","3","6","1","1","469.76","NA","1036.84","NA","1","1",,"1",1,,,,,,"2","88","1","1","1","1","1","3","4","4","4","2","3","NA","3","NA"
"2012","DK",1387,"1","2012","NA",21970,8696,0,0,,,,,,,,,0,0,0,621,0,,-322,,0,601,2344,,10329,,"1","3","3","1","1","1","1","1","1","1","1","5","2684.35","3","3","2","2","2","2","2","1","3","2","1","NA","NA","732.48","NA","1","1",,"1",1,,,,,,"2","240","2","1","1","1","NA","3","4","2","NA","2","3","NA","3","NA"
"2012","DK",1390,"1","2012","16",136935,121042,0,0,,,,,,,,,0,0,0,0,0,,0,,0,1570,0,,14323,,"3","3","3","2","1","1","1","1","1","1","3","6","NA","3","NA","2","2","2","2","4","3","6","2","1","NA","NA","179.21","NA","1","1",,"1",1,,,,,,"1","204","1","1","1","2","1","1","4","3","2","2","2","3","3","NA"
"2012","DK",1397,"1","2012","NA",23263,984,0,0,,,,,,,,,0,0,0,0,0,,-278,,0,3390,0,,18889,,"3","3","3","1","1","1","1","1","1","1","1","6","3355.43","3","NA","2","2","2","2","1","3","3","2","1","NA","NA","1391.28","NA","1","1",,"1",1,,,,,,"2","204","1","1","1","1","1","1","4","4","3","4","2","3","3","NA"
"2012","DK",1407,"2","2012","NA",17325,14596,0,0,,,,,,,,,0,0,0,0,0,,-266,,0,0,0,,2729,,"3","3","3","1","1","2","1","1","3","1","1","5","2281.7","1","2","NA","2","2","2","1","3","5","1","1","510.03","NA","850.02","NA","1","1",,"1",1,,,,,,"2","66","1","1","1","1","1","4","3","4","4","4","4","NA","3","NA"
"2012","DK",1435,"2","2012","11",45475,39440,0,0,,,,,,,,,0,0,0,0,0,,474,,0,198,0,,5837,,"3","3","3","1","1","1","1","1","1","1","1","3","4026.52","2","NA","2","2","2","2","1","2","2","2","1","NA","NA","467.47","NA","1","1",,"1",1,,,,,,"2","69","1","1","1","1","1","4","4","4","4","4","4","4","3","NA"
"2012","DK",1444,"1","2012","NA",11619,4928,0,0,,,,,,,,,0,0,0,0,0,,657,,0,1528,0,,5163,,"3","3","NA","2","1","1","1","1","1","1","2","1","1073.74","1","NA","1","2","2","2","1","3","3","1","1","NA","NA","678.91","NA","1","1",,"1",1,,,,,,"2","100","1","1","1","1","1","3","4","3","3","NA","3","NA","3","NA"
"2012","DK",1461,"1","2012","13",51178,29401,0,0,,,,,,,,,0,0,0,0,0,,1351,,0,0,0,,21777,,"3","3","3","1","1","1","1","1","1","1","1","5","671.09","1","2","2","2","2","2","1","3","6","2","1","NA","NA","179.21","NA","1","1",,"1",1,,,,,,"1","180","1","1","1","2","1","3","1","4","3","2","4","NA","3","NA"
"2012","DK",1527,"1","2012","NA",46919,43836,0,0,,,,,,,,,0,0,0,0,0,,16550,,0,0,0,,3084,,"3","3","3","1","1","1","1","1","1","1","3","6","4026.52","3","NA","2","2","2","2","1","3","3","2","1","NA","NA","990.98","NA","1","1",,"1",1,,,,,,"2","68","1","1","2","2","1","1","4","4","3","4","3","3","3","NA"
"2012","DK",1576,"1","2012","NA",31346,18035,0,0,,,,,,,,,0,0,0,3600,0,,-44,,0,0,0,,13310,,"3","3","3","1","1","1","1","1","1","1","1","4","268.43","3","3","2","2","2","2","3","1","3","2","1","751.62","NA","803.01","NA","1","1",,"1",1,,,,,,"2","78","1","1","1","1","2","4","4","4","3","3","3","NA","3","4"
"2012","DK",1608,"1","2012","NA",40124,20654,0,0,,,,,,,,,0,0,0,0,0,,161,,0,0,0,,19471,,"3","3","3","1","1","1","1","1","1","1","1","5","2013.26","3","NA","2","2","2","2","4","2","3","2","1","NA","NA","953.76","NA","1","1",,"1",1,,,,,,"2","300","1","1","1","1","1","4","3","3","4","3","3","NA","3","NA"
"2012","DK",1611,"1","2012","10",955,-2252,0,0,,,,,,,,,0,0,0,0,0,,27,,0,133,157,,2917,,"3","3","3","1","1","1","1","1","1","1","1","2","671.09","3","NA","2","1","2","2","1","3","5","2","1","NA","NA","794.2","NA","1","1",,"1",1,,,,,,"2","105","1","1","1","1","1","3","4","3","3","NA","3","NA","2","NA"
"2012","DK",1625,"1","2012","12",44103,35812,0,0,,,,,,,,,0,0,0,0,0,,474,,0,0,0,,8291,,"3","3","NA","1","1","1","1","1","1","1","3","5","1342.17","3","NA","1","2","2","2","1","3","3","2","1","577.13","NA","1090.08","NA","1","1",,"1",1,,,,,,"2","NA","2","1","1","1","1","4","4","4","3","4","3","4","3","NA"
"2012","DK",1631,"1","2012","NA",26850,23806,0,0,,,,,,,,,0,0,0,0,0,,-3,,0,0,556,,2488,,"3","3","3","1","1","1","1","1","1","1","1","3","1073.74","3","NA","1","2","2","1","1","1","4","2","1","NA","NA","993.29","NA","1","2",,"1",1,,,,,,"2","68","1","1","1","2","1","4","4","4","4","4","4","NA","3","NA"
"2012","DK",1643,"1","2012","8",21330,10384,0,0,,,,,,,,,0,0,0,4592,0,,1084,,0,0,0,,10946,,"NA","3","3","1","1","1","1","1","1","1","1","6","2684.35","1","NA","2","1","2","2","1","1","4","2","1","NA","NA","1351.61","NA","1","1",,"1",1,,,,,,"2","230","1","1","1","2","1","4","4","3","3","4","3","NA","3","NA"
"2012","DK",1645,"1","2012","NA",63240,49887,0,0,,,,,,,,,0,0,0,0,0,,328,,0,0,0,,13352,,"3","3","NA","1","1","1","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","2","4","1","1","NA","NA","1129.09","NA","1","1",,"1",1,,,,,,"2","200","1","1","2","1","1","4","4","4","4","4","3","2","3","NA"
"2012","DK",1726,"1","2012","NA",26808,19809,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,6999,,"3","3","3","1","1","1","1","1","1","1","1","5","939.52","3","2","1","1","2","2","1","1","3","1","1","248.3","NA","686.24","NA","1","1",,"1",1,,,,,,"2","120","1","1","1","1","1","3","3","3","4","2","3","NA","3","NA"
"2012","DK",1754,"2","2012","NA",25590,17377,0,0,,,,,,,,,0,0,0,0,0,,-2269,,0,113,0,,8100,,"3","3","3","1","1","2","1","1","1","1","1","2","1610.61","3","NA","2","1","2","1","4","3","6","1","1","NA","NA","567.18","NA","1","1",,"1",1,,,,,,"2","158","1","1","1","1","NA","3","4","4","3","3","2","NA","3","NA"
"2012","DK",1760,"1","2012","NA",26775,18346,0,0,,,,,,,,,0,0,0,0,0,,-121,,0,0,607,,7822,,"3","3","3","2","1","2","1","1","1","1","1","6","NA","3","NA","2","2","2","2","1","1","3","1","1","778.46","NA","1661.61","NA","1","1",,"1",1,,,,,,"2","158","1","1","1","1","1","1","4","3","2","1","3","NA","3","NA"
"2012","DK",1771,"1","2012","NA",20243,14410,0,0,,,,,,,,,0,0,0,1285,0,,0,,0,0,0,,5833,,"3","3","NA","1","1","1","1","1","3","1","1","3","268.43","3","3","2","2","2","2","1","3","2","2","1","NA","NA","1415.5","NA","1","1",,"1",1,,,,,,"2","200","1","1","1","1","1","1","4","4","4","4","3","NA","2","NA"
"2012","DK",1799,"2","2012","NA",58679,23108,0,0,,,,,,,,,0,0,0,0,0,,-1093,,0,0,0,,35572,,"2","3","3","1","1","1","1","1","1","1","1","5","5368.7","3","NA","2","2","2","2","1","2","4","2","1","NA","NA","598.78","NA","1","1",,"1",1,,,,,,"1","400","1","1","1","1","1","3","4","3","4","NA","3","NA","3","NA"
"2012","DK",1836,"1","2012","10",56642,46089,0,0,,,,,,,,,0,0,0,1461,0,,-476,,0,778,0,,9776,,"3","3","1","1","1","1","1","3","1","1","2","3","2013.26","2","NA","2","2","2","2","1","3","2","2","1","NA","NA","931.55","NA","1","1",,"1",1,,,,,,"2","250","1","1","1","1","1","4","4","3","4","4","2","NA","3","NA"
"2012","DK",1991,"NA","2012","10",30568,19396,0,0,,,,,,,,,0,0,0,4159,0,,0,,0,0,0,,11172,,"3","3","3","1","1","1","1","1","1","1","1","3","469.76","2","NA","2","2","2","1","1","1","5","2","1","NA","NA","1135.62","NA","1","1",,"1",1,,,,,,"2","117","1","1","1","1","NA","4","4","2","2","3","4","4","3","NA"
"2012","DK",2028,"2","2012","NA",-868,-6889,0,0,,,,,,,,,0,0,0,0,0,,-982,,0,0,0,,6022,,"3","3","NA","2","1","1","1","1","1","1","1","4","2013.26","3","3","2","1","2","2","1","2","4","2","1","NA","NA","903.34","NA","1","1",,"1",1,,,,,,"2","180","1","1","1","1","1","4","4","3","3","4","3","NA","3","NA"
"2012","DK",2076,"2","2012","NA",55915,33917,0,0,,,,,,,,,0,0,0,0,0,,163,,0,0,0,,21999,,"3","3","NA","1","1","2","1","1","1","1","1","6","2013.26","2","1","2","2","2","2","1","3","4","2","1","1102.19","NA","741.15","NA","3","1",,"1",1,,,,,,"2","165","1","1","1","1","1","1","4","4","4","3","3","3","3","NA"
