"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060","RX030","RX020","RX010"
"2007","DK",9281,477.076648841355,"2",1958,"2","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA",928,48,48
"2007","DK",9551,477.076648841355,"2",1982,"2","1","1","4","13","NA","NA","NA","10","NA","NA","NA",955,24,24
"2007","DK",9961,477.076648841355,"2",1932,"2","1","3","3","13","5","NA","NA","10","NA","NA","0",996,74,74
"2007","DK",10371,477.076648841355,"1",1934,"1","1","1","3","NA","3","NA","NA","NA","NA","NA","NA",1037,72,73
"2007","DK",10751,477.076648841355,"2",1948,"1","1","4","3","13","5","NA","NA","NA","NA","NA","0",1075,58,58
"2007","DK",11061,477.076648841355,"3",1970,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",1106,36,36
"2007","DK",11481,477.076648841355,"2",1950,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",1148,56,56
"2007","DK",11881,477.076648841355,"2",1978,"1","1","1","4","NA","3","NA","NA","NA","35","NA","NA",1188,28,28
"2007","DK",11951,477.076648841355,"1",1977,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",1195,29,29
"2007","DK",11961,477.076648841355,"4",1932,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",1196,74,74
"2007","DK",12541,477.076648841355,"1",1983,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",1254,23,23
"2007","DK",13011,477.076648841355,"3",1964,"1","1","1","2","13","4","NA","NA","NA","NA","NA","NA",1301,42,42
"2007","DK",13101,477.076648841355,"2",1974,"2","1","1","4","13","5","NA","NA","NA","NA","NA","NA",1310,32,32
"2007","DK",13451,477.076648841355,"1",1957,"1","1","3","4","13","NA","NA","25","NA","NA","NA","NA",1345,49,49
"2007","DK",13481,477.076648841355,"3",1984,"2","1","4","3","13","5","NA","NA","NA","NA","NA","NA",1348,22,22
"2007","DK",13551,477.076648841355,"3",1977,"2","1","3","4","13","3","NA","NA","NA","0","NA","NA",1355,29,29
"2007","DK",13631,477.076648841355,"1",1950,"2","1","3","2","13","3","NA","NA","NA","NA","0","NA",1363,56,56
"2007","DK",13911,477.076648841355,"3",1931,"2","1","4","3","13","4","NA","25","NA","NA","NA","NA",1391,75,75
"2007","DK",14011,477.076648841355,"3",1961,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",1401,45,45
"2007","DK",14171,477.076648841355,"3",1972,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",1417,34,35
"2007","DK",14801,477.076648841355,"3",1977,"1","1","3","2","13","3","NA","NA","10","NA","NA","NA",1480,29,29
"2007","DK",15291,477.076648841355,"2",1960,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",1529,46,47
"2007","DK",15591,477.076648841355,"1",1931,"2","1","1","3","13","5","NA","NA","NA","NA","NA","NA",1559,75,75
"2007","DK",15631,477.076648841355,"4",1978,"2","1","3","2","NA","5","NA","NA","NA","NA","0","NA",1563,28,28
"2007","DK",15761,477.076648841355,"3",1976,"1","1","3","2","13","5","NA","NA","NA","40","NA","0",1576,30,30
"2007","DK",15821,477.076648841355,"2",1986,"1","1","3","3","13","NA","NA","NA","NA","NA","NA","NA",1582,20,20
"2007","DK",15921,477.076648841355,"4",1984,"2","1","1","3","13","3","NA","NA","NA","NA","0","NA",1592,22,22
"2007","DK",15961,477.076648841355,"3",1948,"2","1","3","2","13","NA","20","NA","NA","NA","NA","NA",1596,58,59
"2007","DK",16231,477.076648841355,"3",1984,"1","1","3","4","13","5","NA","NA","NA","NA","NA","NA",1623,22,23
"2007","DK",16741,477.076648841355,"3",1926,"1","1","3","2","13","3","NA","NA","NA","0","0","NA",1674,80,80
"2007","DK",17001,477.076648841355,"4",1958,"1","1","3","4","13","NA","NA","NA","NA","0","NA","NA",1700,48,49
"2007","DK",17061,477.076648841355,"1",1936,"2","1","1","2","13","4","NA","24","NA","NA","NA","0",1706,70,71
"2007","DK",17161,477.076648841355,"2",1926,"2","1","1","2","13","3","NA","NA","NA","NA","NA","0",1716,80,80
"2007","DK",17451,477.076648841355,"1",1978,"1","1","3","4","13","3","NA","NA","NA","NA","NA","NA",1745,28,29
"2007","DK",17801,477.076648841355,"2",1979,"2","1","2","4","13","5","NA","NA","NA","NA","0","NA",1780,27,27
"2007","DK",18271,477.076648841355,"4",1974,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",1827,32,32
"2007","DK",18381,477.076648841355,"4",1978,"1","1","2","3","13","4","NA","25","38","NA","0","0",1838,28,28
"2007","DK",19311,477.076648841355,"3",1935,"1","1","4","3","13","3","NA","NA","0","25","NA","NA",1931,71,72
"2007","DK",19321,477.076648841355,"3",1978,"2","1","2","2","13","5","NA","NA","NA","NA","NA","NA",1932,28,28
"2007","DK",19671,477.076648841355,"3",1971,"2","1","4","3","NA","5","NA","NA","NA","NA","NA","NA",1967,35,36
"2007","DK",20141,477.076648841355,"1",1985,"1","1","1","2","13","3","NA","20","NA","0","NA","NA",2014,21,21
"2007","DK",20201,477.076648841355,"1",1947,"2","1","4","4","13","5","NA","0","NA","NA","NA","NA",2020,59,60
"2007","DK",20321,477.076648841355,"4",1975,"2","1","1","3","NA","5","NA","25","NA","NA","NA","NA",2032,31,31
"2007","DK",20571,477.076648841355,"3",1944,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",2057,62,63
"2007","DK",20741,477.076648841355,"4",1982,"1","1","3","2","13","5","NA","NA","5","NA","NA","NA",2074,24,25
"2007","DK",20891,477.076648841355,"3",1942,"2","1","3","4","NA","3","NA","NA","NA","NA","NA","NA",2089,64,64
"2007","DK",21651,477.076648841355,"2",1964,"2","1","1","3","13","5","NA","NA","NA","NA","NA","NA",2165,42,43
"2007","DK",21671,477.076648841355,"2",1975,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",2167,31,32
"2007","DK",21731,477.076648841355,"1",1936,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",2173,70,71
"2007","DK",21851,477.076648841355,"2",1926,"2","1","2","2","13","NA","NA","NA","NA","NA","NA","NA",2185,80,80
"2007","DK",22441,477.076648841355,"2",1963,"2","1","1","4","13","3","NA","NA","NA","NA","0","NA",2244,43,44
"2007","DK",22541,477.076648841355,"2",1976,"1","1","3","2","13","NA","NA","NA","NA","NA","NA","NA",2254,30,30
"2007","DK",22571,477.076648841355,"2",1958,"1","1","1","3","NA","5","NA","NA","NA","NA","NA","NA",2257,48,49
"2007","DK",22611,477.076648841355,"2",1938,"2","1","3","3","13","3","NA","25","NA","NA","NA","NA",2261,68,68
"2007","DK",23541,477.076648841355,"2",1954,"2","1","4","3","13","3","NA","0","NA","NA","0","NA",2354,52,52
"2007","DK",23931,477.076648841355,"3",1976,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",2393,30,30
"2007","DK",24121,477.076648841355,"2",1944,"1","1","1","3","13","NA","NA","NA","NA","NA","NA","NA",2412,62,63
"2007","DK",24641,477.076648841355,"4",1931,"2","1","4","2","13","3","NA","NA","NA","NA","NA","NA",2464,75,75
"2007","DK",25351,477.076648841355,"2",1926,"1","1","4","2","NA","3","NA","32","NA","35","NA","NA",2535,80,80
"2007","DK",25461,477.076648841355,"1",1949,"1","1","1","2","13","NA","NA","NA","NA","NA","NA","NA",2546,57,58
"2007","DK",25491,477.076648841355,"3",1969,"2","1","4","2","13","NA","NA","NA","NA","NA","0","NA",2549,37,37
"2007","DK",26001,477.076648841355,"1",1971,"2","1","3","2","NA","5","NA","25","30","NA","NA","NA",2600,35,35
"2007","DK",26301,477.076648841355,"1",1942,"2","1","1","2","NA","4","NA","NA","NA","NA","0","NA",2630,64,64
"2007","DK",26921,477.076648841355,"3",1933,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",2692,73,74
"2007","DK",27251,477.076648841355,"4",1987,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",2725,19,19
"2007","DK",27331,477.076648841355,"4",1968,"1","1","1","3","NA","5","NA","NA","NA","NA","NA","0",2733,38,38
"2007","DK",27621,477.076648841355,"3",1979,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",2762,27,28
"2007","DK",27991,477.076648841355,"4",1926,"1","1","1","4","13","3","NA","NA","NA","NA","NA","NA",2799,80,80
"2007","DK",28191,477.076648841355,"1",1926,"1","1","4","2","13","5","NA","NA","NA","NA","0","NA",2819,80,80
"2007","DK",28241,477.076648841355,"2",1979,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",2824,27,27
"2007","DK",28571,477.076648841355,"1",1926,"1","1","4","2","13","4","NA","NA","NA","NA","NA","NA",2857,80,80
"2007","DK",28631,477.076648841355,"2",1962,"1","1","3","2","13","3","NA","NA","NA","NA","NA","NA",2863,44,45
"2007","DK",28861,477.076648841355,"1",1968,"1","1","2","2","13","NA","0","NA","NA","0","NA","NA",2886,38,38
"2007","DK",29181,477.076648841355,"4",1966,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",2918,40,40
"2007","DK",29351,477.076648841355,"4",1972,"1","1","4","3","13","NA","NA","NA","NA","NA","NA","NA",2935,34,35
"2007","DK",30581,477.076648841355,"4",1969,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",3058,37,37
"2007","DK",30651,477.076648841355,"1",1970,"1","1","1","3","13","5","NA","NA","NA","NA","NA","NA",3065,36,36
"2007","DK",30931,477.076648841355,"4",1979,"2","1","1","3","13","5","NA","NA","NA","NA","NA","NA",3093,27,28
"2007","DK",30961,477.076648841355,"1",1926,"1","1","3","2","13","5","NA","NA","NA","NA","NA","NA",3096,80,80
"2007","DK",31231,477.076648841355,"1",1975,"2","1","3","3","13","4","NA","NA","NA","NA","NA","NA",3123,31,31
"2007","DK",31361,477.076648841355,"3",1970,"2","1","4","3","13","3","NA","NA","NA","NA","NA","0",3136,36,36
"2007","DK",31441,477.076648841355,"2",1944,"2","1","3","4","13","3","NA","NA","NA","NA","NA","NA",3144,62,62
"2007","DK",31581,477.076648841355,"4",1936,"2","1","4","4","13","NA","NA","NA","NA","NA","NA","NA",3158,70,71
"2007","DK",31901,477.076648841355,"3",1969,"1","1","1","2","NA","3","NA","NA","NA","0","NA","NA",3190,37,37
"2007","DK",31991,477.076648841355,"4",1982,"1","1","1","3","13","4","NA","NA","NA","NA","NA","NA",3199,24,25
"2007","DK",32031,477.076648841355,"1",1944,"1","1","1","4","13","5","NA","NA","NA","NA","0","NA",3203,62,62
"2007","DK",32151,477.076648841355,"4",1981,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",3215,25,25
"2007","DK",32411,477.076648841355,"2",1975,"1","1","1","3","13","NA","NA","NA","NA","NA","NA","NA",3241,31,31
"2007","DK",32521,477.076648841355,"1",1962,"1","1","1","2","13","3","NA","25","NA","NA","NA","NA",3252,44,44
"2007","DK",32841,477.076648841355,"4",1944,"2","1","4","2","NA","3","NA","NA","NA","NA","NA","NA",3284,62,62
"2007","DK",32911,477.076648841355,"4",1981,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",3291,25,25
"2007","DK",33471,477.076648841355,"1",1964,"2","1","1","2","13","3","NA","NA","20","NA","NA","NA",3347,42,42
"2007","DK",33821,477.076648841355,"2",1936,"2","1","3","2","13","4","NA","NA","NA","NA","NA","NA",3382,70,70
"2007","DK",33881,477.076648841355,"3",1972,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",3388,34,34
"2007","DK",34001,477.076648841355,"2",1974,"1","1","1","3","13","5","0","NA","NA","35","0","0",3400,32,32
"2007","DK",34661,477.076648841355,"2",1948,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",3466,58,58
"2007","DK",34871,477.076648841355,"3",1926,"2","1","4","3","13","NA","NA","0","NA","NA","NA","NA",3487,80,80
"2007","DK",34911,477.076648841355,"4",1945,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",3491,61,61
"2007","DK",34991,477.076648841355,"1",1975,"1","1","2","2","13","5","NA","NA","NA","NA","NA","0",3499,31,32
"2007","DK",35041,477.076648841355,"4",1978,"2","1","4","2","13","5","NA","25","NA","NA","NA","NA",3504,28,28
"2007","DK",35231,477.076648841355,"3",1942,"2","1","1","3","NA","3","NA","NA","NA","NA","0","NA",3523,64,64
"2007","DK",35281,477.076648841355,"1",1926,"2","1","4","3","NA","5","NA","NA","NA","NA","NA","NA",3528,80,80
"2007","DK",35731,477.076648841355,"1",1943,"2","1","4","3","NA","NA","NA","32","NA","NA","NA","NA",3573,63,63
"2007","DK",35901,477.076648841355,"2",1931,"2","1","1","2","13","4","NA","NA","NA","NA","NA","NA",3590,75,76
"2007","DK",36141,477.076648841355,"1",1973,"2","1","1","3","NA","3","NA","30","NA","45","NA","NA",3614,33,33
"2007","DK",36341,477.076648841355,"4",1926,"1","1","4","2","NA","3","NA","NA","NA","NA","NA","NA",3634,80,80
"2007","DK",36371,477.076648841355,"3",1976,"1","1","1","3","13","5","NA","NA","NA","NA","0","NA",3637,30,30
"2007","DK",36441,477.076648841355,"3",1976,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",3644,30,31
"2007","DK",36581,477.076648841355,"2",1949,"2","1","4","3","13","3","NA","NA","NA","48","NA","NA",3658,57,58
"2007","DK",36761,477.076648841355,"1",1961,"1","1","3","3","13","NA","NA","NA","NA","NA","NA","0",3676,45,45
"2007","DK",36931,477.076648841355,"2",1928,"1","1","1","4","13","NA","NA","NA","NA","40","NA","NA",3693,78,78
"2007","DK",37021,477.076648841355,"2",1952,"2","1","1","2","13","NA","NA","NA","13","NA","NA","NA",3702,54,55
"2007","DK",37241,477.076648841355,"2",1933,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",3724,73,73
"2007","DK",37821,477.076648841355,"4",1984,"2","1","4","3","NA","3","NA","NA","NA","NA","NA","0",3782,22,22
"2007","DK",37951,477.076648841355,"1",1976,"1","1","4","4","NA","3","NA","NA","NA","NA","NA","0",3795,30,31
"2007","DK",38161,477.076648841355,"1",1962,"1","1","4","3","13","NA","NA","NA","0","NA","NA","NA",3816,44,44
"2007","DK",38291,477.076648841355,"4",1980,"1","1","1","4","13","NA","NA","25","NA","NA","NA","NA",3829,26,26
"2007","DK",38741,477.076648841355,"3",1928,"2","1","3","2","13","3","NA","NA","NA","NA","0","0",3874,78,78
"2007","DK",38881,477.076648841355,"2",1976,"1","1","4","2","13","5","NA","NA","NA","NA","NA","NA",3888,30,30
"2007","DK",39561,477.076648841355,"2",1948,"2","1","3","4","NA","3","NA","NA","NA","NA","NA","NA",3956,58,58
"2007","DK",39841,477.076648841355,"2",1927,"2","1","1","2","13","3","NA","NA","NA","NA","0","NA",3984,79,79
"2007","DK",40201,477.076648841355,"2",1976,"1","1","1","3","13","3","NA","NA","15","NA","NA","NA",4020,30,31
"2007","DK",40621,477.076648841355,"2",1984,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",4062,22,22
"2007","DK",40831,477.076648841355,"4",1958,"1","1","4","2","13","5","NA","NA","NA","NA","0","NA",4083,48,49
"2007","DK",40871,477.076648841355,"3",1955,"1","1","4","2","13","NA","NA","NA","NA","NA","NA","NA",4087,51,51
"2007","DK",41521,477.076648841355,"1",1953,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",4152,53,53
"2007","DK",41831,477.076648841355,"1",1934,"2","1","4","2","13","5","NA","NA","NA","NA","NA","NA",4183,72,73
"2007","DK",41961,477.076648841355,"4",1964,"1","1","1","4","NA","4","NA","NA","16","NA","NA","NA",4196,42,43
"2007","DK",42391,477.076648841355,"4",1957,"2","1","1","2","NA","3","NA","NA","NA","NA","0","NA",4239,49,50
"2007","DK",42841,477.076648841355,"2",1942,"1","1","4","2","13","4","NA","NA","NA","0","NA","NA",4284,64,65
"2007","DK",43501,477.076648841355,"2",1946,"2","1","1","4","NA","3","NA","NA","NA","NA","NA","NA",4350,60,60
"2007","DK",43601,477.076648841355,"3",1926,"2","1","1","2","13","3","NA","28","12","27","NA","0",4360,80,80
"2007","DK",43631,477.076648841355,"2",1942,"2","1","1","2","13","NA","NA","0","NA","NA","NA","NA",4363,64,65
"2007","DK",44031,477.076648841355,"4",1983,"2","1","4","2","NA","3","NA","NA","NA","NA","NA","NA",4403,23,24
"2007","DK",44181,477.076648841355,"1",1926,"2","1","3","2","13","3","NA","NA","NA","NA","NA","0",4418,80,80
"2007","DK",44651,477.076648841355,"2",1979,"1","1","1","4","13","5","NA","NA","NA","NA","NA","NA",4465,27,28
"2007","DK",45031,477.076648841355,"4",1984,"2","1","1","4","13","3","NA","NA","NA","35","NA","0",4503,22,22
"2007","DK",45341,477.076648841355,"3",1944,"2","1","1","4","13","5","NA","NA","NA","0","NA","NA",4534,62,63
"2007","DK",45461,477.076648841355,"4",1945,"2","1","4","2","NA","4","NA","NA","NA","0","NA","NA",4546,61,61
"2007","DK",45501,477.076648841355,"4",1926,"2","1","4","2","NA","5","NA","NA","NA","NA","NA","0",4550,80,80
"2007","DK",46141,477.076648841355,"4",1941,"1","1","3","3","13","5","NA","NA","NA","NA","NA","NA",4614,65,65
"2007","DK",46151,477.076648841355,"1",1971,"2","1","1","2","13","3","NA","NA","NA","NA","NA","NA",4615,35,35
"2007","DK",46411,477.076648841355,"3",1945,"2","1","1","3","NA","3","NA","NA","0","NA","NA","NA",4641,61,62
"2007","DK",47031,477.076648841355,"1",1948,"1","1","1","3","NA","NA","NA","NA","NA","NA","NA","NA",4703,58,58
"2007","DK",47051,477.076648841355,"1",1955,"1","1","4","2","13","3","NA","NA","NA","NA","0","NA",4705,51,51
"2007","DK",47261,477.076648841355,"2",1926,"1","1","3","3","13","3","NA","NA","NA","NA","NA","NA",4726,80,80
"2007","DK",47331,477.076648841355,"3",1944,"2","1","4","4","13","3","NA","NA","NA","NA","NA","0",4733,62,63
"2007","DK",47631,477.076648841355,"4",1971,"1","1","1","2","13","NA","NA","32","NA","NA","NA","NA",4763,35,35
"2007","DK",48241,477.076648841355,"1",1943,"1","1","1","3","13","3","NA","NA","NA","NA","NA","NA",4824,63,63
"2007","DK",48311,477.076648841355,"4",1961,"1","1","1","4","13","5","NA","NA","NA","NA","NA","0",4831,45,46
"2007","DK",48381,477.076648841355,"1",1970,"2","1","2","3","13","5","NA","NA","NA","NA","0","NA",4838,36,36
"2007","DK",48771,477.076648841355,"2",1926,"2","1","1","2","NA","NA","NA","NA","NA","NA","NA","NA",4877,80,80
"2007","DK",49011,477.076648841355,"4",1956,"1","1","4","2","NA","3","NA","NA","NA","NA","NA","NA",4901,50,50
"2007","DK",49341,477.076648841355,"1",1942,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",4934,64,64
"2007","DK",49531,477.076648841355,"1",1982,"2","1","4","4","13","3","NA","NA","NA","NA","NA","NA",4953,24,24
"2007","DK",49681,477.076648841355,"4",1962,"1","1","1","4","13","3","NA","NA","NA","NA","NA","NA",4968,44,44
"2007","DK",49741,477.076648841355,"1",1963,"1","1","1","2","13","4","NA","NA","NA","NA","NA","NA",4974,43,43
"2007","DK",49781,477.076648841355,"3",1955,"2","1","3","3","NA","3","NA","NA","NA","NA","NA","0",4978,51,52
"2007","DK",49831,477.076648841355,"3",1946,"1","1","1","2","13","3","NA","NA","NA","NA","0","NA",4983,60,61
"2007","DK",49861,477.076648841355,"2",1977,"1","1","4","2","13","3","NA","NA","NA","25","NA","NA",4986,29,29
"2007","DK",50161,477.076648841355,"2",1927,"1","1","1","3","13","4","NA","NA","NA","NA","NA","NA",5016,79,80
"2007","DK",50281,477.076648841355,"1",1978,"1","1","1","2","13","5","NA","NA","NA","NA","NA","NA",5028,28,28
"2007","DK",50941,477.076648841355,"2",1926,"2","1","3","4","NA","5","NA","NA","NA","NA","NA","NA",5094,80,80
"2007","DK",51021,477.076648841355,"2",1979,"1","1","1","2","13","3","NA","NA","NA","NA","NA","NA",5102,27,28
"2007","DK",51221,477.076648841355,"3",1944,"1","1","3","2","13","5","NA","NA","0","NA","0","NA",5122,62,62
"2007","DK",51351,477.076648841355,"4",1964,"1","1","1","4","NA","NA","0","NA","NA","NA","NA","NA",5135,42,43
"2007","DK",51441,477.076648841355,"1",1962,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",5144,44,44
"2007","DK",51821,477.076648841355,"2",1943,"1","1","1","3","13","3","NA","NA","NA","NA","NA","0",5182,63,63
"2007","DK",52171,477.076648841355,"3",1939,"2","1","1","3","13","3","NA","NA","NA","NA","NA","NA",5217,67,67
"2007","DK",52271,477.076648841355,"4",1944,"2","1","1","4","13","3","NA","NA","NA","NA","NA","NA",5227,62,63
"2007","DK",52351,477.076648841355,"3",1970,"1","1","1","2","13","3","NA","NA","NA","35","NA","NA",5235,36,36
"2007","DK",52801,477.076648841355,"2",1943,"1","1","4","4","NA","3","NA","NA","NA","0","0","NA",5280,63,64
"2007","DK",53071,477.076648841355,"2",1952,"2","1","1","3","13","5","NA","24","NA","NA","NA","NA",5307,54,54
"2007","DK",53121,477.076648841355,"1",1986,"1","1","4","3","13","3","NA","NA","NA","0","0","0",5312,20,20
"2007","DK",53861,477.076648841355,"4",1977,"2","1","4","3","13","3","NA","NA","NA","NA","NA","NA",5386,29,29
"2007","DK",54061,477.076648841355,"2",1944,"2","1","2","2","13","3","NA","NA","NA","0","NA","0",5406,62,63
"2007","DK",54131,477.076648841355,"4",1985,"1","1","3","2","13","NA","NA","NA","NA","NA","0","NA",5413,21,22
"2007","DK",54341,477.076648841355,"3",1942,"2","1","1","2","13","5","NA","NA","NA","NA","NA","NA",5434,64,65
"2007","DK",54561,477.076648841355,"3",1964,"1","1","1","3","NA","5","NA","NA","NA","NA","NA","0",5456,42,43
"2007","DK",55191,477.076648841355,"1",1939,"2","1","1","3","13","5","NA","NA","20","NA","NA","NA",5519,67,67
"2007","DK",55241,477.076648841355,"1",1977,"2","1","4","4","13","5","NA","NA","0","40","NA","NA",5524,29,30
"2007","DK",55791,477.076648841355,"2",1971,"1","1","4","3","13","3","NA","NA","NA","NA","NA","NA",5579,35,35
"2007","DK",55801,477.076648841355,"4",1958,"1","1","1","3","NA","3","NA","NA","NA","40","NA","NA",5580,48,48
"2007","DK",55831,477.076648841355,"4",1928,"2","1","1","4","13","5","NA","25","NA","NA","NA","NA",5583,78,79
"2007","DK",56041,477.076648841355,"1",1977,"2","1","3","4","13","5","NA","NA","NA","NA","NA","NA",5604,29,29
"2007","DK",56361,477.076648841355,"3",1964,"1","1","1","3","13","3","NA","NA","0","0","NA","NA",5636,42,42
"2007","DK",56401,477.076648841355,"3",1939,"2","1","3","2","13","3","NA","NA","NA","NA","NA","NA",5640,67,67
"2007","DK",56851,477.076648841355,"1",1963,"2","1","1","2","NA","3","NA","NA","NA","NA","NA","NA",5685,43,44
