"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY170N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HY170G","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HX010","HX040","HX050","HX060","HX070","HX080","HX090","HX120"
"2011","AT",269,"2","2011","12",240,183,0,0,,,,,,,,,0,240,0,0,0,,0,,0,0,0,,57,,"3","3","NA","1","2","1","1","1","3","1","1","4","300","1","NA","2","2","2","2","1","4","4","1","1","NA","500","173.34","0","1","1",,"1",1,,,,,
"2011","AT",278,"1","2011","10",564,-2069,552,552,,,,,,,,,552,0,0,0,0,,12,,0,0,0,,2633,,"3","3","NA","1","1","1","1","1","1","1","2","5","2000","1","3","2","2","2","2","2","3","4","2","1","600","NA","437.54","454.17","1","1",,"1",1,,,,,
"2011","AT",279,"1","2011","20",53445,53388,0,0,,,,,,,,,0,0,0,0,0,,5,,0,0,57,,0,,"3","3","NA","1","1","2","1","1","1","1","1","3","1350","3","2","2","2","2","1","4","5","3","2","1","414","800","485.58","0","1","1",,"1",1,,,,,
"2011","AT",287,"1","2011","10",121359,119039,0,0,,,,,,,,,0,5473,0,0,0,,0,,0,0,0,,2320,,"NA","3","NA","1","1","1","1","1","1","1","1","5","2300","2","NA","2","2","2","2","4","1","3","1","1","NA","NA","659.73","0","1","1",,"1",1,,,,,
"2011","AT",312,"1","2011","8",49739,21654,0,0,,,,,,,,,0,0,0,0,0,,773,,0,0,2087,,25998,,"NA","2","NA","1","1","1","1","1","1","1","1","5","2500","3","NA","2","2","1","2","1","5","5","2","1","NA","3000","302.23","0","1","1",,"1",1,,,,,
"2011","AT",324,"1","2011","10",24002,21511,0,0,,,,,,,,,0,0,0,0,0,,20329,,0,0,1861,,630,,"3","3","NA","1","1","1","1","1","3","1","1","5","2500","2","NA","2","2","1","2","2","2","5","2","1","455","NA","328.99","0","1","1",,"1",1,,,,,
"2011","AT",348,"2","2011","20",0,-2002,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2002,,"NA","3","NA","1","1","1","1","1","1","1","1","6","1500","3","NA","2","2","2","1","1","1","4","2","1","NA","1000","521.47","0","1","1",,"1",1,,,,,
"2011","AT",349,"2","2011","20",64681,28925,0,0,,,,,,,,,0,20271,0,0,0,,0,,0,0,0,,35755,,"NA","3","NA","1","1","1","1","1","1","1","1","6","1700","3","NA","2","2","2","2","1","3","6","2","1","NA","NA","274.67","264.28","1","1",,"1",1,,,,,
"2011","AT",350,"2","2011","17",21360,19632,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,1728,,"3","3","NA","2","1","1","1","1","1","1","1","4","2000","3","NA","2","2","1","2","4","2","1","2","1","NA","NA","1185.84","0","1","1",,"1",1,,,,,
"2011","AT",388,"2","2011","15",12818,8816,0,0,,,,,,,,,0,0,0,0,0,,149,,0,0,0,,4002,,"NA","3","3","1","1","1","1","1","1","1","2","6","1550","2","3","2","1","2","2","1","1","5","2","1","NA","NA","289.55","0","1","1",,"1",1,,,,,
"2011","AT",396,"1","2011","11",16306,13694,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2611,,"NA","3","NA","1","1","1","1","1","1","1","1","3","3000","2","NA","2","2","2","2","4","5","5","1","1","NA","800","769.58","0","1","1",,"1",1,,,,,
"2011","AT",398,"2","2011","11",11104,2355,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8749,,"3","3","NA","1","1","1","1","1","3","1","3","4","1300","1","NA","2","2","2","2","1","2","2","2","1","NA","NA","763.65","0","1","1",,"1",1,,,,,
"2011","AT",407,"2","2011","20",19272,18943,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,329,,"3","3","NA","1","1","1","1","1","3","1","1","4","1300","2","NA","2","1","2","2","1","4","4","2","1","NA","800","818.55","60.42","1","1",,"1",1,,,,,
"2011","AT",408,"1","2011","7",17163,12642,0,0,,,,,,,,,0,0,0,0,0,,72,,0,0,0,,4521,,"3","3","NA","1","1","1","1","1","1","1","1","6","1500","3","NA","2","2","2","2","NA","2","5","2","1","467","NA","1237.97","0","1","1",,"1",1,,,,,
"2011","AT",429,"2","2011","16",12400,11788,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,613,,"3","3","2","1","1","2","1","1","1","1","1","2","1900","2","NA","2","2","2","2","4","1","5","2","1","NA","480","364.08","0","1","1",,"1",1,,,,,
"2011","AT",431,"2","2011","45",21457,15215,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,2157,,4085,,"3","3","NA","1","1","2","1","1","1","1","1","4","2500","3","NA","2","2","2","2","4","4","4","2","1","NA","900","437.64","0","1","1",,"1",1,,,,,
"2011","AT",445,"1","2011","7",11221,10871,0,0,,,,,,,,,0,0,0,0,0,,256,,0,0,118,,232,,"3","3","NA","1","2","2","1","3","1","1","3","1","980","1","3","2","2","2","2","1","3","3","2","1","NA","NA","325.81","0","1","1",,"1",1,,,,,
"2011","AT",453,"2","2011","12",16118,-17852,3391,3391,,,,,,,,,3391,0,0,0,0,,130,,0,0,0,,33970,,"3","3","NA","2","1","1","1","1","1","1","1","5","2000","2","NA","2","2","2","2","4","2","3","2","1","1343","900","479.46","0","1","1",,"1",1,,,,,
"2011","AT",468,"1","2011","10",36986,28100,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8887,,"NA","2","3","1","1","1","1","1","1","1","1","4","1100","3","NA","2","2","2","2","1","2","4","2","1","NA","1000","460.1","0","1","1",,"1",1,,,,,
"2011","AT",470,"2","2011","10",0,-3124,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,3124,,"3","3","3","1","1","1","1","1","1","1","1","4","2200","2","NA","2","2","2","2","1","2","3","2","1","448","600","871.77","933.33","1","1",,"1",1,,,,,
"2011","AT",479,"1","2011","10",44861,42444,0,0,,,,,,,,,0,0,0,0,0,,57,,0,0,0,,2417,,"NA","3","NA","1","1","2","1","1","1","1","1","2","1500","3","2","2","2","2","2","3","1","5","2","1","800","850","309.92","97.22","1","1",,"1",1,,,,,
"2011","AT",495,"2","2011","15",21974,16825,0,0,,,,,,,,,0,11894,0,0,0,,0,,0,0,0,,5149,,"3","3","NA","1","1","1","1","1","1","1","1","5","3500","3","NA","2","2","1","2","1","1","4","2","1","470","1000","377.54","0","1","1",,"1",1,,,,,
"2011","AT",499,"2","2011","8",71089,65894,0,0,,,,,,,,,0,0,0,0,2432,,86,,0,0,0,,5196,,"3","3","2","1","1","1","1","1","1","1","1","4","1500","2","2","1","2","2","2","NA","3","3","2","1","NA","450","731.56","933.33","1","1",,"1",1,,,,,
"2011","AT",510,"1","2011","26",26222,18860,0,0,,,,,,,,,0,0,0,0,0,,30,,0,0,0,,7362,,"NA","3","NA","1","1","1","1","1","1","1","1","6","2000","1","NA","2","2","2","2","1","5","3","1","1","850","800","699.76","0","1","1",,"1",1,,,,,
"2011","AT",534,"1","2011","10",15458,11864,0,0,,,,,,,,,0,0,0,0,0,,535,,0,0,0,,3595,,"NA","3","NA","1","1","1","1","1","1","1","1","5","3500","1","NA","2","2","2","2","4","3","4","2","1","790","1500","678.26","0","1","1",,"1",1,,,,,
"2011","AT",559,"2","2011","10",18837,15946,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2892,,"2","3","3","1","1","2","1","1","1","1","1","5","1500","1","NA","2","2","2","2","4","1","5","2","1","NA","500","296.73","0","1","1",,"1",1,,,,,
"2011","AT",560,"2","2011","7",48027,29254,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,18774,,"NA","3","NA","1","1","1","1","1","1","1","1","6","4000","2","3","2","2","2","2","4","1","4","2","1","NA","600","318.09","264.28","1","1",,"1",1,,,,,
"2011","AT",572,"1","2011","5",41,-26380,0,0,,,,,,,,,0,0,0,0,0,,41,,0,0,7654,,18767,,"3","3","NA","1","1","1","1","1","1","1","1","2","3500","2","2","2","2","2","2","4","3","4","2","1","NA","600","921.2","0","1","1",,"1",1,,,,,
"2011","AT",579,"1","2011","7",25654,24669,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,986,,"NA","3","NA","2","1","1","1","1","1","1","1","5","3500","3","NA","2","1","2","2","1","2","2","2","1","NA","500","434.74","0","1","1",,"1",1,,,,,
"2011","AT",585,"1","2011","11",27053,20321,0,0,,,,,,,,,0,0,0,0,0,,972,,0,0,0,,6732,,"3","3","NA","1","1","1","1","1","1","1","1","2","1600","3","1","2","2","2","2","1","1","3","2","1","NA","NA","574.21","520.83","1","1",,"1",1,,,,,
"2011","AT",590,"1","2011","35",54157,43999,0,0,,,,,,,,,0,0,0,0,0,,289,,0,0,0,,10158,,"3","3","3","1","1","1","1","1","1","1","1","3","1700","2","NA","2","2","2","1","3","3","3","2","1","NA","1300","195.5","0","1","1",,"1",1,,,,,
"2011","AT",605,"1","2011","18",25638,22804,0,0,,,,,,,,,0,0,0,0,0,,8,,0,0,0,,2834,,"NA","3","NA","1","1","1","1","1","1","1","1","3","2200","3","NA","2","2","2","2","1","3","6","2","1","NA","500","382.51","541.67","1","1",,"1",1,,,,,
"2011","AT",619,"2","2011","9",34018,30729,0,0,,,,,,,,,0,0,0,0,0,,14,,0,0,0,,3289,,"3","3","NA","1","1","1","1","1","1","1","1","5","4000","2","NA","2","2","2","2","1","5","5","2","1","778","800","624.5","0","1","1",,"1",1,,,,,
"2011","AT",624,"1","2011","10",9926,9535,0,0,,,,,,,,,0,0,0,0,0,,100,,0,0,0,,391,,"3","3","3","1","1","1","1","1","3","1","1","6","1300","2","NA","2","2","2","2","4","2","2","2","1","470","NA","61.72","59.52","1","1",,"1",1,,,,,
"2011","AT",634,"1","2011","11",12276,1673,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10603,,"3","1","NA","1","1","1","1","1","1","1","1","6","2000","1","NA","2","2","2","2","4","2","5","2","1","NA","350","457.53","0","1","1",,"1",1,,,,,
"2011","AT",636,"2","2011","5",15483,13839,0,0,,,,,,,,,0,0,0,0,0,,193,,0,0,0,,1643,,"3","3","NA","2","1","1","1","1","3","1","2","4","500","3","NA","2","2","2","2","1","1","5","2","1","NA","NA","587.79","0","1","1",,"1",1,,,,,
"2011","AT",644,"2","2011","40",39620,32214,0,0,,,,,,,,,0,0,0,0,27531,,0,,0,0,0,,7407,,"3","3","2","1","1","2","1","1","1","1","3","6","1500","1","3","2","1","2","2","4","3","4","2","1","700","1000","791.96","0","1","1",,"1",1,,,,,
"2011","AT",650,"1","2011","55",37893,30449,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7444,,"3","3","NA","1","1","1","1","1","1","1","1","4","2200","3","2","2","2","2","2","1","1","4","2","1","NA","1500","871.77","0","1","1",,"1",1,,,,,
"2011","AT",674,"2","2011","5",41278,36186,1861,1861,,,,,,,,,1861,0,0,0,0,,737,,0,0,0,,5092,,"NA","3","3","1","1","1","1","1","1","1","1","3","3000","3","NA","2","2","2","2","3","3","6","2","1","NA","750","418.53","0","1","1",,"2",1.5,,,,,
"2011","AT",705,"2","2011","12",73598,68041,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5556,,"NA","3","3","1","1","1","1","1","3","1","1","5","2000","3","NA","2","2","2","1","1","1","3","2","1","NA","800","274.67","0","1","1",,"2",1.5,,,,,
"2011","AT",708,"1","2011","9",18908,18386,0,0,,,,,,,,,0,0,0,0,0,,109,,0,0,0,,522,,"NA","3","NA","1","1","1","1","1","1","1","1","3","3000","1","NA","1","2","2","2","4","3","6","2","1","NA","770","1223.28","0","1","1",,"2",1.5,,,,,
"2011","AT",732,"3","2011","9",66739,65977,0,0,,,,,,,,,0,0,0,0,0,,151,,0,0,0,,762,,"NA","3","NA","1","1","1","1","1","1","1","1","6","3000","3","NA","2","1","2","1","2","2","4","2","1","NA","900","506.27","0","1","1",,"2",1.5,,,,,
"2011","AT",741,"2","2011","11",57906,53890,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,1714,,2302,,"NA","3","NA","1","1","1","1","1","1","1","1","6","1500","3","NA","2","2","2","2","1","5","4","2","1","NA","NA","245.51","0","1","1",,"2",1.5,,,,,
"2011","AT",742,"1","2011","11",21605,-90867,0,0,,,,,,,,,0,0,0,0,0,,627,,0,0,0,,112472,,"3","3","NA","1","1","1","1","1","1","1","1","5","1200","3","2","2","2","2","2","2","4","4","1","1","NA","NA","674.33","0","1","1",,"2",1.5,,,,,
"2011","AT",749,"1","2011","10",29089,24934,0,0,,,,,,,,,0,0,0,0,0,,27,,0,0,0,,4155,,"NA","3","NA","1","1","1","1","1","1","1","1","5","1500","2","NA","2","2","1","2","4","1","4","2","1","778","1800","812.19","0","1","1",,"2",1.5,,,,,
"2011","AT",760,"2","2011","7",74172,65777,0,0,,,,,,,,,0,0,0,0,0,,370,,0,0,0,,8395,,"3","3","3","1","2","1","1","1","1","1","3","4","2200","2","NA","2","2","2","2","3","2","5","1","1","1343","1300","457.53","0","1","1",,"2",1.5,,,,,
"2011","AT",775,"2","2011","7",60647,46863,0,0,,,,,,,,,0,0,0,0,0,,346,,0,0,0,,13784,,"NA","3","3","1","1","1","1","1","1","1","1","4","1500","1","NA","2","2","2","2","1","2","6","2","1","NA","NA","373.38","454.17","1","1",,"2",1.5,,,,,
"2011","AT",777,"1","2011","8",41788,36047,249,249,,,,,,,,,249,0,0,0,0,,4010,,0,0,0,,5741,,"3","3","NA","1","1","2","1","1","1","1","1","1","3400","3","NA","1","2","2","2","1","1","3","2","1","262","NA","611.14","0","1","1",,"2",1.5,,,,,
"2011","AT",783,"2","2011","11",33457,17569,0,0,,,,,,,,,0,0,0,0,0,,1106,,0,0,0,,15888,,"3","3","NA","1","1","1","1","1","1","1","1","3","2000","2","3","2","2","2","2","3","1","3","2","1","NA","800","274.67","0","1","1",,"2",1.5,,,,,
"2011","AT",784,"2","2011","9",45471,35960,0,0,,,,,,,,,0,0,0,0,0,,314,,0,0,0,,9511,,"3","3","NA","1","1","1","1","1","1","1","1","5","800","3","NA","2","2","2","2","1","1","2","2","1","320","1000","521.47","0","1","1",,"2",1.5,,,,,
"2011","AT",787,"2","2011","15",20294,18180,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,2115,,"NA","3","NA","1","1","1","1","1","1","1","1","3","2500","2","NA","2","2","2","2","4","1","5","2","1","NA","1000","2296.47","0","1","1",,"2",1.5,,,,,
"2011","AT",788,"1","2011","8",55630,44384,0,0,,,,,,,,,0,0,0,0,0,,66,,0,0,0,,11246,,"NA","3","NA","1","1","1","1","1","1","1","1","4","3500","3","2","2","2","2","2","2","5","6","2","1","NA","750","829.42","0","1","1",,"2",1.5,,,,,
"2011","AT",804,"1","2011","15",49904,33015,0,0,,,,,,,,,0,0,0,0,0,,145,,0,0,0,,16889,,"NA","3","NA","1","1","2","1","1","3","1","1","3","3000","2","NA","2","2","2","2","2","2","4","2","1","NA","800","506.27","0","1","1",,"2",1.5,,,,,
"2011","AT",816,"2","2011","10",39692,32224,6954,6954,,,,,,,,,6954,877,0,0,0,,486,,0,0,0,,7468,,"3","3","NA","1","1","1","1","1","1","1","1","5","2500","3","NA","2","2","2","2","4","1","4","2","1","NA","400","1037.81","625","1","1",,"2",1.5,,,,,
"2011","AT",845,"1","2011","8",48343,6335,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,42008,,"NA","3","NA","1","1","1","1","1","1","1","1","5","1300","2","3","2","2","1","2","2","4","3","1","1","NA","800","644.84","0","1","1",,"2",1.5,,,,,
"2011","AT",849,"1","2011","15",37722,32225,0,0,,,,,,,,,0,0,0,0,0,,106,,0,0,0,,5497,,"NA","3","NA","1","1","1","1","1","1","1","1","6","4500","3","NA","2","2","2","2","1","1","5","2","1","NA","1500","818.55","60.42","1","1",,"2",1.5,,,,,
"2011","AT",853,"1","2011","6",6716,6135,0,0,,,,,,,,,0,0,0,0,0,,151,,0,0,0,,581,,"3","3","NA","1","1","1","1","1","1","1","2","2","2000","2","NA","2","2","2","2","4","3","4","1","1","300","1250","425.92","0","1","1",,"2",1.5,,,,,
"2011","AT",861,"1","2011","10",94939,93497,0,0,,,,,,,,,0,15422,31310,0,6716,,0,,0,0,0,,1442,,"3","3","NA","1","1","1","1","1","3","1","1","6","2000","2","NA","2","2","2","2","NA","4","6","2","1","NA","NA","195.5","1458.33","1","1",,"2",1.5,,,,,
"2011","AT",863,"2","2011","12",87563,85812,0,0,,,,,,,,,0,0,0,0,0,,353,,0,0,0,,1751,,"NA","3","NA","1","1","1","1","1","1","1","1","4","1500","1","NA","2","2","2","2","4","2","6","2","1","916","1400","951.48","0","1","1",,"2",1.5,,,,,
"2011","AT",873,"1","2011","13",166457,152109,0,0,,,,,,,,,0,0,0,0,0,,1438,,0,0,3137,,11212,,"NA","3","NA","1","1","1","1","1","1","1","1","5","2000","2","NA","2","2","2","2","4","1","5","2","1","NA","300","318.09","0","1","1",,"2",1.5,,,,,
"2011","AT",891,"1","2011","10",38447,29496,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,8951,,"3","3","NA","1","1","1","1","1","1","1","1","6","7000","3","NA","2","2","2","2","4","1","2","2","1","NA","3000","245.51","0","1","1",,"2",1.5,,,,,
"2011","AT",893,"2","2011","7",25113,21402,0,0,,,,,,,,,0,0,0,0,0,,282,,0,0,0,,3711,,"3","3","3","1","1","1","1","1","1","1","1","4","5000","2","NA","2","2","2","1","1","2","6","2","1","NA","2000","1237.97","0","1","1",,"2",1.5,,,,,
"2011","AT",896,"2","2011","8",42073,30106,0,0,,,,,,,,,0,0,0,0,0,,853,,0,0,0,,11968,,"3","3","NA","1","1","1","1","1","1","1","1","5","5000","3","NA","2","2","2","2","1","1","6","2","1","NA","2000","889.12","0","1","1",,"2",1.5,,,,,
"2011","AT",907,"2","2011","11",74726,63459,0,0,,,,,,,,,0,0,0,0,0,,75,,0,0,0,,11267,,"3","3","NA","1","1","1","1","1","1","1","1","4","1700","3","3","2","2","2","2","3","2","3","2","1","NA","1500","471.13","0","1","1",,"2",1.5,,,,,
"2011","AT",951,"2","2011","7",91776,91546,0,0,,,,,,,,,0,0,0,0,0,,402,,0,0,0,,230,,"NA","3","NA","1","1","1","1","1","1","1","1","5","1500","3","3","2","2","2","2","1","2","5","2","1","NA","NA","829.42","753.76","1","1",,"2",1.5,,,,,
"2011","AT",954,"1","2011","10",88804,72607,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,3541,,12656,,"3","3","NA","1","1","1","1","1","1","1","1","4","2500","2","NA","2","1","2","2","1","1","6","2","1","NA","1500","241.26","0","1","1",,"2",1.5,,,,,
"2011","AT",958,"2","2011","15",66382,54740,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,11642,,"NA","3","NA","1","1","1","1","1","1","1","1","4","3000","3","NA","2","2","2","2","3","1","3","2","1","1702","1500","317.48","0","1","1",,"2",1.5,,,,,
"2011","AT",960,"2","2011","11",40874,37825,0,0,,,,,,,,,0,0,0,0,0,,247,,0,0,176,,2874,,"3","3","3","1","1","1","1","1","1","1","1","3","2000","3","NA","2","2","2","2","4","4","4","2","1","1900","NA","644.84","0","1","1",,"2",1.5,,,,,
"2011","AT",965,"2","2011","7",24289,22783,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,282,,1224,,"3","3","3","1","1","1","1","1","1","1","1","6","3000","2","3","2","2","2","2","NA","2","3","2","1","600","800","195.5","0","1","1",,"2",1.5,,,,,
"2011","AT",967,"2","2011","10",53328,41222,0,0,,,,,,,,,0,3142,0,0,9417,,522,,0,0,0,,12106,,"3","3","3","1","1","1","1","1","1","1","1","6","4000","2","NA","2","2","2","2","1","1","4","2","1","NA","2000","780.21","416.67","1","1",,"2",1.5,,,,,
"2011","AT",969,"1","2011","8",67552,57197,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,10355,,"NA","3","NA","2","1","1","1","1","1","1","1","2","3000","3","NA","2","2","2","2","1","1","4","2","1","NA","900","241.26","0","1","1",,"2",1.5,,,,,
"2011","AT",986,"1","2011","8",50664,46287,0,0,,,,,,,,,0,0,0,0,0,,1902,,0,0,0,,4376,,"3","3","3","1","1","1","1","1","1","1","1","5","1550","1","3","2","2","2","2","1","1","4","2","1","2170","NA","699.76","0","1","1",,"2",1.5,,,,,
"2011","AT",997,"1","2011","6",36646,35310,0,0,,,,,,,,,0,0,0,0,0,,1019,,0,0,0,,1336,,"3","3","NA","1","1","1","1","1","1","1","1","6","2000","2","NA","2","2","2","2","NA","1","4","2","1","778","NA","536.26","0","1","1",,"2",1.5,,,,,
"2011","AT",1006,"2","2011","15",4626,-343,271,271,,,,,,,,,271,0,0,0,0,,225,,0,0,0,,4969,,"3","3","NA","1","1","1","1","1","1","1","2","4","1200","2","3","2","2","2","2","1","4","6","2","1","NA","NA","602.14","39.2","1","1",,"2",1.5,,,,,
"2011","AT",1016,"2","2011","13",23423,4076,412,412,,,,,,,,,412,0,0,0,0,,163,,0,0,0,,19347,,"NA","3","NA","1","1","1","1","3","1","1","1","2","1500","1","NA","2","2","2","2","1","4","6","2","1","550","900","951.48","447.22","1","1",,"2",1.3,,,,,
"2011","AT",1021,"2","2011","6",51304,23442,2578,2578,,,,,,,,,2578,0,0,0,0,,2143,,0,0,0,,27862,,"NA","3","3","1","1","1","1","1","1","1","1","4","1700","2","NA","2","2","2","2","2","1","3","2","1","NA","NA","462.32","0","1","1",,"2",1.5,,,,,
"2011","AT",1025,"1","2011","10",138674,-163889,3103,3103,,,,,,,,,3103,0,0,0,0,,2579,,0,0,0,,302562,,"NA","3","NA","1","1","1","1","1","1","1","1","6","2500","3","NA","2","2","2","2","1","2","5","2","1","NA","300","553.5","0","1","1",,"2",1.5,,,,,
"2011","AT",1031,"1","2011","14",25569,16457,0,0,,,,,,,,,0,0,0,0,0,,0,,0,0,0,,9113,,"3","3","NA","1","1","2","1","1","1","1","1","6","2000","2","2","1","1","2","2","1","4","4","1","1","1343","850","1012.19","0","1","1",,"2",1.5,,,,,
