"HB010","HB020","HB030","HB050","HB060","HB100","HY010","HY020","HY022","HY023","HY025","HY030N","HY081N","HY100N","HY131N","HY145N","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HS010","HS011","HS020","HS021","HS030","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH020","HH030","HH040","HH050","HH060","HH061","HH070","HH080","HH081","HH090","HH091","HD010","HD020","HD025","HD030","HD035","HD040","HD050","HD060","HD070","HD080","HD090","HD100","HD110","HD120","HD130","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD230","HD240","HD250","HD255","HD260","HD265","HX040","HX050","HX090","HX080","HX060","HX070","HX120","HX010"
"2009","AT",550,"3","2009","14",104471,97435,0,0,,,,,,,,0,0,0,0,0,,895,,0,0,0,,7036,"NA","NA","NA","3","NA","3","2","1","1","1","1","1","1","1","5","600","3","3","2","2","1","2","1","1","4","2","1","NA","1500","1040.23","1","NA","1","NA","1","2","NA","2","200","4","4","1","3","1","3","NA","NA","NA","1","NA","NA","NA","1","NA","1","NA","NA","NA","1","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",552,"3","2009","15",16023,5568,0,0,,,,,,,,0,0,0,3235,0,,0,,0,0,0,,10456,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","NA","3","3","2","1","2","2","2","1","3","2","1","NA","2000","267.24","1","NA","1","NA","1","2","NA","2","170","4","4","4","3","1","1","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",563,"4","2009","30",30068,23383,0,0,,,,,,,,0,0,0,0,3987,,172,,0,0,0,,6685,"NA","3","NA","3","NA","NA","2","1","2","1","1","1","1","1","4","2500","1","NA","2","2","2","2","1","1","6","2","1","NA","600","977.2","1","NA","1","NA","1","2","NA","2","180","3","2","4","4","3","3","NA","NA","NA","NA","1","NA","NA","NA","1","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",569,"3","2009","25",62301,49112,0,0,,,,,,,,0,0,0,0,0,,92,,0,0,0,,13189,"NA","3","NA","3","NA","NA","1","1","1","1","1","3","1","1","2","800","3","NA","2","2","2","2","3","4","4","2","1","NA","1000","327","1","NA","1","NA","1","2","NA","2","92","4","4","4","3","1","1","NA","NA","NA","NA","NA","NA","1","1","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",576,"3","2009","20",123196,108352,0,0,,,,,,,,0,21899,0,0,44368,,3688,,0,0,0,,14844,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","1000","3","2","2","2","2","2","1","1","6","2","1","NA","700","229.33","1","NA","1","NA","1","2","NA","2","117","4","4","1","2","1","3","NA","NA","1","1","NA","NA","NA","NA","NA","1","1","1","1","1","1","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",581,"2","2009","14",68913,58278,0,0,,,,,,,,0,0,0,0,0,,656,,0,0,0,,10635,"NA","NA","NA","3","NA","3","1","1","1","1","1","1","1","1","5","2500","2","NA","2","2","2","2","2","1","4","2","1","NA","1500","373.88","1","NA","1","NA","1","2","NA","2","130","1","4","4","4","1","1","NA","NA","1","NA","1","1","NA","NA","NA","1","1","NA","1","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",596,"3","2009","10",31199,24091,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,7107,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","5000","2","NA","2","2","2","1","1","1","4","2","1","NA","NA","713.98","1","NA","1","NA","1","2","NA","2","180","2","4","2","3","1","1","NA","NA","NA","NA","NA","NA","1","NA","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",609,"2","2009","12",57453,46047,0,0,,,,,,,,0,1288,0,0,779,,0,,0,0,0,,11405,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","3","3","1500","2","NA","2","2","2","2","2","3","6","2","1","290","500","692.9","1","NA","1","NA","1","2","NA","1","200","4","3","4","2","1","1","1","NA","3","1","NA","1","NA","NA","3","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",614,"2","2009","7",61991,57111,0,0,,,,,,,,0,3047,0,0,4932,,105,,0,0,0,,4880,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","2","4","3000","3","3","2","2","2","2","4","1","4","2","1","NA","900","458.67","1","NA","1","NA","1","2","NA","2","100","4","4","1","3","1","1","NA","1","NA","NA","NA","1","1","1","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",624,"3","2009","50",29689,24586,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,5103,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","2200","1","NA","2","2","2","2","1","3","3","2","1","NA","600","977.2","1","NA","1","NA","1","2","NA","2","104","4","4","4","3","1","1","NA","NA","NA","1","1","1","NA","NA","NA","1","1","NA","NA","NA","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",627,"2","2009","15",50029,37394,0,0,,,,,,,,0,0,0,0,0,,13,,0,0,0,,12635,"NA","NA","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","2000","3","NA","2","2","1","1","3","1","6","2","1","NA","NA","1496.82","1","NA","1","NA","1","2","NA","2","160","4","4","4","2","1","1","1","NA","1","NA","NA","NA","NA","NA","NA","NA","1","1","1","NA","NA","NA","NA","NA","NA","2",1.3,,,,,,
"2009","AT",634,"2","2009","11",57417,29594,0,0,,,,,,,,0,1961,0,0,3173,,68,,0,0,0,,27823,"NA","3","NA","3","NA","3","1","1","1","1","1","1","1","1","5","2200","2","NA","2","1","2","2","1","1","6","2","1","418","800","578.6","1","NA","1","NA","1","1","NA","2","100","4","4","4","3","2","1","NA","1","NA","NA","NA","1","NA","NA","1","NA","NA","NA","1","1","1","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",640,"3","2009","10",18126,18062,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,63,"NA","NA","NA","3","NA","NA","2","1","1","1","1","1","1","1","4","2200","3","NA","2","2","2","1","3","2","6","1","1","NA","NA","1377.2","1","NA","1","NA","1","2","NA","2","180","4","3","4","4","1","1","1","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",663,"2","2009","20",32755,32153,0,0,,,,,,,,0,0,0,0,0,,29,,0,0,0,,602,"NA","3","NA","3","NA","NA","1","1","1","1","1","3","1","1","4","2000","2","NA","2","2","2","1","1","2","5","1","1","NA","250","399.82","1","NA","1","NA","1","2","NA","2","95","4","4","NA","3","3","1","3","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","2",1.5,,,,,,
"2009","AT",694,"3","2009","9",59484,44564,0,0,,,,,,,,0,0,0,0,0,,0,,0,0,0,,14920,"NA","3","NA","3","NA","NA","1","1","1","1","1","1","1","1","6","600","3","NA","2","2","2","2","1","1","6","2","1","NA","700","530.18","1","NA","1","NA","1","2","NA","2","130","4","4","4","4","3","1","1","NA","NA","NA","1","NA","NA","NA","NA","NA","NA","NA","NA","1","NA","NA","NA","NA","NA","2",1.5,,,,,,
