"HB010","HB020","HB030","HB050","HB060","HB100","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HY010","HY020","HY022","HY023","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HD080","HD100","HD110","HD120","HD140","HD150","HD160","HD170","HD180","HD190","HD200","HD210","HD220","HD240"
"2013","AT",15844,"4","2013","7","3","3",,"2","1","2","1","1","1","1","1","3","4500","2",,"2","2","2","2","1","4","5","2","1",,"1155","229.87","372.831666666667","1","1",39648,27431,27431,27431,0,0,0,0,0,0,0,1042,0,0,0,0,0,12218,,,,,,,,,"2",,,,,
"2013","AT",17377,"6","2013","10","3","3","3","1","2","1","1","1","2","1","1","5","300","2",,"2","2","2","2","4","3","1","2","1",,"850","531.14",,"1","1",9024,9004,9004,66,0,0,0,0,0,0,0,86,0,0,0,0,0,20,,,,,,,,,,,"1",,,
"2013","AT",17998,"3","2013","24","3","3",,"1","1","1","1","1","1","1","1","1","1500","2","2","2","2","2","2","4","1","3","2","1",,,"311.7",,"1","1",5484,4815,4815,-483,5133,0,0,0,0,0,6000,186,0,0,0,0,0,669,,,,,,,,,,,"1",,,
"2013","AT",18499,"5","2013","8",,"3",,"2","1","2","1","1","1","1","1","4","500","3",,"2","2","2","2","4","2","4","2","1",,"600","607.57",,"1","1",24819,22205,22205,22205,4881,0,0,0,0,0,0,24819,5267,0,0,0,0,2614,,,,,,,,,,,,"1",,
"2013","AT",18927,"6","2013","17","3","3",,"1","1","1","1","1","1","1","1","6","3000","2","2","2","1","2","1","4","1","5","2","1",,,"491.09","809.524166666667","1","1",49960,47908,38879,-2052,3752,0,0,0,9028,0,0,0,0,0,0,0,0,2052,,,,,,,,,,,"2","1",,
"2013","AT",20111,"7","2013","19",,"3",,"1","1","1","1","1","1","1","1","4","1526","2",,"2","2","2","1","4","1","5","1","1","480",,"282.04",,"1","1",65107,53278,53278,53278,3502,0,0,0,0,0,0,1709,0,0,0,0,0,11829,,,,,,,,,,,,"1",,
"2013","AT",21084,"4","2013","7","3","3",,"2","1","1","1","1","3","1","1","5","550","2",,"2","2","2","2","1","1","1","2","1","407",,"238.51","865.2575","1","1",22180,21125,21125,689,0,0,0,0,0,0,0,1744,0,0,0,0,3600,1055,,,,,,,,,,,,,,
"2013","AT",21236,"4","2013","11",,"3","3","1","2","1","1","1","3","1","3","2","1000","1","2","2","2","2","2","3","2","3","2","1",,"600","643.42",,"1","1",12874,11863,-1007,-1007,0,4,0,0,0,0,0,0,0,0,0,0,0,1012,,,,,,,"1",,,"1",,,,
"2013","AT",21401,"5","2013","31",,"3",,"1","1","1","1","1","1","1","1","4","4500","2",,"2","2","2","2","4","3","5","2","1","410",,"253.73",,"1","1",8301,1701,1701,1701,4039,0,0,0,0,0,0,1862,0,0,0,0,0,6599,,,,,,,,,,,,,,
"2013","AT",21883,"6","2013","15","3","3",,"1","1","1","1","1","3","1","3","3","900","3",,"2","2","2","1","4","5","3","1","1","165","700","561.78",,"1","1",70662,59326,59326,59326,1175,55,0,0,0,0,0,7,0,0,0,0,0,11336,,,,,,,,,,,,,,
"2013","AT",22570,"5","2013","26",,"3",,"1","1","2","1","2","1","1","3","5","1300","2",,"2","2","2","2","3","1","4","2","1",,,"396.83",,"1","1",13950,4921,4921,-8964,0,0,0,0,0,0,0,65,0,0,0,0,0,9028,,,,,,,,,"3",,,,,
"2013","AT",23226,"4","2013","13","3","3",,"2","1","1","1","1","3","1","1","2","1500","2",,"2","1","2","2","4","4","3","2","1","410","500","447.89",,"1","1",22164,14813,14813,-7243,7629,0,0,0,0,0,0,109,0,0,0,0,0,7352,,,,,,,"1",,,,,"1",,
"2013","AT",23412,"4","2013","12",,"3",,"1","1","1","1","1","1","1","3","5","2000","2",,"2","2","2","1","1","4","5","2","1",,"2000","837.83",,"1","1",18699,3484,3484,3484,3022,0,0,0,0,0,0,715,0,0,0,0,0,15215,,,,,,,,,,,,,,
"2013","AT",23809,"4","2013","12","3","3",,"1","1","1","1","1","3","1","3","1","1000","1",,"2","2","1","2","3","4","2","2","2","270","750","540.69",,"1","1",19580,16571,16571,4397,7015,0,0,0,0,0,0,7,0,0,0,453,0,2557,,,,,,,,,"1",,,,,
"2013","AT",24637,"5","2013","14","3","3",,"1","1","1","1","1","1","1","3","3","1250","2",,"2","2","2","2","4","1","3","2","1",,"700","38.13",,"1","1",27776,22074,22074,-5697,0,0,0,0,0,0,0,6,1027,0,0,0,0,5703,,,,,,,,,,,,"1",,
"2013","AT",25393,"7","2013","45","3","3",,"1","1","1","1","1","3","1","3","3",,"3",,"2","2","2","2","5","2","2","1","1","228","700","475.07",,"1","1",35193,24480,-8907,-8907,5394,0,0,0,0,0,0,139,0,0,0,0,0,10713,,,,,,,,,"1","1","1",,,
"2013","AT",25826,"3","2013","22","3","3",,"1","1","1","1","1","1","1","1","4","2500","3",,"2","2","2","2","1","1","2","2","1",,"600","259.77",,"1","1",44034,20821,20821,20821,5653,0,0,0,0,0,0,86,2700,0,0,3496,3600,19717,,,,,,,,,,"3","1",,,
"2013","AT",26070,"5","2013","14",,"3",,"1","1","1","1","1","1","1","1","2","1000","2",,"2","2","2","2","4","2","2","2","1",,"850","330.55",,"1","1",13756,12652,12652,-1028,3399,0,0,0,0,0,10080,76,0,0,0,546,0,558,,,,,,,,,,,,,,
"2013","AT",26141,"5","2013","10",,"3",,"1","1","1","1","1","1","1","1","4","3000","1",,"2","2","2","2","1","2","4","2","1",,,"478.49",,"1","1",46805,24945,24945,-20155,0,0,0,0,0,0,0,1704,0,0,0,0,0,21860,,,,,,,,,,,,,,
"2013","AT",26765,"3","2013","13",,"3",,"1","1","1","1","1","1","1","2","4","3420","2",,"2","1","2","2","4","1","1","2","1",,"700","870.54",,"1","1",27014,16330,16330,16330,3898,0,0,0,0,0,0,1935,0,0,0,0,0,10684,,,,,,,,,,,"1",,,
"2013","AT",27192,"3","2013","10","3","3",,"1","1","2","1","1","1","1","1","2","1200","1",,"2","2","2","2","4","1","1","2","1",,"200","569.45","360.910833333333","1","1",22504,21517,21517,-986,0,0,0,0,0,0,9072,0,0,0,0,0,0,986,,,,,,,,,,,,,,
"2013","AT",28439,"5","2013","11",,"3","3","1","1","2","1","1","1","1","1","4","5000","2",,"2","2","2","2","1","3","3","2","1","320",,"438.17",,"1","1",45076,42010,42010,-2198,6811,0,0,0,0,0,0,869,0,0,0,0,0,3067,,,,,,,,,"2",,,,,
"2013","AT",28534,"3","2013","17",,"3",,"1","1","2","1","1","1","3","1","5","1000","2",,"2","2","2","2","1","5","3","2","1",,"1500","218.53",,"1","1",36154,20996,20996,20996,0,0,0,0,0,0,9696,106,0,0,0,0,0,15158,,,,,,,,,,,,,,
"2013","AT",28568,"3","2013","13",,"3",,"1","1","1","1","3","3","1","1","3","1500","2",,"2","2","2","2","1","4","1","2","1","261","700","243.81",,"1","1",14568,-6477,-6477,-6477,6195,0,0,0,0,0,0,90,0,0,0,4920,0,16124,,,,,,,,,"1",,"1",,,
"2013","AT",29308,"4","2013","14","3","3",,"2","1","1","1","1","3","3","3","6","1200","2",,"2","2","2","2","2","4","4","1","1","344","1000","316.53",,"1","1",21321,12925,12925,-8391,467,0,0,0,0,0,0,5,0,0,0,0,6060,8396,,,,,,,"1",,,"1",,,,
"2013","AT",29865,"4","2013","18",,"3",,"1","1","2","1","1","2","1","1","4","1000","1",,"2","2","1","2","2","3","4","1","1",,,"524.27",,"1","1",8629,7381,6601,-1249,6345,0,0,0,7,0,0,0,2700,0,0,0,0,1249,,,,,,,,,,,,"1",,
"2013","AT",30569,"6","2013","7",,"3",,"2","1","2","1","1","1","1","1","5","2000","1",,"2","2","2","2","4","1","7","2","1","350","1500","276.44",,"1","1",34944,30075,30075,30075,3855,0,0,0,0,0,0,26378,0,0,0,0,0,4868,,,,,,,,,"1",,,,,
"2013","AT",31441,"5","2013","17","3","3",,"2","1","1","1","1","1","1","1","3","1900","3",,"2","1","2","2","1","4","2","2","1",,"500","615.89",,"1","1",35001,22063,22063,-12937,0,0,0,0,0,0,0,0,0,0,0,0,0,12937,,,,,,,"1",,"1",,,,,
"2013","AT",31563,"3","2013","19","3","3",,"1","1","1","1","1","1","1","1","4","3000","1",,"2","2","2","2","1","1","3","2","1","670",,"763.34",,"1","1",11900,4220,4220,-7613,250,0,0,0,0,0,0,67,1300,0,0,0,0,7680,,,,,,,"2",,"1","1",,,,
"2013","AT",31782,"4","2013","12","3","3",,"1","2","1","1","1","1","1","3","4","1000","3",,"2","2","2","2","1","3","1","2","2","155",,"594.22",,"1","1",18551,10165,10165,5446,3559,0,0,0,0,0,0,9,0,0,0,0,0,8386,,,,,,,,,,,"1",,,
"2013","AT",32545,"3","2013","12","3","3",,"1","1","2","1","1","3","1","3","3","500","2",,"2","2","2","2","4","1","1","2","1",,"1200","679.06",,"1","3",40738,28543,28543,28543,245,22,0,0,0,0,0,4,0,0,0,0,0,12196,,,,,,,,,,,,,,
"2013","AT",32684,"6","2013","12","3","3",,"2","1","2","1","1","3","1","1","3","2500","2",,"2","2","2","1","3","5","2","1","1",,,"678.66",,"1","1",31113,7621,7621,7621,4913,0,0,0,0,0,0,68,0,0,0,0,0,23492,,,,,,,,,,,"1",,,
"2013","AT",34043,"6","2013","20","3","3",,"1","1","1","1","1","1","1","1","4",,"2",,"2","2","2","2","1","3","4","2","1",,,"614.71",,"1","1",54293,33230,33230,33230,2881,0,0,0,0,0,0,133,0,0,0,0,0,21063,,,,,,,"1",,,,,,,
"2013","AT",34311,"4","2013","9",,"3",,"1","1","1","1","1","1","1","3","5","800","3",,"2","2","2","2","1","3","5","2","1",,,"602.1",,"1","1",52919,39437,39437,39437,6406,0,0,0,0,0,0,642,0,0,0,0,0,13482,,,,,,,,,,,,,,
"2013","AT",34886,"6","2013","13",,"3",,"1","2","2","1","1","1","1","3","4","1400","2","2","2","1","2","2","3","1","10","2","1","480","1200","421.75",,"1","1",41961,28136,16725,718,5462,0,0,0,0,0,0,19,0,0,0,0,0,13824,,,,,,,,,,,,,,
"2013","AT",35373,"3","2013","10","3","3",,"2","1","1","1","1","1","1","1","3","1000","2",,"2","2","2","1","1","3","5","2","1",,,"458",,"1","1",43057,31325,31325,-11690,0,0,0,0,0,0,0,3,0,0,0,0,0,11732,,,,,,,,,,"1","1","1",,
"2013","AT",36781,"3","2013","27","3","3",,"1","1","1","1","1","1","1","1","6","2500","2",,"2","2","2","2","3","1","3","2","1","327",,"493.11",,"1","1",36225,23253,22412,22412,6070,0,0,0,0,0,0,1942,0,0,0,0,0,12972,,,,,,,"1",,,,,,,
"2013","AT",37048,"4","2013","12","3","3",,"1","1","1","1","1","1","3","3","4","1500","2",,"2","2","2","2","1","1","3","2","1","405","400","433.24","60","1","1",49105,41971,41971,41971,4401,0,0,0,0,0,0,83,781,0,0,0,0,7133,,,,,,,,,,,,,,
"2013","AT",38118,"6","2013","12","3","3",,"1","1","1","1","1","3","3","2","1","2000","3",,"1","2","2","2","1","5","2","1","1","830","800","669.08",,"1","1",44726,36265,1127,-4189,5263,0,0,0,0,0,0,1754,0,0,0,0,0,8461,,,,,,,,,,,,,,
"2013","AT",39021,"4","2013","16","3","3",,"1","1","1","1","1","1","1","1","4","3000","2",,"1","2","2","2","4","2","3","2","1",,"850","327.07",,"1","1",44876,42290,42290,32062,4657,0,0,0,0,0,0,3028,167,0,0,0,0,2586,,,,,,,,,,,"1",,,
"2013","AT",39041,"5","2013","7",,"3",,"1","1","1","1","1","1","1","2","1","805","2",,"2","2","2","2","4","2","1","2","1","500","600","384.49",,"1","1",48158,36019,36019,-12139,0,0,0,0,0,0,0,0,1240,0,0,0,0,12139,,,,,,,,,,,"1",,,
"2013","AT",39545,"6","2013","22",,"2","3","1","1","1","1","1","1","1","3","5","800","2","2","2","2","2","2","1","1","2","2","1",,,"507.99",,"1","1",29837,5543,-3197,-24288,0,0,0,0,0,0,0,6,0,0,0,0,0,24294,,,,,,,,,,,,,,
"2013","AT",39586,"4","2013","10","3","3","3","1","1","2","1","1","3","1","1","4","1500","2",,"2","2","2","2","4","2","2","2","1",,"600","485.65",,"1","1",25955,18604,18604,18604,5540,1732,0,0,0,0,0,0,859,0,0,0,0,7351,,,,,,,,,,,,,,
"2013","AT",40666,"5","2013","7",,"3",,"1","1","1","1","1","1","1","1","5","1500","3",,"2","2","2","2","2","1","2","2","1","600","700","513.92",,"1","1",24948,12240,12240,-11849,3269,0,0,0,0,0,0,860,0,0,0,0,0,12708,,,,,,,,,"1",,"1",,,
"2013","AT",40714,"4","2013","11","3","3",,"1","1","2","1","1","1","1","1","5","1500","1",,"2","2","2","2","1","1","2","1","1",,,"623.91",,"1","1",31871,25784,4308,-471,5953,0,0,0,0,0,0,60,0,0,0,0,0,6087,,,,,,,,,"1",,,,,
"2013","AT",40921,"2","2013","11","3","1","3","1","1","2","1","1","1","1","1","5","700","3",,"2","2","1","2","4","4","3","2","1",,"1500","387.06",,"1","1",123734,106600,106600,106600,2520,0,0,0,0,0,0,902,0,0,0,0,0,17134,,,,,,,,,,,"1",,,
"2013","AT",41724,"3","2013","11",,"3",,"1","1","2","1","1","3","1","1","4","2600","2",,"2","2","2","2","1","4","3","2","1","530","1800","281.91",,"1","1",8,-13883,-13883,-13883,5320,0,0,0,0,0,0,8,171,0,0,0,0,13891,,,,,,,,,,"1",,,,
"2013","AT",41906,"5","2013","14","3","3",,"1","1","1","1","1","3","1","1","3","1500","2",,"2","1","2","1","1","5","2","2","1",,"700","447.89",,"1","1",35593,22929,22929,-4658,0,0,0,0,0,0,0,144,140,0,0,0,0,12664,,,,,,,,,,,,,,
"2013","AT",42543,"6","2013","11","3","3",,"1","1","1","1","1","1","1","1","3","4500","3",,"2","1","2","2","4","1","3","2","1","265",,"373.25",,"1","1",35442,17976,17976,-9080,5273,0,0,0,0,0,0,199,0,0,0,0,0,17466,,,,,,,"1",,,,"1",,,
"2013","AT",42580,"4","2013","10","3","3",,"1","1","1","1","1","1","1","1","5","800","3",,"2","2","2","2","4","1","1","1","1",,"100","761.19",,"1","1",72663,56635,56635,56635,648,0,0,0,0,0,0,874,0,0,0,0,0,16028,,,,,,,,,,,"1",,,
"2013","AT",42694,"3","2013","20",,"3",,"1","2","1","1","1","1","1","3","3","500","3",,"2","2","2","2","1","4","3","2","2",,,"314.12","761.634166666667","1","1",48271,39875,39875,-5715,8534,0,0,0,0,0,0,3,0,0,0,0,0,8397,,,,,,,,,,"1",,,,
"2013","AT",42905,"5","2013","9",,"3",,"1","1","1","1","1","1","3","1","5","800","1",,"2","2","2","2","3","1","5","2","1",,,"344.17",,"1","1",69500,67360,67360,44080,2826,0,0,0,0,8,0,0,0,0,0,535,0,1605,,,,,,,,,,,,,,
"2013","AT",42906,"4","2013","24","1","2",,"1","1","1","1","1","1","1","1","5","1300","2",,"2","2","2","2","4","1","2","2","1","365",,"560.03",,"1","1",39393,26860,26860,-12525,3557,0,0,0,0,9,0,0,48,0,0,0,0,12534,,,,,,,,,,,,,,
"2013","AT",44306,"4","2013","15","3","3",,"2","1","1","1","1","1","1","1","5","1500","3",,"2","2","1","2","1","5","4","2","1",,,"713.36",,"1","1",61690,-47897,-47897,-109503,2837,0,0,0,0,0,0,84,0,0,0,0,0,109588,,,,,,,,,"1","1",,,,
"2013","AT",44488,"4","2013","9","3","1",,"1","2","1","1","1","1","2","1","5","1500","2",,"2","1","2","2","3","1","1","2","1","498","1000","396.2",,"1","1",44888,40568,38075,38075,2828,0,0,0,0,0,0,212,781,0,0,0,2760,4320,,,,,,,"1",,,,,"1",,
"2013","AT",44520,"6","2013","13","2","3",,"1","1","2","1","1","3","1","1","3","1900","2",,"2","2","2","2","3","3","3","2","1","600","500","346.88",,"1","1",21463,18767,18767,-4,0,0,0,0,0,0,0,30,230,0,0,0,0,2696,,,,,,,,,,,,,,
"2013","AT",45225,"4","2013","13","3","3",,"1","1","2","1","1","1","3","1","4","800","2","2","2","1","2","1","1","2","3","2","1","773","1100","418.51",,"1","1",55790,52798,-348,-348,4929,0,0,0,0,0,0,2644,1744,0,0,0,0,2992,,,,,,,,,,,,,,
"2013","AT",45270,"6","2013","14","3","3",,"1","1","1","1","1","1","1","1","3","2000","2",,"2","2","1","2","4","1","3","2","1",,"600","716.61",,"1","1",37344,18066,18066,-17138,0,2107,0,0,0,0,0,34,0,0,0,0,0,19278,,,,,,,,,,,"1",,,
"2013","AT",47563,"4","2013","12","3","3","3","1","1","1","1","1","1","1","3","4","1000","2","1","2","2","2","2","1","3","3","2","1",,,"431.65",,"1","1",44267,41360,40178,3694,0,0,0,0,0,0,0,1,0,0,0,0,0,2908,,,,,,,"1",,,,,,,
"2013","AT",47694,"3","2013","11",,"3",,"1","1","1","1","1","3","1","1","5","1100","2",,"2","2","2","2","1","1","2","2","1","400","500","513.07",,"1","1",64296,47804,47796,13841,409,0,4,4,0,0,0,0,0,0,0,0,0,16491,,,,,,,"1",,,,,,,
"2013","AT",47718,"5","2013","16","1","3","1","1","1","1","1","3","1","1","1","2","1400","1",,"2","2","2","2","1","1","1","2","1",,"1000","672.1",,"1","1",70721,49092,49092,49092,2353,0,0,0,0,0,0,0,0,0,0,0,0,21629,,,,,,,"1",,,,,,,
"2013","AT",48506,"5","2013","17","3","3",,"1","1","1","1","1","1","1","1","4","2200","2","3","2","2","2","2","1","1","3","2","1",,"500","780.16",,"1","1",68065,10901,8839,8839,0,0,1031,1029,2,0,0,0,0,0,0,0,0,57163,,,,,,,"1",,,,,,,
"2013","AT",48824,"3","2013","12","3","3",,"1","1","2","1","1","3","1","1","2","2500","2",,"2","1","2","2","5","1","4","2","1",,"900","218.53",,"1","1",39208,30292,30292,-716,5989,0,0,0,0,0,0,92,0,0,0,0,0,8917,,,,,,,,,,,,,,
"2013","AT",49195,"4","2013","13","3","3",,"1","1","2","1","1","3","1","1","4","2600","2",,"2","2","2","1","4","1","3","1","1","350","800","867.73",,"1","1",76432,64698,64612,-5496,1393,0,86,0,0,0,0,0,0,0,0,0,0,11735,,,,,,,,,,,,,,
"2013","AT",49893,"5","2013","10",,"3",,"2","2","1","1","1","1","1","3","4","1000","3","2","2","1","2","2","1","1","2","2","1",,"650","703.65","291.666666666667","1","1",61460,15628,15628,15628,4514,0,0,0,0,0,0,1942,0,0,0,0,0,45833,,,,,,,,,,"1",,,,
"2013","AT",50071,"5","2013","13","3","3",,"1","1","1","1","1","1","1","1","5","3000","2",,"2","2","2","2","4","1","2","2","1",,,"707.95",,"1","1",30448,21521,20498,2924,1175,0,0,0,0,0,0,17,0,0,0,0,0,8927,,,,,,,"1",,,,,,,
"2013","AT",50636,"3","2013","11",,"3",,"2","1","1","1","1","1","1","1","5","2000","2","3","2","2","2","1","4","1","2","2","1",,"450","453.24","133.333333333333","1","1",86414,74790,44411,24548,0,0,0,0,0,0,0,222,0,0,0,0,0,11623,,,,,,,,,,,"1",,,
"2013","AT",52303,"5","2013","10","3","3",,"1","1","1","1","1","1","1","1","2","750","2",,"2","2","2","2","1","3","3","1","1",,"400","378.15",,"1","1",52866,48137,48137,-2206,6016,2483,0,0,0,0,0,40,0,0,0,0,0,4729,,,,,,,,,,,,,,
"2013","AT",52578,"6","2013","19",,"3",,"2","1","2","1","1","1","1","1","2","500","3",,"2","2","2","1","4","3","3","2","1","510","550","599.22",,"1","1",35981,-7079,-7079,-43059,5914,0,0,0,0,0,0,1,0,0,0,0,0,43060,,,,,,,"1",,,,,,,
"2013","AT",52695,"5","2013","18","3","3",,"1","1","1","1","1","1","1","3","5","850","1","2","2","2","2","2","1","3","2","2","1",,,"654.47",,"1","1",52886,50207,50207,-2588,6369,0,0,0,0,0,0,92,0,0,0,0,0,2679,,,,,,,,,,,"1",,,
"2013","AT",53420,"3","2013","19","3","3",,"1","1","1","1","1","1","1","1","4","2500","2","3","2","2","2","2","4","1","6","2","1",,"1400","774.14",,"1","1",42940,37838,32848,32848,7242,0,0,0,0,0,0,6007,0,0,0,418,0,4684,,,,,,,,,,"1",,"1",,
"2013","AT",53661,"4","2013","17","1","3",,"1","1","1","1","1","1","1","1","5","1000","2",,"2","2","2","2","3","2","5","2","1","140",,"609.78","567.3125","1","1",25380,23256,23256,-1303,4767,0,0,0,0,0,0,2,0,0,0,0,0,2124,,,,,,,,,"2",,,,,
"2013","AT",53663,"4","2013","18","3","3","3","1","1","1","1","1","1","1","1","5","1300","1",,"2","1","2","2","1","4","4","2","1","681","850","459.67",,"1","1",2524,282,282,282,3921,0,0,0,0,0,0,2524,408,0,0,0,0,2242,,,,,,,,,,"1","1",,,
"2013","AT",53773,"6","2013","11","3","3","3","1","1","1","1","1","3","1","1","6","1500","2",,"2","2","2","2","4","2","3","2","1",,"600","398.65",,"1","1",23455,2722,2718,-18132,0,0,4,0,0,0,0,0,0,0,0,0,0,20733,,,,,,,,,,,,,,
