"HB010","HB020","HB030","HB050","HB060","HB100","HS011","HS021","HS031","HS040","HS050","HS060","HS070","HS080","HS090","HS100","HS110","HS120","HS130","HS140","HS150","HS160","HS170","HS180","HS190","HH010","HH021","HH030","HH040","HH050","HH060","HH061","HH070","HH071","HH081","HH091","HY010","HY020","HY022","HY023","HY025","HY030G","HY040G","HY050G","HY060G","HY070G","HY080G","HY081G","HY090G","HY100G","HY110G","HY120G","HY130G","HY131G","HY140G","HC010","HC020","HC030","HC040","HC050","HC060","HC070","HC080","HC090","HC100","HC110","HC120","HC130","HC140","HC150","HC160"
"2012","AT",18378,"3","2012","25",,"3",,"1","1","2","1","1","1","1","3","3","2500","3",,"2","2","2","2","3","4","1","2","1","266",,"311.36",,"1","1",21771,16101,16092,16092,1,6361,0,10,0,0,0,0,0,4308,0,0,4829,0,841,"2","72","1","1","1","1","2","4","4","2","4","3","3","4","3",
"2012","AT",18803,"5","2012","17","3","3",,"2","1","1","1","1","1","1","3","4","1100","3",,"2","2","2","2","4","5","3","2","1","180",,"379.5",,"1","1",19340,-846,-846,-846,1,5382,0,0,0,0,0,0,8,0,0,0,0,0,20186,"2","92","1","1","2","1","1","2","4","3","3","4","3",,"3",
"2012","AT",19980,"5","2012","12","3","3","3","2","1","1","1","1","1","1","2","3","1800","3",,"2","2","2","2","1","1","6","2","1",,,"422.27",,"1","1",58492,24875,24875,24875,1,4304,0,0,0,0,0,0,100,0,0,0,0,0,33618,"2","75","1","1","1","1","1","4","4","2","2","3","4",,"3",
"2012","AT",20947,"8","2012","12","3","3",,"1","1","1","1","1","1","1","1","6","2000","2",,"2","2","1","2","1","3","5","2","1",,,"510.02","666.666666666667","1","1",23425,17692,17692,17692,1,907,0,0,0,0,0,0,1004,0,0,0,0,0,5732,"1","71","1","1","1","1","1","3","4","3","4","3","4","3","3",
"2012","AT",21098,"5","2012","19",,"3",,"2","1","2","1","3","3","1","1","4","500","2",,"2","2","2","2","4","1","1","2","1","990",,"23.71",,"1","1",19550,16008,16002,-3542,1,6642,0,0,5,0,0,0,0,1040,0,0,0,0,3542,"2","100","1","1","1","1","1","4","4","3","3","2","4",,"3",
"2012","AT",21262,"4","2012","15",,"3",,"2","1","1","1","1","1","1","1","5","1100","2",,"2","2","2","2","4","3","1","2","1","250",,"501.56",,"1","1",18057,17914,17914,-139,1,0,0,0,0,0,0,0,3,1840,0,0,0,0,142,"2","72","1","1","1","1","2","4","3","1","4","3","4",,"3",
"2012","AT",21740,"4","2012","14",,"3",,"2","1","1","1","1","1","1","1","3","1800","1","2","1","1","2","1","4","4","4","2","1","250",,"253.99",,"1","3",13596,6432,6432,6432,1,3461,0,0,0,0,0,0,10,0,0,0,0,0,7164,"2","100","1","1","1","1","2","3","4","2","3","4","2",,"3",
"2012","AT",22423,"5","2012","14","3","2",,"2","1","1","1","3","1","1","1","4","2000","1",,"2","2","2","2","4","3","5","2","1",,,"284.16",,"1","1",14265,2267,2267,2267,1,2642,0,0,0,0,0,0,58,0,0,0,0,18600,11998,"2","160","1","1","1","1","1","4","2","3","4","4","4",,"3",
"2012","AT",23075,"4","2012","12","3","3",,"1","1","2","1","1","1","1","1","2","2100","2",,"2","2","1","2","1","3","2","2","1",,"900","295.92","388.889166666667","1","1",34568,28067,28067,28067,1,4976,0,0,0,0,0,0,3,2877,0,0,0,2700,6501,"2","70","1","1","1","1","1","3","4","3","4","4","4",,"3",
"2012","AT",23259,"5","2012","20",,"3",,"2","2","1","1","1","3","1","1","3","1200","2",,"2","2","2","2","1","3","3","2","1","360","600","147.31",,"1","1",18476,12304,12215,-6171,1,5106,0,0,89,0,0,0,0,0,0,0,897,0,5274,"2","130","1","1","2","1","1","3","4","3","3","2","1",,"3",
"2012","AT",23654,"5","2012","16",,"3",,"1","2","1","1","1","1","1","1","5","800","2",,"2","2","2","2","1","5","1","2","1","362","500","373.16",,"1","1",24260,9588,9588,9588,1,4121,0,0,0,0,0,0,196,0,0,0,3506,0,11165,"2","90","1","1","1","1","2","3","4","1","3","1","4","2","3",
"2012","AT",24477,"5","2012","16","3","3","3","1","1","1","1","1","1","1","1","5","1200","3",,"2","2","2","2","3","2","2","1","1","290","250","247.15",,"1","1",43383,42816,-561,-561,1,6031,0,0,0,0,0,0,7,0,0,0,0,0,567,"2","65","1","1","1","1","1","3","4","2","3","3","3",,"2",
"2012","AT",25227,"6","2012","13","3","3",,"1","1","2","1","1","2","1","1","3","900","3",,"1","2","1","2","3","3","3","2","1","350","250","387.71",,"1","1",45653,38659,35697,35697,1,4536,0,0,5,0,0,0,0,0,0,0,0,0,6995,"2","80","1","1","1","1","1","4","4","4","3","1","4","3","3",
"2012","AT",25657,"7","2012","23","3","3",,"2","1","1","1","1","1","1","3","4","1000","2",,"2","2","1","1","2","2","6","2","1",,"500","186.09",,"1","1",33281,28974,28974,28974,1,0,0,0,0,0,0,0,1938,1473,0,0,0,0,4307,"2","170","1","1","2","1","1","4","4","4","2","4","3",,"3",
"2012","AT",25900,"6","2012","19","3","3",,"1","1","1","1","1","2","1","1","1","1650","3",,"2","2","2","2","1","5","5","2","1","247","500","368.97","757.008333333333","1","1",23154,1491,-1035,-1035,1,3540,0,0,0,0,0,0,11,3400,0,0,0,0,21663,"2","59","1","1","1","1","1","4","4","4","1","4","3",,"3",
"2012","AT",25971,"5","2012","18",,"3",,"1","2","1","1","1","2","2","1","5","1700","2",,"2","2","2","1","4","5","3","2","1",,,"313.1","449.405","1","1",35644,8947,8947,8947,1,3112,0,0,0,0,0,0,4,195,0,0,0,0,26697,"1","180","2","1","1","2","1","3","4","3","3","2","2",,"3",
"2012","AT",26590,"6","2012","15","3","3","3","1","1","1","1","1","1","1","1","3","2700","3",,"2","2","2","2","1","4","5","2","1","540","600","266.22",,"1","1",38413,33253,33253,-5095,1,4432,0,0,0,0,0,0,65,0,0,0,0,0,5160,"2","51","1","1","1","1","1","4","4","3","4","4","4",,"3",
"2012","AT",27015,"4","2012","21","3","3","3","2","1","2","1","1","3","1","2","6","1200","2",,"2","2","1","2","4","1","3","2","1","279","500","347.13",,"1","1",35512,32536,32536,-2975,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2976,"1","65","1","1","1","1","1","3","4","3","3","4","3",,"3",
"2012","AT",28254,"4","2012","14","3","3",,"1","1","2","1","1","3","1","1","2","750","2","3","2","2","2","2","3","3","5","1","1",,,"158.72","337.8125","1","1",3,-7898,-7898,-7898,1,6930,2,0,0,0,0,0,1,1784,0,0,0,0,7901,"2","74","1","1","1","1","2","3","4","4","3","4","3","4","3",
"2012","AT",28347,"5","2012","24",,"1",,"1","1","1","1","1","3","1","1","1","1000","2",,"2","2","2","2","3","4","3","2","1",,"300","540.02",,"1","1",21372,14415,12129,12129,1,3018,0,0,0,0,0,0,264,146,0,0,0,0,6957,"2","80","2","1","1","1","1","4","3","4","3","1","4","3","3",
"2012","AT",28381,"5","2012","16",,"3",,"2","2","1","1","1","1","1","3","4","1200","3","3","2","1","2","2","4","3","2","2","1","201",,"825.58",,"1","1",35915,32865,32865,-3009,1,7266,0,0,0,0,0,0,41,1020,0,0,0,3600,3050,"2","144","1","1","1","1","2","4","4","3","3","3","3","3","3",
"2012","AT",29116,"3","2012","10",,"3","3","1","1","1","1","1","1","1","1","3","2500","1",,"2","2","2","2","3","1","5","2","1","276","900","570.47",,"1","1",18666,12070,4580,-6596,1,0,0,0,7490,0,0,0,0,0,0,0,1576,0,5020,"2","65","1","1","1","1","1","3","2","4","2","4","2",,"2",
"2012","AT",29670,"4","2012","18","3","3",,"1","1","1","1","1","3","1","1","3","1000","3",,"2","2","1","2","2","1","4","2","1",,"1100","311.8","111.420833333333","1","1",29773,26695,26618,-2896,1,0,0,0,0,0,0,0,182,0,0,0,447,0,2631,"2","25","1","1","2","1","1","3","3","4","4","3","3",,"3",
"2012","AT",30370,"4","2012","34","3","3",,"1","1","2","1","1","3","1","3","4","750","3",,"1","1","2","2","1","3","2","2","1","300",,"253.88",,"1","1",21562,11465,11465,11465,1,4888,0,0,0,0,0,0,5,0,0,0,0,0,10097,"2","74","1","1","1","1","1","3","4","2","4","4","2","4","3",
"2012","AT",31236,"3","2012","16",,"3","3","1","1","2","1","1","1","1","1","5","1300","2","1","2","2","2","2","1","3","3","2","1","305","700","323.85","406.25","1","1",56930,137,137,-12228,1,5511,0,0,0,0,0,0,94,104,0,0,0,0,56793,"2","220","1","1","1","1","1","4","4","2","3","2","1","3","3",
"2012","AT",31358,"6","2012","24","3","3","3","1","1","1","1","1","1","1","1","4","2000","2",,"2","2","2","2","4","2","5","2","2",,"1500","882.82","257.055833333333","1","1",58066,49077,49077,49077,1,1535,0,0,0,0,0,4800,6642,0,0,0,0,0,8989,"2","59","1","1","2","1","1","4","4","4","3","2","3",,"3",
"2012","AT",31575,"5","2012","7",,"3",,"2","1","1","1","1","1","1","1","4","1000","2","2","2","2","2","2","4","1","2","2","1",,,"498.07","284.139166666667","1","1",34427,32508,26326,11855,1,0,0,0,0,0,0,3636,2382,0,0,0,0,0,1919,"2","150","1","1","1","1","2","4","3","4","3","2","4",,"2",
"2012","AT",31851,"5","2012","12","3","3",,"1","1","1","1","1","1","1","1","6","1500","1",,"2","2","2","2","1","4","2","2","1","850","600","931.63",,"1","1",37657,3324,3324,-16475,1,0,0,0,0,0,0,0,116,0,0,0,0,0,34334,"1","59","1","1","1","1","1","4","4","4","4","4","2",,"3",
"2012","AT",32333,"6","2012","12","3","3",,"2","1","2","1","1","1","1","1","3",,"2",,"2","1","2","2","4","3","4","2","1","107",,"450.36","150","1","1",24622,22646,22646,-1969,1,5659,0,0,0,0,0,0,7,0,0,0,0,0,1976,"2","240","1","1","1","1","1","3","3","3","3","4","4",,"3",
"2012","AT",32471,"7","2012","21",,"3",,"2","1","1","1","1","1","1","2","3","1300","1","3","2","2","2","2","4","5","5","2","1","245",,"493.37",,"1","1",9837,1425,-4077,-8333,1,1750,0,0,0,0,0,0,78,0,0,0,0,0,8411,"2","49","1","1","1","1","1","4","4","4","3","4","4","3","3",
"2012","AT",33821,"7","2012","21","3","3",,"1","1","2","1","1","1","1","1","1","2000","2",,"2","2","2","2","3","1","4","2","1",,,"553.57",,"1","1",68675,65567,65567,-2959,1,5480,0,0,0,0,0,0,148,0,0,0,0,0,3108,"1","43","1","1","1","1","1","3","4",,"4","4","4",,"3",
"2012","AT",34088,"7","2012","17",,"3",,"2","1","1","1","1","3","1","2","5","1700","3",,"2","2","1","1","4","2","7","1","1","360",,"498.69",,"1","1",31811,28211,28211,20856,1,6809,0,0,0,0,0,0,13,0,0,0,0,0,3600,"2","48","1","1","1","2","1","4","4","3","2","3","3","3","3",
"2012","AT",34658,"6","2012","25","3","3",,"1","1","1","1","1","1","1","1","3","1700","1",,"2","2","2","2","3","3","5","1","1",,,"623.78",,"1","1",48128,47439,47439,10126,1,6152,0,0,0,0,0,0,10816,0,0,0,213,0,477,"2","50","2","1","1","1","1","4","2","4","3","3","3",,,
"2012","AT",35142,"3","2012","14",,"3",,"1","1","1","1","1","1","1","1","5","3000","3",,"2","2","1","1","4","2","7","2","1",,,"336.61",,"1","1",64054,58888,58888,1658,1,0,0,0,0,0,0,0,3547,0,0,0,0,0,5166,"2","48","1","1","1","1","2","4","2","2","4","3","4",,"3",
"2012","AT",36541,"5","2012","22",,"3",,"1","1","1","1","1","3","1","3","3","1500","1","1","2","2","2","2","4","5","2","2","1",,"1000","340.44",,"1","1",60368,53912,53912,26520,1,865,0,0,0,0,0,0,177,0,0,0,0,0,6455,"2","83","1","1","1","1","1","3","3","4","2","3","3",,"3",
"2012","AT",36807,"3","2012","16","3","3",,"1","2","2","1","1","1","1","1","6","2500","2",,"2","1","2","2","1","3","2","1","1",,,"259.06",,"1","1",111957,47319,47319,47319,1,13666,0,0,0,0,0,0,1570,2978,0,0,0,0,64637,"2","87","1","1","1","1","1","4","3","4","1","3","3",,"3",
"2012","AT",37869,"3","2012","11","3","3",,"1","1","1","1","1","3","1","1","4","1200","2",,"1","1","2","2","4","3","3","1","1","320","500","725.46",,"1","1",42851,22871,22172,7441,1,6742,5,0,0,0,0,0,0,0,0,0,0,0,19979,"2","90","1","1","2","1","1","3","2","3","3","4","4",,"3",
"2012","AT",38767,"5","2012","16",,"3",,"1","2","1","1","1","1","1","1","3","1350","3","2","2","1","2","2","1","1","3","2","1","630","800","547.34",,"1","1",49586,37382,15320,-12196,1,576,0,0,0,0,0,0,8,0,0,0,0,0,12204,"2","100","1","1","2","1","1","3","4","4","4","2","3",,"3",
"2012","AT",38787,"5","2012","24","3","3",,"1","1","1","1","1","1","1","2","5","1100","1",,"1","2","2","2","3","3","2","2","1",,,"423.81",,"1","1",68083,-12326,-12326,-12326,1,3051,0,0,0,0,0,0,2,0,0,0,0,3600,80409,"2","60","1","1","2","1","1","3","2","4","2","4","3",,"2",
"2012","AT",39287,"6","2012","13","3","3",,"1","1","1","1","1","1","1","1","4","2000","1",,"2","1","2","2","2","3","3","2","1",,"300","306.23",,"3","1",35185,33181,33181,-2004,1,3258,0,0,0,0,0,0,0,0,0,0,0,0,2005,"2","110","1","1","1","1","1","4","4","3","3","4","4",,"3",
"2012","AT",39328,"4","2012","23","3","3",,"2","1","1","1","1","1","1","1","4","2000","1",,"2","2","2","1","3","2","1","2","1","403","900","452.85",,"1","1",38459,36160,36160,-2287,1,6657,0,0,0,0,0,0,12,0,0,0,0,0,2299,"2","47","1","1","1","1","1","3","3","4","3","4","2",,"3",
"2012","AT",40401,"5","2012","11","3","3","3","1","1","1","1","1","1","1","1","3","1700","2",,"2","2","2","2","4","3","3","2","1","520",,"380.35",,"1","1",39998,33638,33638,-6238,1,4836,0,0,0,0,0,0,122,0,0,0,0,0,6360,"2","90","1","1","1","1","1","3","3","4","3","4","2",,"3",
"2012","AT",40449,"7","2012","22","3","3",,"1","1","1","1","1","1","1","2","4","1300","2",,"2","2","2","2","4","3","4","1","1",,,"413.99",,"1","1",48013,45652,45652,-2350,1,4738,0,0,0,0,0,0,11,0,0,0,0,0,2361,"2","94","2","1","1","1","1","2","4","4","3","3","3","3","3",
"2012","AT",40654,"5","2012","13","3","3","3","1","1","2","1","3","1","1","1","5","2500","3",,"2","2","2","2","1","5","5","2","1",,"1000","546.2",,"1","1",37884,24288,24288,-2122,1,0,0,0,0,0,0,0,2,0,0,0,0,0,13596,"1","55","1","1","1","1","1","3","1","2","4","4","3",,"3",
"2012","AT",41452,"5","2012","15","3","3",,"1","1","1","1","1","3","1","1","1","1800","2","1","2","2","2","2","1","3","3","2","1",,"900","501.03","433.333333333333","1","1",52110,32904,32577,32577,1,168,0,327,0,0,992,0,147,0,0,0,0,0,19206,"2","79","1","1","1","2","2","4","3","4","3","4","4",,"3",
"2012","AT",41632,"3","2012","26",,"3","3","1","1","1","1","3","3","1","1","4","950","1",,"2","2","2","2","3","2","2","2","1",,"1000","586.98",,"1","1",25918,-5744,-5744,-5744,1,0,0,0,0,0,0,0,10,0,0,0,0,0,31661,"2","140","1","1","1","2","2","3","4","4","3","3","3",,"3",
"2012","AT",42265,"7","2012","19","3","3",,"1","1","1","1","1","1","1","1","3","2000","1",,"2","2","2","2","4","4","3","2","1","94","1200","736.44",,"1","1",38286,35216,34992,-844,1,543,0,0,0,0,0,0,2226,4000,0,0,0,0,3070,"2","180","1","1","3","1","1","4","3","4","4","4","2",,"3",
"2012","AT",42302,"6","2012","17",,"3",,"2","1","2","1","1","3","3","1","4","1800","3",,"2","2","2","2","2","4","5","2","1",,"500","486.05",,"1","1",46810,32341,11311,-14269,1,3875,0,0,0,0,0,0,201,0,0,0,0,0,14470,"1","84","1","1","2","1","1","3","3","4","4","3","2","3","3",
"2012","AT",42416,"6","2012","15","3","3",,"2","1","1","1","1","1","3","3","4","1400","2",,"2","2","2","2","4","1","2","2","1","171","350","494.86",,"1","1",33695,21851,21851,-6047,1,4336,0,0,0,0,0,0,8,0,0,0,0,0,11844,"1","37","1","1","1","1","2","3","3","4","4",,"3",,"3",
"2012","AT",42624,"3","2012","17","3","3",,"1","1","1","1","1","1","1","3","4","2000","2",,"2","2","1","2","3","3","3","2","1","479.54",,"392.05",,"1","1",38751,35209,34512,34512,1,1147,0,0,0,0,0,0,6,0,0,0,0,0,3542,"2","92","1","1","1","1","1","2","4","4","3","2","4",,"3",
"2012","AT",42625,"7","2012","15",,"1",,"1","1","1","1","1","3","1","1","2","1500","3",,"2","2","2","2","3","1","2","2","1",,"1000","474.92",,"1","1",47346,42301,42301,26181,1,0,0,0,0,0,0,0,8,0,0,0,0,0,5045,"1","90","1","1","1","1","1","3","4","3","4","4","3",,"3",
"2012","AT",42700,"5","2012","11","3","3",,"1","1","1","1","1","1","1","3","5","1200","2",,"2","1","2","2","4","1","3","2","1","170",,"455.83",,"1","1",82234,37256,37256,-31703,1,6984,0,0,0,0,0,0,56,0,0,0,0,0,44979,"1","76","1","1","1","1","1","3","4","3","4","4","3",,"3",
"2012","AT",44017,"6","2012","19",,"3",,"1","1","1","1","1","1","1","3","4","2000","1",,"2","2","2","2","4","2","4","2","1",,"1200","515.29",,"1","1",20439,11178,11178,-8640,1,6781,548,0,0,0,0,0,73,0,0,0,0,0,9261,"2","111","1","1","1","1","1","4","4","4","3","3","4",,"3",
"2012","AT",44197,"5","2012","8",,"3",,"1","2","1","1","1","3","1","1","3","2300","3","1","2","1","2","2","3","5","3","2","1","400","850","484.5","176.185","1","1",62994,54515,42459,-4336,1,322,0,0,0,0,0,0,890,0,0,0,0,0,8479,"2","55","1","1","1","1","1","4","4","3","3","4","1","4","3",
"2012","AT",44229,"4","2012","23","1","3",,"1","1","1","1","1","1","1","1","4","1000","2",,"2","2","2","2","1","5","3","2","1",,,"758.29",,"1","1",29682,21394,20411,-3825,1,5294,0,982,0,0,0,0,0,0,0,0,0,0,8289,"2","130","1","1","1","1","1","4","4","4","4","4","4","2","3",
"2012","AT",44929,"5","2012","33","3","3",,"1","1","2","1","1","1","1","1","4","1800","2",,"2","2","2","2","1","1","3","2","1",,"1700","1001.47",,"1","1",101597,13574,906,906,1,1547,47440,0,0,0,0,0,1060,0,0,0,0,0,88023,"2","150","1","1","1","1","1","4","3","3","3","2","3",,"3",
"2012","AT",44974,"4","2012","10",,"3",,"1","1","2","1","1","3","1","3","4","1600","1",,"2","2","2","1","1","2","3","2","1",,,"516.92",,"1","1",15674,15550,10267,9177,1,0,0,0,0,0,0,0,1,700,0,0,5,0,119,"1","95","1","1","1","1","1","4","2","3","3","2","2",,"3",
"2012","AT",47252,"5","2012","21","3","3",,"2","1","1","1","1","1","1","3","4","2500","3",,"2","2","2","2","3","3","3","2","1","556",,"451.98","250","1","1",52312,40411,40249,40249,1,7035,0,0,0,0,0,0,6,0,0,0,0,0,11901,"2","129","1","1","1","1","1","3","2","4","4","3","4","4","3",
"2012","AT",47382,"4","2012","35","3","3",,"1","1","1","1","1","3","1","2","2","1700","3",,"2","2","2","2","4","1","5","2","1","301","650","415.78",,"1","1",28688,26676,26676,-85,1,0,0,0,0,0,0,0,1927,0,0,0,0,0,2012,"2","84","1","1","1","1","1","4","3","4","2","3","3","3","3",
