"RB010","RB020","RB030","RB050","RB070","RB080","RB090","RB200","RB210","RB245","RB250","RB260","RL010","RL020","RL030","RL040","RL050","RL060"
"2013","AT",3144101,575.635,"1",1950,"1","1","2",,"11","5",,,,,,
"2013","AT",3156301,575.635,"1",1932,"1","1","3",,"11","3",,,,,,"0"
"2013","AT",3178201,575.635,"2",1952,"2","1","4",,"11","2",,"26","0",,"0",
"2013","AT",3254501,575.635,"6",1968,"2","1","4",,"11","3",,,,,,
"2013","AT",3268401,575.635,"1",1964,"1","1","1",,"11","2",,,,,,
"2013","AT",3404301,575.635,"5",1988,"2","1","3",,"11",,,,,"0",,
"2013","AT",3404302,575.635,"9",1988,"1","1","4",,"11",,,,,"0",,
"2013","AT",3431101,575.635,"1",1957,"1","1","1",,"11","2",,,,,,"12"
"2013","AT",3431102,575.635,"11",1959,"2","1","4",,"11","5",,,,,,
"2013","AT",3488601,575.635,"8",1950,"1","1","4",,,,,,,,"0",
"2013","AT",3488602,575.635,"4",1954,"2","1","3",,"11",,,,,,,
"2013","AT",3537301,575.635,"4",1948,"2","1","4",,"11","3",,,,"0",,
"2013","AT",3537302,575.635,"6",1945,"1","1","1",,"11","2",,,,,,
"2013","AT",3678101,575.635,"2",1978,"1","1","3",,"11","2",,,,,,
"2013","AT",3678102,575.635,"6",1983,"2","1","1",,"11",,,,,,,"0"
"2013","AT",3704801,575.635,"8",1977,"2","1","1",,"11","2",,,,,,"2"
"2013","AT",3704802,575.635,"9",1979,"1","1","1",,"11","2",,,,,,
"2013","AT",3811801,575.635,"6",1933,"1","1","3",,"11","2",,,,,,
"2013","AT",3811802,575.635,"12",1963,"1","1","1",,"11","2",,,,,"0","0"
"2013","AT",3902101,575.635,"8",1932,"2","1","4",,,"3",,,,,,
"2013","AT",3902102,575.635,"6",1959,"1","1","1",,"11","2",,,,,,
"2013","AT",3904101,575.635,"9",1941,"1","1","1",,"11","2",,,,,,
"2013","AT",3904102,575.635,"11",1941,"2","1","3",,"11","2",,,"0","0","0",
"2013","AT",3954501,575.635,"1",1932,"1","1","2",,"11","2",,,,,"0","0"
"2013","AT",3954502,575.635,"10",1952,"2","1","3",,"11","2",,,,,,
"2013","AT",3958601,575.635,"1",1977,"2","1","1",,,"3",,"24",,,,
"2013","AT",3958602,575.635,"7",2009,"1","1","3",,"11",,,,,,,
"2013","AT",4066601,575.635,"7",1950,"1","1","1",,,"2",,,,,,
"2013","AT",4066602,575.635,"9",1954,"2","1","1",,"11","2",,,,,,
"2013","AT",4071401,575.635,"10",1941,"1","1","3",,"11","2",,,,,,
"2013","AT",4071402,575.635,"9",1941,"2","1","4",,"11","2",,,,,,
"2013","AT",4092101,575.635,"10",1971,"1","1","3",,"11","3",,,,,,
"2013","AT",4092102,575.635,"7",1975,"1","1","3",,"11",,,,,,,
"2013","AT",4172401,575.635,"11",1947,"1","1","1",,"11","2",,,,,,
"2013","AT",4172402,575.635,"7",1949,"2","1","1",,"11",,,,,,,
"2013","AT",4190601,575.635,"1",1949,"1","1","3",,,"5",,,"16","0","0",
"2013","AT",4190602,575.635,"8",1956,"2","1","3",,"11","3",,,,,,
"2013","AT",4254301,575.635,"10",1932,"1","1","2",,"11",,,,,,,"8"
"2013","AT",4254302,575.635,"11",1952,"2","1","4",,,,,,,,,
"2013","AT",4258001,575.635,"10",1988,"2","1","1",,"11","3",,,,,,
"2013","AT",4258002,575.635,"8",1988,"1","1","4",,"11","3",,,,,,
"2013","AT",4269401,575.635,"1",1934,"1","1","3",,"11","3",,,,,,
"2013","AT",4269402,575.635,"8",1939,"2","1","1",,"11",,,,,"0",,
"2013","AT",4290501,575.635,"11",1952,"2","1","1",,"11","2",,,,,"0","0"
"2013","AT",4290502,575.635,"9",1954,"1","1","1",,"11",,,"27",,"0",,
"2013","AT",4290601,575.635,"11",1932,"1","1","1",,"11","2",,,,,,
"2013","AT",4290602,575.635,"2",1952,"2","1","1",,"11","2",,,,,,
"2013","AT",4430601,575.635,"12",1947,"1","1","3",,"11","3",,,,,,"8"
"2013","AT",4430602,575.635,"4",1949,"2","1","3",,"11","2",,,,,,"14"
"2013","AT",4448801,575.635,"12",1965,"1","2","1",,"11","3",,,,,,
"2013","AT",4448802,575.635,"5",1967,"2","1","1",,"11","2",,,,,,
"2013","AT",4452001,575.635,"3",1942,"1","1","4",,"11",,,,,,,
"2013","AT",4452002,575.635,"11",1939,"2","1","4",,"11","3",,,,,,
"2013","AT",4522501,575.635,"11",1946,"1","1","1",,"11","5",,,,,,
"2013","AT",4522502,575.635,"1",1956,"2","1","1",,,"3",,"30",,"0",,
"2013","AT",4527001,575.635,"10",1948,"2","1","4",,"11","2",,,,,,
"2013","AT",4527002,575.635,"3",1943,"1","1","1",,,"2",,,,"0",,
"2013","AT",4756301,575.635,"6",1951,"1","1","1",,,"2",,,,,,
"2013","AT",4756302,575.635,"6",1954,"2","1","3",,,"5",,,,,,
"2013","AT",4769401,575.635,"4",1932,"1","1","4",,"11","3",,,,,,
"2013","AT",4769402,575.635,"6",1952,"2","1","4",,"11","2",,"25",,"0",,
"2013","AT",4771801,575.635,"5",1974,"1","1","1",,"11","5",,,,,"0",
"2013","AT",4771802,575.635,"6",1976,"2","1","3",,"11","2",,"22",,,,
"2013","AT",4850601,575.635,"5",1963,"2","1","4",,"11","3",,,,,,"0"
"2013","AT",4850602,575.635,"6",1964,"1","1","3",,"11","2",,,,,,
"2013","AT",4882401,575.635,"10",1932,"1","1","1",,"11","2",,,,,,
"2013","AT",4882402,575.635,"2",1933,"2","1","1",,"11","2",,,,,,
"2013","AT",4919501,575.635,"8",1940,"1","1","3",,"11","3",,,,,,
"2013","AT",4919502,575.635,"12",1951,"2","1","3",,"11","2",,,,"0",,
"2013","AT",4989301,575.635,"9",1957,"1","1","1",,,"5",,,,,,
"2013","AT",4989302,575.635,"4",1959,"2","1","3",,"11","3",,,,"0",,
"2013","AT",5007101,575.635,"9",1946,"2","1","1",,"11","2",,,,,,
"2013","AT",5007102,575.635,"10",1954,"1","1","1",,"11","3",,"0",,,,
"2013","AT",5063601,575.635,"5",1932,"1","1","3",,"11","2",,,,,,
"2013","AT",5063602,575.635,"1",1952,"2","1","3",,"11","5",,,,,,
"2013","AT",5230301,575.635,"7",1951,"1","1","4",,"11","2",,,,,,
"2013","AT",5230302,575.635,"4",1953,"2","1","4",,,"5",,,,,"0",
"2013","AT",5257801,575.635,"8",1940,"1","1","4",,"11","2",,,,,"0",
"2013","AT",5257802,575.635,"11",1951,"2","1","4",,"11","2",,,,,,
"2013","AT",5269501,575.635,"6",1941,"1","1","1",,"11",,,,,,,
"2013","AT",5269502,575.635,"7",1943,"2","1","1",,"11","3",,,,,,
"2013","AT",5342001,575.635,"4",1954,"2","1","1",,,,,,,,,
"2013","AT",5342002,575.635,"8",1959,"1","1","3",,"11","2",,,,,,
"2013","AT",5366101,575.635,"7",1960,"2","1","3",,"11","3",,,"0","0",,
"2013","AT",5366102,575.635,"9",1947,"1","1","2",,"11","2",,,,,,
"2013","AT",5366301,575.635,"3",1943,"1","1","1",,"11","5",,,,,,
"2013","AT",5366302,575.635,"1",1947,"2","1","1",,"11","5",,,,,,"5"
"2013","AT",5377301,575.635,"10",1932,"1","1","1",,"11","3",,,,,,
"2013","AT",5377302,575.635,"2",1946,"2","1","3",,"11","2",,,,,,
"2013","AT",5403901,575.635,"10",1977,"2","1","1",,"11","2","20",,,,"0",
"2013","AT",5403902,575.635,"6",1979,"1","1","4",,,,,,,,,
"2013","AT",5424301,575.635,"10",1954,"1","1","4",,"11","5",,,,,,"0"
"2013","AT",5424302,575.635,"4",1956,"2","1","4",,"11","3",,,,"0",,
"2013","AT",5430901,575.635,"9",1978,"1","1","4",,"11","3",,,,,,
"2013","AT",5430902,575.635,"11",1983,"2","1","3",,"11","2",,,,"0",,
"2013","AT",5461501,575.635,"12",1943,"1","1","1",,"11","5",,,,,"0",
"2013","AT",5461502,575.635,"12",1951,"2","1","4",,,"5",,,,,,
"2013","AT",5527801,575.635,"5",1952,"2","1","1",,,"3",,,,,,
"2013","AT",5527802,575.635,"8",1954,"1","1","4",,"11","3",,,,,,"0"
"2013","AT",5585401,575.635,"7",1941,"1","1","1",,"11","3",,,,,,"0"
"2013","AT",5585402,575.635,"6",1943,"2","1","4",,"11","2",,,,,,"0"
"2013","AT",5632001,575.635,"12",1939,"1","1","1",,"11","2",,,,,,
"2013","AT",5632002,575.635,"11",1939,"2","1","1",,"11","2",,,,,,
"2013","AT",5681801,575.635,"9",1940,"1","1","1",,,"3",,,,,,
"2013","AT",5681802,575.635,"2",1940,"2","1","1",,"11","2",,,,"0",,
"2013","AT",5863101,575.635,"2",1945,"1","1","3",,"11","5",,,,,,
"2013","AT",5863102,575.635,"9",1941,"2","1","1",,"11","2",,,,,,
"2013","AT",6109201,575.635,"5",1972,"2","1","3",,,"3",,"0",,,,
"2013","AT",6109202,575.635,"7",2008,"2","1","4",,,"2",,,"0",,,
"2013","AT",6162901,575.635,"8",1971,"1","1","3",,"11","5",,,,,,
"2013","AT",6162902,575.635,"8",1975,"1","1","1",,"11","3",,,"0",,,
"2013","AT",6210801,575.635,"1",1978,"1","1","1",,"11","2",,,,,,
"2013","AT",6210802,575.635,"7",1983,"2","1","3",,"11","2",,,,,,
"2013","AT",6210901,575.635,"7",1945,"1","1","3",,"11","2",,,,,,
"2013","AT",6210902,575.635,"4",1947,"2","1","1",,"11",,,,,,,
"2013","AT",6212401,575.635,"5",1960,"2","1","3",,"11","2",,,,,,
"2013","AT",6212402,575.635,"4",1947,"1","1","1",,"11","3",,,,,,"0"
"2013","AT",6217301,575.635,"5",1942,"1","1","3",,"11","3",,,,,,
"2013","AT",6217302,575.635,"3",1939,"2","1","3",,"11","3",,,,,,
"2013","AT",6310501,575.635,"6",1940,"1","1","3",,"11","2",,,,,,"20"
"2013","AT",6310502,575.635,"8",1951,"2","1","1",,"11",,"25","33",,,,
"2013","AT",6382101,575.635,"4",1934,"1","1","1",,,,"30",,,,,
"2013","AT",6382102,575.635,"6",1935,"2","1","4",,"11",,,"0",,,"0",
"2013","AT",6474901,575.635,"4",1939,"1","1","1",,"11","3",,,,,,
"2013","AT",6474902,575.635,"9",1939,"2","1","3",,"11","5",,,,,,
"2013","AT",6523901,575.635,"10",1978,"1","1","1",,,"3",,,,,,
"2013","AT",6523902,575.635,"3",1983,"2","1","3",,"11",,,,,,"0",
"2013","AT",6573401,575.635,"3",1946,"1","1","3",,,"5",,,,,,
"2013","AT",6573402,575.635,"3",1948,"2","1","1",,"11","5","35",,,,,
"2013","AT",6576401,575.635,"8",1956,"2","1","1",,"11","5",,,"0",,,
"2013","AT",6576402,575.635,"11",1977,"1","1","4",,,"3",,,,,,
"2013","AT",6615501,575.635,"1",1960,"2","1","1",,"11",,,,,"0",,
"2013","AT",6615502,575.635,"1",1947,"1","1","1",,"11","3",,,,,,
"2013","AT",6669101,575.635,"6",1940,"1","1","3",,"11","2",,"0",,,,"3"
"2013","AT",6669102,575.635,"3",1951,"2","1","3",,"11","2",,,,,"0",
"2013","AT",6995801,575.635,"2",1977,"2","1","2",,"11","2",,,"16",,,
"2013","AT",6995802,575.635,"6",1979,"1","1","1",,,"5",,,,,"0",
"2013","AT",7127101,575.635,"4",1955,"1","1","1",,,,,,,,,
"2013","AT",7127102,575.635,"2",1955,"2","1","3",,"11","2",,,,,,
"2013","AT",7127103,575.635,"12",1982,"1","1","4",,"11","3",,,,,,
"2013","AT",7219301,575.635,"5",1986,"2","1","1",,"11","3",,,,,,
"2013","AT",7219302,575.635,"1",1991,"1","1","4",,,,,,,,,
"2013","AT",7219303,575.635,"5",2010,"1","1","4",,"11","2",,,,,,
"2013","AT",7277801,575.635,"6",1965,"1","1","2",,,"2",,,"0",,,
"2013","AT",7277802,575.635,"12",1968,"2","2","3",,"11","2",,,,,,
"2013","AT",7277803,575.635,"4",2004,"1","1","2",,"11","2",,,,,,
"2013","AT",7292901,575.635,"3",1935,"1","1","3",,"11",,,,,,,"0"
"2013","AT",7292902,575.635,"2",1940,"2","1","1",,"11","2",,"22",,,,
"2013","AT",7292903,575.635,"10",1963,"2","1","1",,"11","2",,,,,,
"2013","AT",7303701,575.635,"8",1971,"1","1","1",,"11","2",,,,,,
"2013","AT",7303702,575.635,"8",1979,"2","1","1",,,"5",,,,,,
"2013","AT",7303703,575.635,"3",2010,"1","1","3",,"11",,,,"0",,,
"2013","AT",7358501,575.635,"12",1957,"1","1","1",,"11","2",,,,"0","0",
"2013","AT",7358502,575.635,"4",1962,"2","1","4",,"11","2",,,,"0",,
"2013","AT",7358503,575.635,"4",1980,"2","1","3",,"11","3",,,,,,
"2013","AT",7527101,575.635,"2",1974,"2","1","4",,"11","2",,,,"0","0",
"2013","AT",7527102,575.635,"6",1975,"1","1","3",,"11","2",,,"0",,,
"2013","AT",7527103,575.635,"7",2010,"1","1","1",,"11","2",,,,,,
"2013","AT",7602901,575.635,"5",1967,"1","1","4",,"11","3",,,,"0",,
"2013","AT",7602902,575.635,"12",1970,"2","1","1",,"11","3",,,,,,
"2013","AT",7602903,575.635,"5",2002,"1","1","1",,"11",,,,,,,
"2013","AT",7654701,575.635,"12",1947,"1","1","3",,"11","2",,,,,,
"2013","AT",7654702,575.635,"7",1955,"2","1","1",,"11",,,,,,,
"2013","AT",7654703,575.635,"6",1977,"1","1","1",,"11","2",,,,,,
"2013","AT",7663901,575.635,"9",1956,"1","2","1",,"11","3",,,,,,"6"
"2013","AT",7663902,575.635,"1",1967,"2","1","3",,"11","2",,,,"0",,
"2013","AT",7663903,575.635,"4",1992,"2","1","1",,"11","3",,,"0","0",,
"2013","AT",7764101,575.635,"2",1955,"1","1","4",,"11","2",,,,,,
"2013","AT",7764102,575.635,"12",1955,"2","1","1",,"11","3",,"26",,,"0",
"2013","AT",7764103,575.635,"7",1982,"1","1","1",,"11","2",,,,,,
"2013","AT",7790001,575.635,"7",1955,"1","1","1",,"11","3",,,,,,
"2013","AT",7790002,575.635,"5",1955,"2","1","4",,"11","2",,,,,"0",
"2013","AT",7790003,575.635,"9",1982,"1","1","2",,"11","3",,,,,,
"2013","AT",7800801,575.635,"6",1940,"2","1","3",,"11","2",,,,,,
"2013","AT",7800802,575.635,"12",1939,"1","1","3",,"11",,,,,,,
"2013","AT",7800803,575.635,"7",1965,"2","1","1",,"11","2",,,,,,"22"
"2013","AT",7933701,575.635,"6",1967,"1","1","1",,,"2",,,,,"0",
"2013","AT",7933702,575.635,"5",1968,"2","1","4",,"11","2",,,,,"0",
"2013","AT",7933703,575.635,"6",1989,"2","1","1",,"11","2",,,,,,
"2013","AT",8013401,575.635,"9",1955,"1","1","1",,"11","3","25",,,,,
"2013","AT",8013402,575.635,"2",1959,"2","1","4",,"11","2",,,,,,
"2013","AT",8013403,575.635,"3",1964,"2","1","3",,"11","2",,,,,,
"2013","AT",8044001,575.635,"4",1950,"1","1","1",,,"2",,,"0",,,
"2013","AT",8044002,575.635,"5",1968,"2","1","1",,"11",,,,,,,
"2013","AT",8044003,575.635,"5",1932,"2","1","1",,,"3",,,,,,"20"
"2013","AT",8070101,575.635,"1",1932,"1","1","1",,"11","2",,,,,,
"2013","AT",8070102,575.635,"6",1953,"1","1","1",,,"5",,,,,,
"2013","AT",8070103,575.635,"11",1954,"2","1","4",,"11","3",,,,,,
"2013","AT",8193401,575.635,"5",1971,"2","1","1",,,"2",,,,,,
"2013","AT",8193402,575.635,"12",1999,"2","1","4",,"11","3",,,"12",,,"0"
"2013","AT",8193403,575.635,"2",2007,"1","1","4",,"11",,,,,,,
"2013","AT",8205801,575.635,"12",1971,"2","1","3",,"11","5",,,,,"0",
"2013","AT",8205802,575.635,"7",1999,"2","1","1",,,"3",,,,,,
"2013","AT",8205803,575.635,"10",2007,"1","1","1",,"11","2",,,,,,
"2013","AT",8250601,575.635,"5",1954,"1","1","3",,"11",,,,,,,
"2013","AT",8250602,575.635,"6",1957,"2","1","4",,"11","2",,,,,"0",
"2013","AT",8250603,575.635,"10",1984,"2","1","4",,"11","3",,,,,"0",
"2013","AT",8300501,575.635,"11",1974,"2","1","1",,,"3",,,,"0",,
"2013","AT",8300502,575.635,"2",1998,"1","1","3",,"11",,,,,,,
"2013","AT",8300503,575.635,"7",2000,"1","1","4",,"11","2",,,,"0",,
"2013","AT",8395201,575.635,"6",1955,"1","1","1",,"11","3","25",,,"0",,
"2013","AT",8395202,575.635,"2",1959,"2","1","1",,"11","3",,"0",,,,
"2013","AT",8395203,575.635,"9",1964,"2","1","4",,"11","2",,,,,,
"2013","AT",8446101,575.635,"8",1974,"2","1","1",,,"2",,"25",,"0","0",
"2013","AT",8446102,575.635,"4",1975,"1","1","1",,"11","2",,,,,,
"2013","AT",8446103,575.635,"4",2010,"1","1","3",,,"2",,,,,,
"2013","AT",8470701,575.635,"6",1955,"1","1","1",,,"3",,,,,,"8"
"2013","AT",8470702,575.635,"6",1955,"2","1","1",,"11","2",,,,,,
"2013","AT",8470703,575.635,"5",1982,"1","1","4",,"11","2",,,,,,
"2013","AT",8472901,575.635,"9",1967,"1","1","4",,"11","2",,,,,,"0"
"2013","AT",8472902,575.635,"10",1968,"2","1","4",,,"3","0",,,,,
"2013","AT",8472903,575.635,"10",1989,"2","1","1",,"11","2",,,,,,"0"
"2013","AT",8555201,575.635,"9",1959,"1","1","3",,"11","2",,,,,,"0"
"2013","AT",8555202,575.635,"7",1968,"2","1","1",,"11",,,,,,,
"2013","AT",8555203,575.635,"9",1994,"2","1","4",,"11","2",,,,,,
"2013","AT",8575701,575.635,"9",1955,"1","1","1",,"11","2",,,,,,
"2013","AT",8575702,575.635,"3",1959,"2","1","1",,"11","3",,,,,,
"2013","AT",8575703,575.635,"10",1964,"2","1","1",,,"3",,,,,,
"2013","AT",8577001,575.635,"8",1965,"1","1","4",,,"2",,,"0",,"0",
"2013","AT",8577002,575.635,"2",1968,"2","1","3",,"11","2",,,,,,
"2013","AT",8577003,575.635,"9",2004,"1","1","1",,"11","2",,"24","0","0",,
"2013","AT",8592401,575.635,"1",1967,"1","1","4",,"11","3",,,"0","0",,
"2013","AT",8592402,575.635,"1",1970,"2","1","1",,"11","2",,,,,,
"2013","AT",8592403,575.635,"8",2002,"1","1","1",,"11","3",,,,,,
"2013","AT",8649301,575.635,"8",1950,"1","1","2",,"11","3",,,,,,
"2013","AT",8649302,575.635,"2",1968,"2","1","3",,"11","3",,,,,,
"2013","AT",8649303,575.635,"9",1932,"2","1","3",,"11","3",,"20",,"0",,"5"
"2013","AT",8687601,575.635,"2",1965,"1","1","1",,,"2",,,,"0",,
"2013","AT",8687602,575.635,"6",1968,"2","1","1",,,"3",,,,,,
"2013","AT",8687603,575.635,"7",2004,"1","1","4",,"11","3",,,,"0",,
"2013","AT",8742301,575.635,"7",1957,"1","2","1",,"11","2",,,,,,
"2013","AT",8742302,575.635,"7",1962,"2","1","3",,"11","2",,,,,,
"2013","AT",8742303,575.635,"6",1980,"2","1","1",,"11","2",,,,,,
"2013","AT",8795801,575.635,"1",1974,"2","1","4",,"11","3",,,,,,
"2013","AT",8795802,575.635,"7",1975,"1","1","3",,"11",,,,,,,
"2013","AT",8795803,575.635,"6",2010,"1","1","3",,"11","3",,,,,,
"2013","AT",8820801,575.635,"4",1971,"1","1","3",,"11","2",,,,,,
"2013","AT",8820802,575.635,"5",1979,"2","1","1",,"11","2",,,,,,"0"
"2013","AT",8820803,575.635,"5",2010,"1","1","1",,"11","3",,,,,,
"2013","AT",8864501,575.635,"9",1947,"1","1","4",,"11","3",,,,,,
"2013","AT",8864502,575.635,"6",1955,"2","1","1",,"11","5",,,"0",,,
"2013","AT",8864503,575.635,"1",1977,"1","1","4",,"11","3",,,,,,
"2013","AT",9020601,575.635,"5",1969,"1","1","3",,,,,,,,,
"2013","AT",9020602,575.635,"8",1969,"2","1","1",,"11","3",,,,,,
"2013","AT",9020603,575.635,"2",1992,"2","1","1",,"11",,,,,,,
"2013","AT",9057401,575.635,"8",1959,"1","1","1",,"11","3",,,,,,
"2013","AT",9057402,575.635,"6",1968,"2","1","4",,"11","5",,,,,"0",
"2013","AT",9057403,575.635,"9",1994,"2","1","4",,,"3",,,,,"0",
"2013","AT",9101101,575.635,"7",1932,"1","1","1",,,,,"30",,,,
"2013","AT",9101102,575.635,"12",1953,"1","1","3",,"11","3",,,,,,
"2013","AT",9101103,575.635,"11",1954,"2","1","3",,"11","2",,,,,,
"2013","AT",9134601,575.635,"9",1940,"2","1","1",,"11","2",,,,,,
"2013","AT",9134602,575.635,"12",1939,"1","1","4",,"11","2",,,,,,
"2013","AT",9134603,575.635,"5",1965,"2","1","4",,,"3",,,,,,
"2013","AT",9145301,575.635,"2",1956,"1","1","1",,"11","3",,"27",,"0",,
"2013","AT",9145302,575.635,"7",1967,"2","1","1",,"11","5",,,,,,
"2013","AT",9145303,575.635,"12",1992,"2","1","2",,"11","2",,"31",,,,
"2013","AT",9174701,575.635,"6",1974,"1","1","4",,,,,,,,,
"2013","AT",9174702,575.635,"6",1974,"2","1","1",,"11","3",,,,,"0",
"2013","AT",9174703,575.635,"10",1996,"1","1","4",,"11",,,,,,,
"2013","AT",9174704,575.635,"11",2002,"1","1","1",,"11","3",,,,,"0",
"2013","AT",9201101,575.635,"9",1961,"1","1","1",,"11","2",,,,,,
"2013","AT",9201102,575.635,"8",1969,"2","1","4",,"11","2",,,"0",,,
"2013","AT",9201103,575.635,"5",1994,"1","1","4",,"11","2",,,,,,
"2013","AT",9201104,575.635,"10",1996,"2","1","1",,"11","5",,,,,,
"2013","AT",9208401,575.635,"9",1964,"1","1","3",,"11","3",,,,,"0",
"2013","AT",9208402,575.635,"11",1966,"2","1","4",,"11","5","0",,"0",,"0",
"2013","AT",9208403,575.635,"11",1991,"2","1","3",,"11","2",,,,,,
"2013","AT",9208404,575.635,"7",1992,"1","1","1",,"11",,,,,"0",,
"2013","AT",9320301,575.635,"6",1984,"2","2","4",,,"2",,,,,,
"2013","AT",9320302,575.635,"6",1972,"1","1","1",,"11","3",,,,,,
"2013","AT",9320303,575.635,"12",2011,"1","1","1",,"11","2",,,,,,"0"
"2013","AT",9320304,575.635,"9",2013,"2","1","4",,"11","2",,,,,,
"2013","AT",9337901,575.635,"1",1933,"1","1","1",,"11","3",,,,"0",,
"2013","AT",9337902,575.635,"8",1935,"2","1","4",,"11",,,,"0",,,
"2013","AT",9337903,575.635,"3",1948,"1","1","1",,"11","2",,,"0",,,
"2013","AT",9337904,575.635,"2",1953,"2","1","1",,"11",,,,,"0",,
"2013","AT",9341801,575.635,"5",1939,"1","1","2",,,"3",,,,,,
"2013","AT",9341802,575.635,"7",1944,"2","1","1",,"11",,"20",,,,,
"2013","AT",9341803,575.635,"8",1971,"2","1","4",,"11","2",,,,,,
"2013","AT",9341804,575.635,"8",1998,"2","1","1",,"11","5",,,,,,
"2013","AT",9408201,575.635,"3",1958,"2","1","3",,,"2",,,,,"0",
"2013","AT",9408202,575.635,"11",1965,"1","1","4",,"11","3",,,,"0",,
"2013","AT",9408203,575.635,"2",1990,"2","1","1",,"11","3",,,,,,
"2013","AT",9408204,575.635,"9",1993,"2","1","3",,"11","2",,,,,"0",
"2013","AT",9469301,575.635,"12",1933,"1","1","4",,"11","2",,,,,,
"2013","AT",9469302,575.635,"7",1935,"2","1","1",,"11","3",,,"0","0",,
"2013","AT",9469303,575.635,"5",1948,"1","1","4",,,"3",,,,,,
"2013","AT",9469304,575.635,"3",1953,"2","1","4",,"11","3",,,,,,
"2013","AT",9486901,575.635,"7",1974,"1","1","1",,"11","2",,,,,,
"2013","AT",9486902,575.635,"3",1974,"2","1","3",,"11","3",,,,,,
